"","X","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"11",11,0.1,"Spatial",1,1,350,1683,1,350,2,22,9.61714285714286,2,0.0512104639665095,0.0055279677675364,0.000385834984270671,0.785348327919367,20,0.101131124183147,0.60344209394048,0.0689622747437525,14.5006817671801,0.928052550279691,0.0354809660253786,15.0228571428571,10,7.64569791240278,746.056680235242,1,28.8514285714286,21.0880453570056,117,10098,0.637832410299861
"12",12,0.1,"Spatial",1,1,350,1672,1,350,1,20,9.55428571428572,1,0.0571908309710922,0.00606652391717975,0.000384987455572852,0.785393499175843,22,0.111429778798654,0.583027185892726,0.0704763496029433,14.1891571517807,0.920567454943164,0.0299304134261154,15.6885714285714,11,7.66313548915268,753.649629783558,0,27.2057142857143,18.9548693815222,93,9522,0.596445631145416
"13",13,0.1,"Spatial",1,1,350,1692,1,350,1,20,9.66857142857143,1,0.0450623635078075,0.00465504780385589,0.000383341943865266,0.795355629886715,18,0.140272986734636,0.602725985367005,0.066641023980796,15.0057718243971,0.933308843764322,0.0296029471960704,14.3371428571429,10,7.71451494064675,747.392272860389,0,29.1857142857143,20.6939029108377,108,10215,0.584650546847541
"14",14,0.1,"Spatial",1,1,350,1661,1,350,1,21,9.49142857142857,1,0.0352420320458129,0.00329445723815853,0.000368074025155773,0.796512295930184,19,0.154880413782158,0.607585834981125,0.0655836233724375,15.2477089336949,0.945441286471144,0.0329758493655342,15.0942857142857,10,8.00011461318052,742.589391434323,0,28.9714285714286,22.888274439893,123,10140,0.594045171585893
"15",15,0.1,"Spatial",1,1,350,1583,1,350,2,16,9.04571428571429,2,0.0478505747506726,0.00515251564157962,0.000364161198038316,0.79388452561147,19,0.107053008524264,0.586157483699935,0.0888353731197539,11.2567771697425,0.926609695133119,0.0199263200982399,15.1628571428571,10,8.03276299631601,746.574158311183,1,23.3742857142857,12.4899923917826,64,8181,0.380624026393583
"16",16,0.1,"Spatial",1,1,350,1777,1,350,1,22,10.1542857142857,1,0.0723361244731599,0.00719693562048994,0.000403962392332583,0.790893233713216,19,0.125120655298523,0.610386108714409,0.0674338631216052,14.829344689873,0.944984556623067,0.033941874744167,14.1571428571429,10,7.2559967253377,760.85203636882,0,32.34,23.3357541383054,128,11319,0.610761102333014
"17",17,0.1,"Spatial",1,1,350,1641,1,350,2,19,9.37714285714286,2,0.054773122689765,0.00575566288313603,0.00038451987174732,0.797402298876185,18,0.0932160297455485,0.592228077973205,0.0794642152592147,12.584280820467,0.870582053567939,0.0275726565697912,14.2742857142857,10,7.6559967253377,745.127801782195,1,26.6485714285714,18.2238370212117,79,9327,0.560648778048073
"18",18,0.1,"Spatial",1,1,350,1657,1,350,1,19,9.46857142857143,1,0.0391198422951683,0.00400636874542935,0.000352871670614709,0.82107982484287,21,0.135736473749504,0.622470384995064,0.0694581049166112,14.3971679215919,0.942502223414195,0.0273106835857552,15.9114285714286,12,8.27949242734343,737.59262208222,0,28.8257142857143,20.8619674635708,105,10089,0.561424213406565
"19",19,0.1,"Spatial",1,1,350,1635,1,350,1,19,9.34285714285714,1,0.0489267647418685,0.00558203808510136,0.000371555192758209,0.783916430528669,21,0.107072890790568,0.595326982492276,0.0745882246176642,13.406941982142,0.925201177597819,0.0276708964388047,15.9028571428571,11,7.91441670077773,745.338328909499,0,26.4257142857143,17.9754344126925,96,9249,0.583783839542357
"20",20,0.1,"Spatial",1,1,350,1634,1,350,1,20,9.33714285714286,1,0.0435168975396641,0.00480651663463343,0.000379888599278347,0.790305158586883,21,0.117620388627166,0.60873095178616,0.0698899591372114,14.3082069634173,0.930620569488805,0.030552599263201,15.5114285714286,11,7.78341383544822,738.579661646645,0,27.8485714285714,21.9029491469625,93,9747,0.6379933596601
"21",21,0.1,"Spatial",1,1,350,1769,1,350,1,23,10.1085714285714,1,0.0507477272913323,0.0049250011201349,0.000390142825787416,0.815643832718565,17,0.105109215840139,0.622900763358779,0.0614083368544168,16.2844338606782,0.945891240659167,0.036938190749079,13.92,9,7.50966844044208,756.383809565433,0,33.8057142857143,29.1024663716886,143,11832,0.630578058108084
"22",22,0.1,"Spatial",1,1,350,1607,0,346,1,20,9.18285714285714,0,4.05698200936286e-15,4.44089209850171e-16,-1,0.803081687189176,18,0.141569544773268,0.60973817793214,0.0710166932452452,14.0811963258646,0.951660505058889,0.0309946786737618,14.3542857142857,1,7.97900856075455,739.622184087416,0,26.0828571428571,19.0466624367508,108,9129,0.564912213254374
"23",23,0.1,"Spatial",1,1,350,1571,1,350,2,17,8.97714285714286,2,0.0498892945863174,0.00771717885996523,0.000389930360084099,0.770097619934191,19,0.0871106775072922,0.569490787755694,0.0869527961213447,11.5004927340632,0.883491178956941,0.0229881293491609,14.4257142857143,10,7.56853049529267,746.194357130925,0,22.4314285714286,12.156790205338,58,7851,0.485648727854946
"24",24,0.1,"Spatial",1,1,350,1812,1,350,2,25,10.3542857142857,1,0.0495073392952062,0.00715155318036835,0.000394523325024091,0.758049110906442,19,0.0903280892863929,0.61074431197454,0.0563494690271301,17.7463961464932,0.906771489765552,0.0419647973802702,14.6,10,7.51905034793287,754.273242274614,0,36.7371428571429,33.7779627190912,143,12858,0.729544588597534
"25",25,0.1,"Spatial",1,1,350,1588,1,350,1,20,9.07428571428571,1,0.0734561559326943,0.00827213282566384,0.000388670987611382,0.785598181258685,20,0.112718273005879,0.590673575129534,0.0725934987874266,13.7753382424543,0.943859762471137,0.0313057715923045,14.7971428571429,10,7.56938190749079,737.57254789381,0,24.7542857142857,17.1533508610827,100,8664,0.555682368491155
"26",26,0.1,"Spatial",1,1,350,1743,1,350,1,23,9.96,1,0.0410152092149569,0.00424047494811982,0.000372633835260982,0.818234992259835,18,0.129234990065915,0.627715637771564,0.0556815520022504,17.9592695253822,0.941083986761357,0.0373638968481375,14.5571428571429,10,7.8952762996316,753.052047292053,0,33.3514285714286,31.7480127882819,170,11673,0.670823000867663
"27",27,0.1,"Spatial",1,1,350,1685,1,350,2,20,9.62857142857143,2,0.0530256145527319,0.00543414429024094,0.00038402191100091,0.796471396243693,20,0.101555144661994,0.614932533733133,0.0670772402662517,14.9081863837968,0.943901523543169,0.0297175603765862,14.66,10,7.70318460908719,748.586077350943,0,29.2971428571429,22.1723579905714,115,10254,0.626784364708769
"28",28,0.1,"Spatial",1,1,350,1587,1,350,1,19,9.06857142857143,1,0.0615814354727596,0.00692809416092645,0.000375723041229418,0.802075702512022,19,0.0976085120628706,0.595223515003062,0.0676121348944339,14.7902444074773,0.950278971763879,0.0284568153909128,14.9085714285714,10,7.81083913221449,737.597950560346,0,24.9942857142857,19.3815547981522,112,8748,0.583143507972666
"29",29,0.1,"Spatial",1,1,350,1564,1,350,2,17,8.93714285714286,1,0.0470553386291604,0.00556714181515889,0.000369473955956697,0.809793237877826,21,0.11802367489359,0.609619849100406,0.0848789351311697,11.7814861656149,0.949038904228458,0.0231027425296766,15.5971428571429,11,7.93986082685223,734.204263933996,0,24.0085714285714,14.6227610669057,75,8403,0.466032604488912
"30",30,0.1,"Spatial",1,1,350,1624,1,350,1,17,9.28,1,0.0553326229486649,0.00589015338892932,0.000377930668664918,0.783101840617341,19,0.102177267382344,0.593456708526107,0.079314900448322,12.6079714448051,0.910556686895613,0.0221203438395415,14.8114285714286,10,7.76808841588211,746.022175143543,0,25.6542857142857,15.9338863797156,74,8979,0.499175509194026
"31",31,0.1,"Spatial",1,1,350,1737,1,350,1,19,9.92571428571429,1,0.0583921428615297,0.00639308156944121,0.000391954911168321,0.818720959946228,19,0.107427238823668,0.624069549406216,0.0774757732289927,12.9072606612693,0.950413325319972,0.0260008186655751,14.7771428571429,10,7.48957838722882,750.705489201047,0,31.38,20.7215445099247,89,10983,0.501869606650697
"32",32,0.1,"Spatial",1,1,350,1761,1,350,2,21,10.0628571428571,2,0.0369787961139599,0.00382160121663387,0.000370818289098049,0.813363296691745,20,0.201989012989972,0.612197802197802,0.065921835872943,15.169480442374,0.939204044621618,0.031338518215309,15.2371428571429,11,7.94824396234138,754.83855629767,0,31.8342857142857,21.7096223744924,117,11142,0.519265696258894
"33",33,0.1,"Spatial",1,1,350,1663,1,350,2,21,9.50285714285714,2,0.0558418119804038,0.00591865448888617,0.000378608442231613,0.797562996981815,19,0.124301667701524,0.608570377636096,0.0695763873595051,14.3726922013491,0.921846818131395,0.0329431027425297,15.0428571428571,10,7.75937781416291,744.204161364843,1,28.3628571428571,22.6155686633804,116,9927,0.5983284820024
"34",34,0.1,"Spatial",1,1,350,1729,1,350,1,19,9.88,1,0.0477793418769885,0.00485843634455054,0.000387407327884374,0.797291868279053,20,0.185424118262198,0.623166666666667,0.069459179159017,14.3969452577411,0.936377319709267,0.0261318051575931,15.3142857142857,11,7.60229226361032,744.487646727734,0,32.0485714285714,24.1373917377533,108,11217,0.565945864175758
