"","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.5,"Spatial","1","1",100,2289,1,100,17,77,45.78,17,13.326432958553,0.380753910480034,0.00646496657421361,0.244704716328077,3,0.0230026338215384,0.706575983747737,0.0196724302745284,50.8325603926419,0.414204525474645,0.315353535353535,2.62,2,1.58767676767677,291.220998145656,134,799.95,381.983562367796,1650,79995,0.0741090239466105
"2",0.5,"Spatial","1","1",100,2563,1,100,16,80,51.26,16,13.0783927907091,0.422133944309413,0.00679435286147797,0.214790022604765,3,0.015758893231003,0.738715045196226,0.0175757118715905,56.8966996788567,0.372405408781139,0.29030303030303,2.56,2,1.51212121212121,299.476333159577,109,1047.69,506.863631870675,2010,104769,0.0960732383394811
"3",0.5,"Spatial","1","1",100,2371,1,100,17,79,47.42,17,12.0834235737012,0.356433658989454,0.00658433749748546,0.268904311036582,3,0.0301695453884729,0.731962965119665,0.0190106355701971,52.6021340163765,0.41226037818284,0.318989898989899,2.63,2,1.55474747474747,294.287761330899,120,879.9,415.136426401313,1769,87990,0.129490655426057
"4",0.5,"Spatial","1","1",100,2280,1,100,18,75,45.6,18,11.7754945570294,0.378806920304257,0.00644349640896677,0.235419552169898,3,0.0184456418806472,0.711768004486101,0.0195897901307342,51.0469991422273,0.412877741372313,0.296969696969697,2.67,2,1.59272727272727,298.268825344124,152,799.65,395.662042683149,1621,79965,0.143170408720614
"5",0.5,"Spatial","1","1",100,2292,1,100,18,78,45.84,18,13.5141887904371,0.360275035654698,0.0064819279719868,0.235076325880443,3,0.0235731028039854,0.703031769069505,0.0200153385549676,49.9616829989523,0.420397076057315,0.324848484848485,2.59,2,1.57919191919192,298.626055529712,148,784.71,339.718846766683,1642,78471,0.0588459445348615
"6",0.5,"Spatial","1","1",100,2413,1,100,20,82,48.26,20,14.6510200424482,0.356579428686479,0.00661976349250412,0.248800143029649,3,0.0272013516900436,0.712695855908625,0.0191724193274017,52.1582583253213,0.394988021444961,0.340808080808081,2.47,2,1.54585858585859,298.575088141412,187,876.06,367.808986987935,1785,87606,0.0364907035240457
"7",0.5,"Spatial","1","1",100,2400,1,100,23,75,48,23,13.3739936437255,0.363774698898676,0.00662662681492283,0.23968671875,3,0.0179277186712525,0.717239031034147,0.0189448290244846,52.7848521993829,0.386058641899101,0.272727272727273,2.49,2,1.54565656565657,298.882952572892,252,884.7,404.806687871451,1696,88470,0.0675153879380859
"8",0.5,"Spatial","1","1",100,2110,1,100,21,69,42.2,21,10.3329327840768,0.297873565732918,0.00625793100076215,0.228441521978392,3,0.0252796057092057,0.701672443946423,0.0212605318539493,47.0355119462471,0.428500572091466,0.270707070707071,2.7,2,1.63616161616162,290.270024473778,194,670.02,313.321694819309,1328,67002,0.126431079471991
"9",0.5,"Spatial","1","1",100,2023,1,100,20,66,40.46,20,9.53834019840467,0.286612918705617,0.00612335805941097,0.303598459534435,3,0.0268976679870941,0.695011429030887,0.0223905284623307,44.6617417575639,0.440930368696538,0.257979797979798,2.67,2,1.67171717171717,289.26911661253,185,605.07,263.668994166642,1212,60507,0.11517741359246
"10",0.5,"Spatial","1","1",100,2209,1,100,18,75,44.18,18,11.2859713319842,0.312433683955562,0.00634107159684289,0.248882252753817,3,0.0244796869771148,0.700900674296439,0.0207282943574792,48.2432361656992,0.433315700774898,0.311313131313131,2.7,2,1.61454545454545,299.821162715385,146,724.5,310.718961003787,1512,72450,0.103866214127888
"11",0.5,"Spatial","1","1",100,2301,1,100,22,74,46.02,22,12.0084810725243,0.322195293011046,0.0064753786836432,0.259358731658911,3,0.0238206671700643,0.722901788870819,0.0195852571814454,51.0588138177412,0.396912087573371,0.282626262626263,2.59,2,1.58161616161616,290.543406252133,219,817.92,386.841775396504,1562,81792,0.133537014059307
"12",0.5,"Spatial","1","1",100,2185,1,100,19,74,43.7,19,11.6093487111422,0.312365967258504,0.00636815714864678,0.278125036000607,3,0.0290464245795413,0.708415281006019,0.0209830013033656,47.6576246430296,0.411705217358028,0.306060606060606,2.62,2,1.6040404040404,291.769862676871,153,713.19,298.211290256361,1417,71319,0.099327252603743
