"","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.001,"ER","1","1",100,9,0,4,0,2,0.18,0,-5.36366707465472e-16,-2.64425930099024e-17,-1,0.790123456790123,3,0.000406039367078328,0,0.618033988749895,1.61803398874989,0.987387061454084,0.0183838383838384,0.23,0,1.38461538461538,15.3005630797458,0,0,0,0,0,0
"2",0.001,"ER","1","1",100,2,0,2,0,1,0.04,0,0,0,-1,0.5,1,0,NA,1,1,0.982318821067648,0.0096969696969697,0.04,0,1,4,0,0,0,0,0,NA
"3",0.001,"ER","1","1",100,2,0,2,0,1,0.04,0,0,0,-1,0.5,1,0,NA,1,1,0.982840706603352,0.0096969696969697,0.04,0,1,4,0,0,0,0,0,NA
"4",0.001,"ER","1","1",100,6,0,3,0,2,0.12,0,0,0,-1,0.777777777777778,2,0.00020614306328592,0,0.707106781186547,1.4142135623731,0.995773330996193,0.018989898989899,0.13,0,1.14285714285714,10.8284271247462,0,0,0,0,0,-0.2
"5",0.001,"ER","1","1",100,5,0,3,0,2,0.1,0,0,0,-1,0.72,2,0.00020614306328592,0,0.707106781186547,1.4142135623731,0.995773330996193,0.0191919191919192,0.11,0,1.16666666666667,8.82842712474619,0,0,0,0,0,-0.25
"6",0.001,"ER","1","1",100,2,0,2,0,1,0.04,0,0,0,-1,0.5,1,0,NA,1,1,1,0.0096969696969697,0.04,0,1,4,0,0,0,0,0,NA
"7",0.001,"ER","1","1",100,4,0,2,0,1,0.08,0,0,0,-1,0.75,1,0,NA,1,1,0.9989833869276,0.00929292929292929,0.08,0,1,8,0,0,0,0,0,NA
"8",0.001,"ER","1","1",100,3,0,2,0,1,0.06,0,0,0,-1,0.666666666666667,1,0,NA,1,1,1,0.0094949494949495,0.06,0,1,6,0,0,0,0,0,NA
"9",0.001,"ER","1","1",100,4,0,2,0,1,0.08,0,0,0,-1,0.75,1,0,NA,1,1,0.948692453312166,0.00929292929292929,0.08,0,1,8,0,0,0,0,0,NA
"10",0.001,"ER","1","1",100,7,0,2,0,1,0.14,0,0,0,-1,0.857142857142857,1,0,NA,1,1,0.983154200369868,0.00868686868686869,0.14,0,1,14,0,0,0,0,0,NA
"11",0.001,"ER","1","1",100,6,0,2,0,1,0.12,0,0,0,-1,0.833333333333333,1,0,NA,1,1,0.987673287710927,0.00888888888888889,0.12,0,1,12,0,0,0,0,0,NA
"12",0.001,"ER","1","1",100,5,0,2,0,1,0.1,0,0,0,-1,0.8,1,0,NA,1,1,0.995822041916681,0.00909090909090909,0.1,0,1,10,0,0,0,0,0,NA
"13",0.001,"ER","1","1",100,3,0,2,0,1,0.06,0,0,0,-1,0.666666666666667,1,0,NA,1,1,1,0.0094949494949495,0.06,0,1,6,0,0,0,0,0,NA
"14",0.001,"ER","1","1",100,1,0,2,0,1,0.02,0,0,0,-1,0,1,0,NA,1,1,1,0.0098989898989899,0.02,0,1,2,0,0,0,0,0,NA
"15",0.001,"ER","1","1",100,7,0,3,0,2,0.14,0,0,0,-1,0.816326530612245,2,0.00020614306328592,0,0.707106781186547,1.4142135623731,0.995773330996193,0.0187878787878788,0.15,0,1.125,12.8284271247462,0,0,0,0,0,-0.166666666666667
"16",0.001,"ER","1","1",100,6,0,3,0,2,0.12,0,0,0,-1,0.777777777777778,2,0.00020614306328592,0,0.707106781186547,1.4142135623731,0.995773330996193,0.018989898989899,0.13,0,1.14285714285714,10.8284271247462,0,0,0,0,0,-0.2
"17",0.001,"ER","1","1",100,5,0,2,0,1,0.1,0,0,0,-1,0.8,1,0,NA,1,1,0.990699593118809,0.00909090909090909,0.1,0,1,10,0,0,0,0,0,NA
"18",0.001,"ER","1","1",100,6,0,3,0,2,0.12,0,0,0,-1,0.777777777777778,2,0.00020614306328592,0,0.707106781186547,1.4142135623731,0.995773330996193,0.018989898989899,0.13,0,1.14285714285714,10.8284271247462,0,0,0,0,0,-0.2
"19",0.001,"ER","1","1",100,8,0,2,0,1,0.16,0,0,0,-1,0.875,1,0,NA,1,1,0.979183780609518,0.00848484848484849,0.16,0,1,16,0,0,0,0,0,NA
"20",0.001,"ER","1","1",100,5,0,2,0,1,0.1,0,0,0,-1,0.8,1,0,NA,1,1,0.992393550325745,0.00909090909090909,0.1,0,1,10,0,0,0,0,0,NA
"21",0.001,"ER","1","1",100,6,0,2,0,1,0.12,0,0,0,-1,0.833333333333333,1,0,NA,1,1,0.995663297758325,0.00888888888888889,0.12,0,1,12,0,0,0,0,0,NA
"22",0.001,"ER","1","1",100,2,0,2,0,1,0.04,0,0,0,-1,0.5,1,0,NA,1,1,0.979592378032676,0.0096969696969697,0.04,0,1,4,0,0,0,0,0,NA
"23",0.001,"ER","1","1",100,3,0,2,0,1,0.06,0,0,0,-1,0.666666666666667,1,0,NA,1,1,1,0.0094949494949495,0.06,0,1,6,0,0,0,0,0,NA
