"","X","nei","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"13",13,13,"LAT",1,1,49,1176,1,49,48,48,48,48,48.9999999999998,1.02083333333333,0.0208333333333333,0,1,0,1,0.0208333333333333,48.0000000000001,1.51179305480872e-16,0,1,1,1,96,1128,1128,0,1128,55272,NA
"14",14,14,"LAT",1,1,49,1176,1,49,48,48,48,48,48.9999999999998,1.02083333333333,0.0208333333333333,0,1,0,1,0.0208333333333333,48.0000000000001,1.51179305480872e-16,0,1,1,1,96,1128,1128,0,1128,55272,NA
"15",15,15,"LAT",1,1,49,1176,1,49,48,48,48,48,48.9999999999998,1.02083333333333,0.0208333333333333,0,1,0,1,0.0208333333333333,48.0000000000001,1.51179305480872e-16,0,1,1,1,96,1128,1128,0,1128,55272,NA
"16",16,16,"LAT",1,1,49,1176,1,49,48,48,48,48,48.9999999999998,1.02083333333333,0.0208333333333333,0,1,0,1,0.0208333333333333,48.0000000000001,1.51179305480872e-16,0,1,1,1,96,1128,1128,0,1128,55272,NA
"17",17,17,"LAT",1,1,49,1176,1,49,48,48,48,48,48.9999999999998,1.02083333333333,0.0208333333333333,0,1,0,1,0.0208333333333333,48.0000000000001,1.51179305480872e-16,0,1,1,1,96,1128,1128,0,1128,55272,NA
"18",18,18,"LAT",1,1,49,1176,1,49,48,48,48,48,48.9999999999998,1.02083333333333,0.0208333333333333,0,1,0,1,0.0208333333333333,48.0000000000001,1.51179305480872e-16,0,1,1,1,96,1128,1128,0,1128,55272,NA
"19",19,19,"LAT",1,1,49,1176,1,49,48,48,48,48,48.9999999999998,1.02083333333333,0.0208333333333333,0,1,0,1,0.0208333333333333,48.0000000000001,0,0,1,1,1,96,1128,1128,0,1128,55272,NA
"20",20,20,"LAT",1,1,49,1176,1,49,48,48,48,48,48.9999999999998,1.02083333333333,0.0208333333333333,0,1,0,1,0.0208333333333333,48.0000000000001,0,0,1,1,1,96,1128,1128,0,1128,55272,NA
"21",1,1,"LAT",1,1,144,264,1,144,2,4,3.66666666666667,2,0.0681483474218644,0.019385937292529,0.000895317698354006,0.666207529843893,22,0.0596887360694442,0,0.257481957737431,3.88376726970422,0.529384302326735,0.00233100233100233,17,12,8,223.309716278415,0,0,0,0,0,0.589637305699483
"22",2,2,"LAT",1,1,144,746,1,144,5,12,10.3611111111111,5,0.458827485098835,0.0475697222529837,0.0016799456388038,0.570650259830805,11,0.029600100567229,0.480462300495322,0.0889879307313462,11.2374789680074,0.507083150738444,0.0114607614607615,8.75,6,4.25174825174825,345.221883933413,7,24.25,7.144365475111,30,3492,0.560180230268493
