"","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.01,"ER","1","1",50,9,0,3,0,2,0.36,0,0,0,-1,0.864197530864198,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.033469387755102,0.38,0,1.1,16.8284271247462,0,0,0,0,0,-0.125
"2",0.01,"ER","1","1",50,13,0,4,0,2,0.52,0,-2.95458956881047e-16,-2.28838443233481e-16,-1,0.863905325443787,3,0.00163126475079828,0,0.618033988749895,1.61803398874989,0.974248583802088,0.0302040816326531,0.64,0,1.33333333333333,22.128990204492,0,0,0,0,0,-0.0833333333333334
"3",0.01,"ER","1","1",50,15,0,6,0,3,0.6,0,-1.11022302462516e-16,-1.83095354712939e-16,-1,0.8,4,0.00567471886713869,0,0.525731112119133,1.90211303259031,0.96156111005056,0.0489795918367347,0.92,0,1.76666666666667,22.2843572788425,0,0,0,0,0,-0.212121212121212
"4",0.01,"ER","1","1",50,13,0,5,0,3,0.52,0,-5.43054217301146e-16,-6.18313983422693e-16,-1,0.792899408284024,3,0.00411286963765098,0,0.541196100146197,1.84775906502257,0.973708903595924,0.0506122448979592,0.68,0,1.54166666666667,18.3472077241356,0,0,0,0,0,-0.482456140350877
"5",0.01,"ER","1","1",50,10,0,5,0,3,0.4,0,-6.40501031653461e-16,-6.52105733255511e-16,-1,0.66,4,0.00402610023601277,0,0.541196100146197,1.84775906502257,0.973708903595924,0.0530612244897959,0.66,0,1.81818181818182,14.6903534746433,0,0,0,0,0,-0.176470588235294
"6",0.01,"ER","1","1",50,16,0,4,0,3,0.64,0,-9.66214374604495e-16,-5.00083865324373e-16,-1,0.859375,3,0.00239483548521449,0,0.577350269189626,1.73205080756888,0.984748941508982,0.0481632653061225,0.84,0,1.46153846153846,25.2368006498831,0,0,0,0,0,-0.285714285714286
"7",0.01,"ER","1","1",50,20,0,7,0,3,0.8,0,-9.19384540989073e-16,-4.74612470501929e-16,-1,0.84,5,0.00891989448840761,0,0.507713305942873,1.96961550602442,0.955851055102426,0.0448979591836735,1.22,0,1.85714285714286,28.6562721382202,0,0,0,0,0,-0.327014218009479
"8",0.01,"ER","1","1",50,15,0,4,0,2,0.6,0,-3.76695280368554e-16,-1.4898412637151e-16,-1,0.88,3,0.00161391087047064,0,0.618033988749895,1.61803398874989,0.974248583802087,0.0285714285714286,0.74,0,1.33333333333333,24.9574173292382,0,0,0,0,0,-0.2
"9",0.01,"ER","1","1",50,15,0,7,0,3,0.6,0,-8.23507748955122e-16,-7.49894640556612e-16,-1,0.775555555555556,5,0.00718450645564348,0,0.517638090205041,1.93185165257814,0.948968963692017,0.0489795918367347,1.04,0,2.05882352941176,23.0279696900583,0,0,0,0,0,-0.0606060606060606
"10",0.01,"ER","1","1",50,13,0,10,0,4,0.52,0,-8.65011998123566e-16,-4.93436257488104e-16,-1,0.64792899408284,6,0.020269332222685,0,0.452862978414844,2.20817343802379,0.940090996271233,0.0710204081632653,1.14,0,2.64,17.7563486291653,0,0,0,0,0,-0.2
"11",0.01,"ER","1","1",50,14,0,7,0,3,0.56,0,-8.13899414728191e-16,-5.2002822477627e-16,-1,0.721938775510204,5,0.00888518672775233,0,0.507713305942872,1.96961550602442,0.955851055102426,0.0497959183673469,1,0,2.05555555555556,19.9331410083494,0,0,0,0,0,-0.196581196581197
"12",0.01,"ER","1","1",50,11,0,4,0,2,0.44,0,-5.27134369590816e-16,0,-1,0.84297520661157,3,0.00164861863112592,0,0.618033988749895,1.61803398874989,0.974248583802087,0.0318367346938776,0.54,0,1.33333333333333,19.3005630797458,0,0,0,0,0,0.0833333333333334
"13",0.01,"ER","1","1",50,8,0,3,0,2,0.32,0,-3.76695280368554e-16,-2.71583372386412e-16,-1,0.84375,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0342857142857143,0.34,0,1.11111111111111,14.8284271247462,0,0,0,0,0,-0.142857142857143
"14",0.01,"ER","1","1",50,6,0,2,0,1,0.24,0,0,0,-1,0.833333333333333,1,0,NA,1,1,0.960531988629532,0.0155102040816327,0.24,0,1,12,0,0,0,0,0,NA
"15",0.01,"ER","1","1",50,7,0,3,0,2,0.28,0,0,0,-1,0.816326530612245,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0351020408163265,0.3,0,1.125,12.8284271247462,0,0,0,0,0,-0.166666666666667
"16",0.01,"ER","1","1",50,11,0,5,0,3,0.44,0,-7.41457225519799e-17,0,-1,0.793388429752066,3,0.00418228515896154,0,0.541196100146197,1.84775906502257,0.973708903595924,0.0522448979591837,0.56,0,1.5,18.0546789842517,0,0,0,0,0,-0.0476190476190476
