"","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.01,"ER","1","1",150,129,0,99,0,7,1.72,0,-1.80312870213719e-15,-1.43890253311623e-15,-1,0.784177633555676,25,0.1646693538275,0.0285714285714286,0.313207232267449,3.19277429438824,0.940240558431287,0.0354362416107383,14.0933333333333,0,9.08850806451613,149.966428568315,0,0.04,0.19661566092457,1,6,-0.108787073926516
"2",0.01,"ER","1","1",150,108,0,79,0,4,1.44,0,-1.98494886781359e-15,-1.28989845365665e-15,-1,0.822316529492455,22,0.137457893910306,0,0.382098113530441,2.61712885928795,0.917506592172203,0.0171812080536913,9.29333333333333,0,8.40444444444444,133.145161302555,0,0,0,0,0,-0.141257225433526
"3",0.01,"ER","1","1",150,99,0,43,0,4,1.32,0,-2.29134823065894e-15,-1.37480879385659e-15,-1,0.83001734516886,17,0.0444525873560602,0,0.38877839309628,2.57215940432253,0.949861313320705,0.0179865771812081,5.87333333333333,0,5.77238805970149,126.279673159685,0,0,0,0,0,0.04295154185022
"4",0.01,"ER","1","1",150,105,0,76,0,5,1.4,0,-2.60711776740648e-15,-1.39166593764109e-15,-1,0.802131519274376,19,0.0945507689573273,0.0204081632653061,0.345983463193986,2.89031155063998,0.944786163238136,0.0241610738255034,7.70666666666667,0,7.35751295336788,127.095645197331,0,0.02,0.140469013039037,1,3,-0.0913705583756342
"5",0.01,"ER","1","1",150,120,0,102,0,6,1.6,0,-1.96794584096833e-15,-1.23940205611922e-15,-1,0.762777777777778,22,0.134631748995967,0.0173410404624277,0.358694404150546,2.78788848788478,0.942938839049192,0.0295302013422819,12.0533333333333,0,8.89980657640232,145.933320962199,0,0.02,0.140469013039037,1,3,-0.101046110689031
"6",0.01,"ER","1","1",150,126,0,111,0,5,1.68,0,-2.35568924543362e-15,-1.08464744296733e-15,-1,0.739008566389519,24,0.260190069354071,0,0.341338397792161,2.92964403204615,0.902697268099004,0.0222818791946309,13.1666666666667,0,8.44698578663617,150.261492514115,0,0,0,0,0,0.0338016072633584
"7",0.01,"ER","1","1",150,121,0,90,0,5,1.61333333333333,0,-1.74388241981357e-15,-1.47630107313841e-15,-1,0.760193975821324,21,0.105480700284988,0,0.361153740124454,2.76890390130087,0.884198897078915,0.0227293064876957,9.62666666666667,0,7.83968332508659,148.389301878446,0,0,0,0,0,0.0106918238993707
"8",0.01,"ER","1","1",150,111,0,36,0,4,1.48,0,-2.05810937029413e-15,-1.34220164107696e-15,-1,0.884871357844331,15,0.029971866375632,0,0.392269639233246,2.54926688171601,0.937674106957051,0.0169127516778523,5.27333333333333,0,4.76649746192893,141.306419162439,0,0,0,0,0,-0.179520206085977
"9",0.01,"ER","1","1",150,106,0,86,0,5,1.41333333333333,0,-1.64843325293226e-15,-1.44153437230896e-15,-1,0.732912068351727,17,0.101930823666331,0,0.329284758878243,3.03688516713208,0.885931530999284,0.0240715883668904,7.4,0,6.67583015786609,128.04290068263,0,0,0,0,0,0.150300601202405
"10",0.01,"ER","1","1",150,99,0,24,0,4,1.32,0,-2.01154414601044e-15,-1.42152743988524e-15,-1,0.893021120293848,10,0.00991433305293041,0.0272727272727273,0.399996323310317,2.50002297952174,0.978615462553462,0.0179865771812081,3.56,0,3.63851351351351,129.328767253347,0,0.02,0.140469013039037,1,3,-0.0503978779840852
