"","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.005,"ER","1","1",250,137,0,60,0,5,1.096,0,-2.53149588000323e-15,-1.81061238793228e-15,-1,0.88907240662795,21,0.0367461554990528,0,0.375579016838245,2.66255556132595,0.974035515101205,0.0156787148594377,5.46,0,7.63297624592455,182.760369791781,0,0,0,0,0,-0.0118388182904313
"2",0.005,"ER","1","1",250,142,0,27,0,6,1.136,0,-2.12121979570456e-15,-1.69877181491047e-15,-1,0.92189049791708,12,0.00550303298958237,0.0192307692307692,0.38678776189293,2.58539720881039,0.988638399949785,0.0195341365461847,3.296,0,4.12646121147715,189.605348263722,0,0.012,0.10910368672887,1,3,-0.0885860306643953
"3",0.005,"ER","1","1",250,142,0,91,0,4,1.136,0,-3.02333045901874e-15,-1.78988617011629e-15,-1,0.83415988891093,20,0.066169718386436,0,0.377723118677509,2.6474418709165,0.944724733610846,0.0115020080321285,6.408,0,8.45938242280285,187.301464817868,0,0,0,0,0,0.119228118538939
"4",0.005,"ER","1","1",250,166,0,117,0,5,1.328,0,-2.58499320763872e-15,-1.73938422630169e-15,-1,0.849452024967339,26,0.0849482916768772,0,0.363359361123664,2.75209642847117,0.948164197569388,0.0147469879518072,9.548,0,9.73399014778325,212.805595724281,0,0,0,0,0,0.103005741303614
"5",0.005,"ER","1","1",250,154,0,75,0,6,1.232,0,-2.34764043077048e-15,-1.76344589106214e-15,-1,0.877255861022095,23,0.0570326389116513,0,0.362649434476471,2.7574839636621,0.972623826277361,0.01914859437751,6.956,0,8.23212005108557,199.768768112802,0,0,0,0,0,-0.00577478344562105
"6",0.005,"ER","1","1",250,154,0,94,0,5,1.232,0,-2.9971616467083e-15,-1.92694086992697e-15,-1,0.882189239332097,29,0.0719737350750326,0.032967032967033,0.358349537239091,2.79057148421207,0.979477827588214,0.0151325301204819,8.964,0,10.7692477876106,197.517276903987,0,0.024,0.15335603114699,1,6,-0.0332936979785973
"7",0.005,"ER","1","1",250,153,0,46,0,5,1.224,0,-2.34523209070282e-15,-1.92135981718627e-15,-1,0.898094749882524,16,0.019561078879581,0,0.371910096466876,2.68882186716613,0.974686638393936,0.0151646586345382,4.22,0,5.34080188679245,198.438893516751,0,0,0,0,0,-0.0928944940018457
"8",0.005,"ER","1","1",250,153,0,107,0,7,1.224,0,-2.56895662055519e-15,-1.84667020167252e-15,-1,0.839762484514503,23,0.0799264337221061,0,0.343749797935233,2.90909261912763,0.954103219067347,0.0231967871485944,7.776,0,8.70422781271838,195.724865585125,0,0,0,0,0,0.00120001920030733
"9",0.005,"ER","1","1",250,162,0,92,0,7,1.296,0,-2.35392404292451e-15,-1.7264419657701e-15,-1,0.852785398567292,20,0.075258411544871,0.0128205128205128,0.333580829297141,2.99777418896347,0.970881795524337,0.0229076305220884,7.016,0,7.44945567651633,198.133726243366,0,0.012,0.10910368672887,1,3,-0.0547945205479452
"10",0.005,"ER","1","1",250,161,0,58,0,5,1.288,0,-2.53661589222756e-15,-1.79840539043832e-15,-1,0.891863739824852,17,0.0239660546578073,0,0.377727173202518,2.64741345326472,0.964404145007193,0.0149076305220884,5.684,0,6.6504347826087,208.044176148812,0,0,0,0,0,-0.128685297224623
