"","X","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"11",11,0.1,"ER",1,1,400,7871,1,400,23,61,39.355,23,21.1482221171181,0.704212494966223,0.00130507671374199,0.0980566026232845,3,0.00292636940164484,0.0985622508611014,0.0247465026578586,40.4097505746912,0.375172862655793,0.0542481203007519,2.9775,2,1.92085213032581,2048.94698152294,23,76.4025,25.3959224274262,179,30561,-0.00706285046876118
"12",12,0.1,"ER",1,1,400,7962,1,400,24,60,39.81,24,22.4598647917235,0.705502043118809,0.00130861240116325,0.101752075498533,3,0.00295112751363617,0.101465432329458,0.024585943427666,40.6736476451306,0.342462125265636,0.0506015037593985,2.9525,2,1.91552631578947,2069.42495129046,29,80.0925,24.4288941814262,173,32037,-0.00226112569776669
"13",13,0.1,"ER",1,1,400,8091,1,400,23,59,40.455,23,21.584196452396,0.705796406876927,0.00130976174229589,0.105436879387708,3,0.00271518868449667,0.102103642893792,0.0241127211337769,41.4718850872126,0.313562294145451,0.0464786967418546,2.9475,2,1.91390977443609,2076.09984371092,25,83.58,26.602496726439,164,33432,-0.0183922407502549
"14",14,0.1,"ER",1,1,400,7959,1,400,22,66,39.795,22,20.3401170806146,0.712030640932274,0.00130767343772239,0.0983087781470058,3,0.00415121135003901,0.0998430409549186,0.0245630862984731,40.7114964238904,0.392708875307241,0.0656766917293233,2.985,2,1.91697994987469,2062.62161551498,21,78.8775,25.1039441878057,206,31551,-0.012543806088692
"15",15,0.1,"ER",1,1,400,7887,1,400,21,54,39.435,21,19.8084413356105,0.707440598003334,0.00130622935308071,0.100335466240539,3,0.00202940916175302,0.0979811357322825,0.0248293679976818,40.2748873871201,0.278821363378009,0.0365037593984962,2.9825,2,1.91906015037594,2054.78716097027,20,75.8325,23.063048459834,144,30333,0.00792124386044473
"16",16,0.1,"ER",1,1,400,7972,1,400,25,58,39.86,25,22.9427038785056,0.708642722655758,0.00130847116152024,0.0950486370510535,3,0.00250863332486448,0.0996572683721194,0.0245376278093505,40.7537357632807,0.322591594993905,0.0454636591478697,2.955,2,1.91576441102757,2063.60861552461,23,78.945,26.1119044476789,188,31578,-0.0169176493062329
"17",17,0.1,"ER",1,1,400,8042,1,400,22,61,40.21,22,20.6753701028667,0.706397435406462,0.00130946732248362,0.0960918248085885,3,0.00306480071697005,0.101595719934869,0.0243321133398989,41.0979509272726,0.339611598228743,0.0521052631578947,2.95,2,1.91427318295739,2074.49134871893,21,81.8925,25.9497479235008,197,32757,-0.0191480410447135
"18",18,0.1,"ER",1,1,400,8006,1,400,25,60,40.03,25,22.7482681496924,0.711108904459215,0.00130852747206355,0.0990022300287026,3,0.00275973326747816,0.10122089899154,0.0243877945478409,41.0041177786014,0.338489102261834,0.0500501253132832,2.95,2,1.91571428571429,2068.8701169816,24,81,26.3631853890923,166,32400,0.00532771725526954
"19",19,0.1,"ER",1,1,400,7916,1,400,19,56,39.58,19,18.1080756085783,0.706670657316652,0.00130607474819472,0.100002623555417,3,0.0021886505831174,0.0991708571647921,0.0246850895307831,40.5102845081023,0.30844623630518,0.0411528822055138,2.98,2,1.91934837092732,2057.79026594347,18,77.505,25.0806213823004,163,31002,-9.87428295112849e-05
"20",20,0.1,"ER",1,1,400,7957,1,400,23,54,39.785,23,21.5809344280194,0.703394927584539,0.00130741787902481,0.104633640264076,3,0.00201001764149306,0.0998183046203898,0.0246013687689665,40.6481448000346,0.292219493653377,0.0356265664160401,2.9725,2,1.91730576441103,2063.08795066515,26,78.6975,24.094134390554,147,31479,-0.00407682897018135
