"","X","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,0.1,"Spatial",1,1,100,141,0,30,0,7,2.82,0,-2.36082524827885e-15,-1.40633328556072e-15,-1,0.836426739097631,15,0.0373243879737386,0.5390625,0.185083319010418,5.40297205251496,0.939643931587948,0.0422222222222222,7.46,0,4.86363636363636,136.819426565558,0,2.07,2.65244312765694,13,207,0.497373358348968
"2",2,0.1,"Spatial",1,1,100,163,0,69,0,8,3.26,0,-6.22648389161131e-16,-6.96990585100335e-16,-1,0.808987918250593,21,0.17543508431985,0.528046421663443,0.186136881404998,5.37239042822573,0.929561012522417,0.0478787878787879,12.35,0,7.58592802264456,144.634321359244,0,2.73,3.01127510828516,12,273,0.494005566259901
"3",3,0.1,"Spatial",1,1,100,163,0,57,0,9,3.26,0,-2.60146896847699e-15,-1.13252539601778e-15,-1,0.76743573337348,16,0.112851874756637,0.574137931034483,0.158823503073198,6.29629734044541,0.914202861245147,0.057979797979798,8.38,0,5.76615553121577,139.657726435156,0,3.33,4.2188968829649,17,333,0.576525168174437
"4",4,0.1,"Spatial",1,1,100,126,0,55,0,6,2.52,0,-2.69309493727939e-15,-6.43214169022948e-16,-1,0.843757873519778,23,0.14102059556605,0.51685393258427,0.223061590110007,4.48306675975379,0.946743324724033,0.0351515151515151,10.73,0,8.08281444582815,132.840362331751,0,1.38,1.86828933800551,8,138,0.367515238436715
"5",5,0.1,"Spatial",1,1,100,161,0,42,0,8,3.22,0,-1.18839233861305e-15,-6.99448515641803e-16,-1,0.854461633424636,18,0.0945863499976054,0.61747572815534,0.16674432529021,5.99720559161189,0.94364197877897,0.0482828282828283,8.43,0,5.57836456558773,142.842820844,0,3.18,3.92963359640822,17,318,0.509884091198574
"6",6,0.1,"Spatial",1,1,100,148,0,57,0,7,2.96,0,-1.92826120861893e-15,-6.76714679023617e-16,-1,0.840052045288532,25,0.161797317641473,0.596858638743455,0.205623859529526,4.86324885783213,0.940209847949223,0.0408080808080808,12.52,0,8.23916620954471,140.646343997606,0,2.28,2.42495444089246,9,228,0.449609520267757
"7",7,0.1,"Spatial",1,1,100,148,0,59,0,7,2.96,0,-3.17586106627802e-15,-4.18061623968419e-16,-1,0.834961650840029,22,0.169272606502044,0.551470588235294,0.185780372525348,5.38269993975581,0.954696194021809,0.0408080808080808,11.35,0,8.19645732689211,139.325128334814,0,2.25,3.01971635566768,13,225,0.459117938553023
"8",8,0.1,"Spatial",1,1,100,146,0,36,0,9,2.92,0,-1.19009161545841e-15,-9.68624275503801e-16,-1,0.817625258022143,11,0.0567039181757796,0.587699316628702,0.151130662698261,6.61679094199794,0.929078539512446,0.0614141414141414,6.45,0,4.51181102362205,137.744959136088,0,2.58,4.37896717678422,21,258,0.752408849148231
"9",9,0.1,"Spatial",1,1,100,137,0,54,0,6,2.74,0,-1.84266068964381e-15,-7.14520602091485e-16,-1,0.871543502584048,21,0.14891649956585,0.534375,0.234177519188916,4.27026472679164,0.949426755294734,0.0329292929292929,9.75,0,7.52621359223301,138.048130568864,0,1.71,1.82737323207191,7,171,0.239559865478173
"10",10,0.1,"Spatial",1,1,100,140,0,30,0,6,2.8,0,-1.13384940760329e-15,-8.00106171500978e-16,-1,0.853035714285714,14,0.0406393350116294,0.541547277936963,0.224035727268912,4.46357378883454,0.96256683089277,0.0323232323232323,7.19,0,4.47349397590361,136.736903256849,0,1.89,2.32202889340727,8,189,0.395982742364068
"11",11,0.1,"Spatial",1,1,100,158,0,50,0,9,3.16,0,-1.52469454526485e-15,-4.55028585308882e-16,-1,0.819940714629066,18,0.126446905667685,0.638783269961977,0.14350350197913,6.96847105616579,0.935567570230991,0.058989898989899,9.3,0,6.29878869448183,139.443740993725,0,3.36,5.40579561791105,24,336,0.685490566037736
"12",12,0.1,"Spatial",1,1,100,144,0,29,0,7,2.88,0,-3.83604945993548e-15,-1.14519426121451e-15,-1,0.858362268518518,15,0.0371390674420977,0.58974358974359,0.216109263680575,4.62728891380645,0.956830709920684,0.0416161616161616,7.41,0,4.60557341907824,140.344712667293,0,2.07,2.12372362142582,10,207,0.303742384682332
"13",13,0.1,"Spatial",1,1,100,146,0,36,1,7,2.92,0,-2.56040028934945e-15,-3.46375833713378e-18,-1,0.839275661474948,19,0.0568017840745113,0.55919395465995,0.17079407092535,5.85500418475931,0.944371593097082,0.0412121212121212,9.71,1,5.8968,139.026354974714,0,2.22,3.32902752202865,15,222,0.593610711881674
"14",14,0.1,"Spatial",1,1,100,144,0,49,0,9,2.88,0,-1.60705073861874e-15,-7.6048279964956e-16,-1,0.820240162037037,19,0.10194949465203,0.563855421686747,0.181734112896911,5.5025442612816,0.935616768184765,0.0618181818181818,9.49,0,7.13923132704859,137.195719897119,0,2.34,3.08865633889528,13,234,0.489969839919573
"15",15,0.1,"Spatial",1,1,100,144,0,62,0,7,2.88,0,-4.41983068881528e-16,-7.56592193813875e-16,-1,0.811390817901235,26,0.199059238020277,0.493573264781491,0.187117547939633,5.3442342047076,0.928539178962323,0.0416161616161616,14.2,0,9.59395656279509,139.322583740674,0,1.92,2.45640782321246,11,192,0.35647173025147
"16",16,0.1,"Spatial",1,1,100,169,0,43,1,9,3.38,0,-4.51390401827043e-16,-7.73990980974289e-16,-1,0.804366093624173,22,0.0878190272129666,0.618811881188119,0.128242712317862,7.7977140527206,0.918283431564549,0.0567676767676768,10.69,1,6.7410941475827,148.159368370865,0,3.75,6.57263226945605,28,375,0.758859672112052
"17",17,0.1,"Spatial",1,1,100,145,0,73,0,8,2.9,0,-2.39130811013243e-15,-6.80113118217788e-16,-1,0.826206896551724,24,0.292827262524232,0.552825552825553,0.166548341992164,6.00426271458798,0.941409495051379,0.0515151515151515,13.8,0,9.56665428889714,137.242171710914,0,2.25,3.3405225503042,16,225,0.576424701351263
"18",18,0.1,"Spatial",1,1,100,128,0,36,0,5,2.56,0,-1.5967702800996e-15,-7.37312006443743e-16,-1,0.850006103515625,21,0.0501531497202493,0.532818532818533,0.250614179426086,3.99019721186578,0.963734868754936,0.0246464646464646,10.11,0,6.80710659898477,133.562332290803,0,1.38,1.54252842417699,6,138,0.415671315114752
"19",19,0.1,"Spatial",1,1,100,140,0,62,0,7,2.8,0,-1.38881320112385e-15,-1.04968612174362e-15,-1,0.813188775510204,19,0.164777021919879,0.448275862068966,0.225858618619348,4.42754855277563,0.941135385402098,0.0424242424242424,10.88,0,7.71151984511133,139.722411761935,0,1.56,1.84401844904113,8,156,0.464734882784988
"20",20,0.1,"Spatial",1,1,100,135,0,71,0,6,2.7,0,4.05035001760642e-16,1.14236907363583e-16,-1,0.819012345679012,29,0.214515803260392,0.423076923076923,0.245714380229885,4.06976587639853,0.958439798344053,0.0333333333333333,18.81,0,10.3607322325915,137.80801159144,0,1.32,1.48989864749183,7,132,0.186343331206127
"21",21,0.1,"Spatial",1,1,100,142,0,61,0,6,2.84,0,-1.81692701417702e-15,-5.53898977315713e-16,-1,0.812512398333664,18,0.187520779151371,0.504065040650406,0.213957705199565,4.67382092674471,0.935637577081144,0.0319191919191919,11.55,0,7.25170998632011,136.149955008278,0,1.86,2.02020101010076,7,186,0.268350367429681
