"","mu","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.15,"Spatial_noncomm","1","1",100,829,1,100,8,35,16.58,8,6.39196511649459,0.560775762518842,0.00532314971005081,0.169229581952095,3,0.0247787080505619,0.219078139915451,0.0522042438971651,19.1555307643159,0.578805549774542,0.186060606060606,2.9,2,1.90444444444444,319.753337955606,3,32.13,30.042950735387,142,3213,0.109734336299999
"2",0.15,"Spatial_noncomm","1","1",100,854,1,100,9,33,17.08,9,7.07642428195634,0.58216685595209,0.00535407613593344,0.145800322294235,3,0.0228930261334242,0.226187484292536,0.050004934215512,19.9980265085479,0.535656456966121,0.160808080808081,2.9,2,1.89353535353535,321.917462690169,4,36,34.2055580574298,127,3600,0.0704017225223376
"3",0.15,"Spatial_noncomm","1","1",100,863,1,100,9,32,17.26,9,7.17714587252069,0.579216581977826,0.00536598551239191,0.157888546586037,3,0.0201092482953353,0.21866382552018,0.0503126458335361,19.8757187866563,0.53299493895951,0.148888888888889,2.89,2,1.88929292929293,324.74458897944,3,34.89,31.5482298723844,134,3489,0.099356487322385
"4",0.15,"Spatial_noncomm","1","1",100,852,1,100,8,34,17.04,8,6.43876986863882,0.590296687544469,0.00534184862962383,0.159578964114189,3,0.0220180731628575,0.221828983125829,0.0500178211734786,19.9928740704571,0.56675286048381,0.171313131313131,2.86,2,1.89878787878788,320.556678882523,3,35.1,34.6490339772346,153,3510,0.0927819132483148
"5",0.15,"Spatial_noncomm","1","1",100,859,1,100,8,39,17.18,8,6.71255583111299,0.599912491093161,0.0053571768666648,0.143980532884598,3,0.0324582781202982,0.224762967094255,0.0494219457009315,20.2339261600773,0.589388997092191,0.22040404040404,2.93,2,1.89313131313131,322.691061090033,2,36.27,37.3500652440846,179,3627,0.0932792611911242
"6",0.15,"Spatial_noncomm","1","1",100,848,1,100,9,34,16.96,9,6.87799937285599,0.582944025697871,0.00534710621428482,0.153652310371399,3,0.0249076994179504,0.215159557252897,0.051175119136427,19.5407459108032,0.562419535898175,0.172121212121212,2.88,2,1.8959595959596,323.443943733907,3,33.24,30.6050500883284,144,3324,0.0726116708577673
"7",0.15,"Spatial_noncomm","1","1",100,837,1,100,8,32,16.74,8,6.64588241650442,0.577138353831542,0.00532937382208603,0.152658060193062,3,0.0200995829732541,0.210741311189982,0.0519921865868653,19.2336592408796,0.539979392707302,0.154141414141414,2.89,2,1.90242424242424,322.989086054291,4,31.47,28.1487588760611,124,3147,0.109631831528304
"8",0.15,"Spatial_noncomm","1","1",100,838,1,100,8,36,16.76,8,6.68279439994178,0.546736504034193,0.00532722511554719,0.139610305428505,3,0.0230905862554053,0.214706652697748,0.0508881618115396,19.6509357854863,0.589702441135654,0.194343434343434,2.86,2,1.90383838383838,320.028847322955,5,32.79,32.9190298346188,161,3279,0.0834265703670972
"9",0.15,"Spatial_noncomm","1","1",100,826,1,100,7,34,16.52,7,6.17063098877519,0.565081269612542,0.00532124416830651,0.154964417219162,3,0.0231299321034786,0.207786885245902,0.0524414165625016,19.0688975536762,0.564091352370741,0.176565656565657,2.89,2,1.90525252525253,319.260018161009,0,30.42,28.0047542861255,126,3042,0.0814079669829533
"10",0.15,"Spatial_noncomm","1","1",100,830,1,100,9,29,16.6,9,6.66961171044458,0.57676739149154,0.00532327266176987,0.137624472379684,3,0.0182509885965859,0.208419314898886,0.053011334480237,18.8638903322233,0.47632764112351,0.125252525252525,2.88,2,1.90424242424242,323.514957129698,3,30.3,23.4566008025912,94,3030,0.122030752331256
