"","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.7,"Spatial","1","1",250,23686,1,250,89,249,189.488,89,86.7090053830429,0.654620653104963,0.00328565814186054,0.088849120265236,2,0.0017180357555058,0.838373508475284,0.0051068244973813,195.816402250123,0.214449990926924,0.239004016064257,1.988,1,1.23900401606426,908.045599460887,3842,15507.264,4724.83642035366,23437,3876816,-0.0756285657397208
"2",0.7,"Spatial","1","1",250,23097,1,250,83,249,184.776,83,81.0932222473922,0.637119832263276,0.00323782266361331,0.0756275918809362,2,0.00216696728261374,0.830135544299499,0.00521041978992854,191.923115663914,0.230148727161638,0.257927710843374,1.992,1,1.25792771084337,912.422557104254,3341,14668.08,4734.56150410411,22848,3667020,-0.0597656232908969
"3",0.7,"Spatial","1","1",250,22676,1,250,61,247,181.408,61,60.5149455878379,0.615677276214182,0.00320842149805973,0.0979830267766742,2,0.0024818231797749,0.825446829587716,0.00527372154176742,189.619416209234,0.236603438489816,0.263421686746988,2,2,1.27145381526104,913.400176721871,1830,14158.764,4861.04023734223,22258,3539691,-0.0751399273980647
"4",0.7,"Spatial","1","1",250,21829,1,250,90,249,174.632,90,81.356895569264,0.596337237244717,0.00313709267656991,0.107098687714119,2,0.00306670177600159,0.80632045888408,0.00548036274360512,182.469673411103,0.268267445922976,0.298666666666667,1.996,1,1.29866666666667,930.499539626969,3887,12808.236,4426.58642770156,21580,3202059,-0.0672061721252408
"5",0.7,"Spatial","1","1",250,22681,1,250,95,249,181.448,95,85.3610147413779,0.626695873376366,0.00320458854820804,0.0758863079708484,2,0.00247352919932043,0.821932330473159,0.00529458344864574,188.872271010438,0.2424505201192,0.271293172690763,1.992,1,1.27129317269076,923.776696270577,4321,14039.436,4648.32118222877,22432,3509859,-0.0668119872304191
"6",0.7,"Spatial","1","1",250,21739,1,250,88,245,173.912,88,80.8370629761646,0.595632379397905,0.00312980345420284,0.0856611991413059,2,0.00281257160770592,0.805424149053175,0.00550142394380852,181.771121479455,0.264367333002013,0.285493975903614,2,2,1.30155823293173,925.946375309113,3810,12692.328,4382.01737164489,21102,3173082,-0.0678130944476091
"7",0.7,"Spatial","1","1",250,21813,1,250,86,248,174.504,86,80.3226857003478,0.597459033582364,0.00313496913812168,0.092115330072015,3,0.00320469487868409,0.806951931534818,0.00548210326616688,182.411740795099,0.26690112621475,0.295164658634538,2.012,2,1.29924497991968,932.794396266601,3639,12799.368,4413.84635700303,21470,3199842,-0.0572923602459682
"8",0.7,"Spatial","1","1",250,22660,1,250,82,249,181.28,82,80.5647786420736,0.639457917720054,0.00320254604271912,0.097675044344853,2,0.00253454138811309,0.821479619336405,0.00529669093213779,188.797121223834,0.242753543452284,0.271967871485944,1.996,1,1.27196787148594,928.821090162118,3289,14009.52,4656.42027405975,22411,3502380,-0.0591940812157455
"9",0.7,"Spatial","1","1",250,22620,1,250,99,247,180.96,99,88.6499466217802,0.645199060265956,0.0032014096356262,0.106641318997374,2,0.0022817183581144,0.82241341161095,0.00529765297526855,188.762836046147,0.239275546034676,0.265220883534137,2,2,1.27325301204819,916.361022957396,4706,14005.128,4730.40381284158,22160,3501282,-0.070365432265745
"10",0.7,"Spatial","1","1",250,22692,1,250,82,248,181.536,82,79.9398398385777,0.625759848544277,0.00320523654046712,0.103614200831441,2,0.00235683862929818,0.822399695626171,0.00529230797561442,188.953478257074,0.240273197442151,0.266923694779116,2,2,1.27093975903614,925.675939909497,3313,14058.732,4645.55338849068,22338,3514683,-0.0643332000871765
"11",0.7,"Spatial","1","1",250,22930,1,250,80,249,183.44,80,77.9821698943711,0.642805324567566,0.00322560807282705,0.0944882964497459,2,0.00222999258186084,0.828524304556358,0.00523894741029239,190.878037453747,0.234362752202633,0.263293172690763,1.988,1,1.26329317269076,915.254998224137,3095,14453.232,4765.52237053108,22681,3613308,-0.0614681714965819
"12",0.7,"Spatial","1","1",250,23007,1,250,94,248,184.056,94,89.9733394405306,0.66075425232651,0.0032310710785449,0.0854314751963034,2,0.00207543577616883,0.827881512167688,0.00522838097992701,191.263797309193,0.231063208879839,0.256803212851406,2,2,1.26081927710843,918.110326279874,4213,14526.264,4722.48371304592,22654,3631566,-0.0687900928759527
"13",0.7,"Spatial","1","1",250,21822,1,250,86,247,174.576,86,80.4827389397687,0.592963138124394,0.00313909215914297,0.093340648877877,2,0.00287497132884174,0.808321195993446,0.00547362015170248,182.694445775337,0.264213541241023,0.290859437751004,2,2,1.29889156626506,917.609817157041,3634,12862.272,4505.43786366981,21389,3215568,-0.0838900975874642
"14",0.7,"Spatial","1","1",250,21200,1,250,79,248,169.6,79,76.3652246949981,0.588634272861014,0.00309014556188846,0.116829970630117,2,0.00355335476911705,0.796463260421334,0.00562038160957272,177.92386166391,0.285029048510829,0.314859437751004,2,2,1.31887550200803,926.305710778424,3065,11987.148,4304.30962682173,20859,2996787,-0.0755829581553915
"15",0.7,"Spatial","1","1",250,21986,1,250,58,245,175.888,58,57.2718747080871,0.59474166097165,0.00314871935271752,0.115781740410893,3,0.00276557547748031,0.811489319473044,0.00543352838460038,184.042472812728,0.256214947706807,0.277558232931727,2.048,2,1.29397590361446,927.469287821574,1653,13083.48,4530.37379256962,21392,3270870,-0.0467367796365612
"16",0.7,"Spatial","1","1",250,21877,1,250,81,245,175.016,81,77.5314531605442,0.613870293810905,0.00314004477197307,0.0913709164237411,2,0.00286808195698953,0.807559442605003,0.00546888093145174,182.85276504174,0.260356447857571,0.281060240963855,2,2,1.29712449799197,934.575578330544,3192,12876.096,4437.4312894487,21246,3219024,-0.0555613278198598
"17",0.7,"Spatial","1","1",250,22388,1,250,80,249,179.104,80,78.2494229496013,0.626814529699637,0.00318008883085342,0.0576672295490364,2,0.00259910020127592,0.815745759559107,0.00536326834828358,186.453471104058,0.252203745548156,0.280706827309237,1.992,1,1.28070682730924,926.734297976014,3144,13577.292,4512.27226958608,22139,3394323,-0.0651038908101565
"18",0.7,"Spatial","1","1",250,23145,1,250,73,246,185.16,73,72.3498047850086,0.658762010284206,0.00324115693684455,0.0900583727345441,3,0.00205196063108459,0.83080220012817,0.0051975717521553,192.397536327483,0.222715383811746,0.24433734939759,2.008,2,1.25641767068273,921.655095469669,2605,14742.708,4751.51632938895,22572,3685677,-0.0495513376521228
"19",0.7,"Spatial","1","1",250,23070,1,250,88,249,184.56,88,85.8178539727587,0.660304039166991,0.00323853285214944,0.0957054085594267,2,0.00220934021641342,0.830034247853993,0.00520634744810513,192.073235597051,0.229543404850602,0.258795180722892,1.996,1,1.25879518072289,916.202478098506,3800,14672.532,4838.83075269106,22821,3668133,-0.0797227800814892
"20",0.7,"Spatial","1","1",250,23230,1,250,88,248,185.84,88,84.8060660437284,0.653487840728488,0.00324876290597811,0.0572878451258253,2,0.00191896839360887,0.831169782856129,0.00518983892517496,192.684207432563,0.225009852220281,0.249638554216867,2,2,1.2536546184739,914.7199456195,3764,14835.852,4707.88839573356,22857,3708963,-0.0735935770827642
"21",0.7,"Spatial","1","1",250,24285,1,250,89,248,194.28,89,87.6477236616267,0.678694660775886,0.00333908916399917,0.0667393791445003,2,0.00135417337549613,0.85194569085564,0.00498204685016894,200.720713809845,0.193223790671495,0.21574297188755,2,2,1.21975903614458,902.483476641805,3900,16562.424,4990.33968029461,23948,4140606,-0.0786268108038652
"22",0.7,"Spatial","1","1",250,24061,1,250,77,249,192.488,77,76.3817051227963,0.679764165286379,0.00331868953594427,0.0600085877830142,2,0.00159373424051876,0.8471942669793,0.00502615343567756,198.959306117003,0.201776991463697,0.226955823293173,1.992,1,1.22695582329317,901.632441555624,2908,16169.604,4906.54050324912,23812,4042401,-0.0692081684856726
"23",0.7,"Spatial","1","1",250,23351,1,250,82,247,186.808,82,80.5313153807412,0.64645622723034,0.00325984544534651,0.0567285048252707,2,0.0018051615004238,0.833676267112787,0.00516246953147882,193.705743714781,0.218982188142898,0.241734939759036,2,2,1.24976706827309,911.79315771917,3312,15041.484,4778.42389217588,22871,3760371,-0.0789169652434467
"24",0.7,"Spatial","1","1",250,22720,1,250,83,248,181.76,83,81.9008252571703,0.626981020875392,0.00320715417721383,0.0724108937571291,2,0.00229279352810984,0.822254960888736,0.00528808787844194,189.104270387926,0.239782256939837,0.266024096385542,2,2,1.27004016064257,920.963699162276,3403,14084.892,4642.8584110693,22370,3521223,-0.062701910760997
"25",0.7,"Spatial","1","1",250,22840,1,250,82,248,182.72,82,80.135969862085,0.645115138289197,0.00321798127313852,0.0642940458408605,3,0.00237834634983769,0.826171707374694,0.00525123847381146,190.431267783232,0.234835615215325,0.262168674698795,2.02,2,1.26631325301205,926.333319412442,3269,14323.98,4773.50853550658,22510,3580995,-0.0571349992005042
"26",0.7,"Spatial","1","1",250,22810,1,250,91,249,182.48,91,87.7478729319077,0.641147040468028,0.00321550521364018,0.0600050922926387,2,0.00225937303633304,0.822926719378801,0.00527267988825936,189.656876805037,0.239286787076465,0.26714859437751,1.988,1,1.26714859437751,922.677866960702,4061,14202.912,4656.00561699381,22561,3550728,-0.0802030824479617
"27",0.7,"Spatial","1","1",250,23077,1,250,82,249,184.616,82,80.6167026241903,0.641080848304657,0.00323728663260427,0.0852301981255099,2,0.00215568788169815,0.829205693234187,0.00521284383726764,191.833868655494,0.230508594131074,0.258570281124498,1.996,1,1.2585702811245,922.669263650589,3317,14639.328,4752.400968804,22828,3659832,-0.0720433566981883
"28",0.7,"Spatial","1","1",250,23250,1,250,90,247,186,90,86.5352447270367,0.654520185715454,0.00325120497530977,0.0825328579026477,2,0.00187683322047637,0.831809927989688,0.00517874013120081,193.097157738272,0.221765711230174,0.244979919678715,2,2,1.25301204819277,929.640773319145,3882,14891.424,4787.50949543702,22790,3722856,-0.0701246158365746
"29",0.7,"Spatial","1","1",250,22566,1,250,81,249,180.528,81,79.3701212915153,0.643137190227037,0.00319307660934565,0.0927665908816035,2,0.00249118652008553,0.818663694856926,0.00532601838099514,187.75751949492,0.246945485907579,0.274987951807229,1.992,1,1.27498795180723,933.55717153987,3155,13822.308,4537.09867721246,22317,3455577,-0.0525719482575354
"30",0.7,"Spatial","1","1",250,22576,1,250,82,247,180.608,82,78.6183804188438,0.649028478716713,0.0031977911286918,0.0931538317803042,2,0.00221509388224345,0.820151480982786,0.00531082415517608,188.294692270195,0.242034346405682,0.26663453815261,2,2,1.27466666666667,926.94484396078,3284,13907.184,4690.98607796684,22164,3476796,-0.0763723276477909
"31",0.7,"Spatial","1","1",250,23488,1,250,94,249,187.904,94,89.9662870438998,0.651202664407218,0.00327189833074764,0.0759655973886486,2,0.00193657634383823,0.838018689460686,0.00512674419447431,195.055567835395,0.217517871631474,0.24536546184739,1.992,1,1.24536546184739,907.452716961559,4296,15309.864,4893.00138726807,23239,3827466,-0.0692059034562972
