"","nei","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,"LAT","1","1",484,924,1,484,2,4,3.81818181818182,2,0.020357116238134,0.00545550799172024,0.000144623769562954,0.773195779689286,42,0.0345674353851539,0,0.25235040529265,3.96274378414532,0.558652968666983,0.000376435159043855,32,22,14.6666666666667,766.917076410026,0,0,0,0,0,0.627964860907765
"2",2,"LAT","1","1",484,2686,1,484,5,12,11.099173553719,5,0.140118638308288,0.013123510811364,0.000279250047628478,0.694948823191209,21,0.0172713305098883,0.467493152659651,0.0851218019346991,11.7478716059976,0.546318035460785,0.00186506510617183,16.2479338842975,11,7.58385093167702,1198.63152277617,7,26.801652892562,5.83928274149896,30,12972,0.61383903265693
"3",3,"LAT","1","1",484,5202,1,484,9,24,21.495867768595,9,0.511155552663564,0.0251260087006695,0.000404882012886947,0.615828894071292,14,0.0114463328134944,0.521601455868972,0.0432905129532778,23.0997493857204,0.532026267836596,0.00518453878137673,11,8,5.22314049586777,1375.70217644852,28,118.438016528926,29.3611460170849,138,57324,0.60388479575076
"4",4,"LAT","1","1",484,8390,1,484,14,40,34.6694214876033,14,1.34863434527064,0.0417934578399337,0.000522382672351561,0.597016781712721,11,0.00857380606946616,0.559699965905217,0.0265415810132357,37.67673069292,0.516929541159388,0.0110363944356039,8.37190082644628,6,4.04305049364338,1546.24196105596,75,339.173553719008,94.5848663312357,414,164160,0.586670010210853
"5",5,"LAT","1","1",484,12170,1,484,20,60,50.2892561983471,20,2.91741890088647,0.0633881959070914,0.000632518040751592,0.539580356075833,9,0.00687165804353392,0.576352605691757,0.0181561715066267,55.0776907805159,0.501428486986253,0.0201050596307513,6.80165289256198,5,3.33512995568332,1650.84491695113,160,746.652892561983,227.460140006602,954,361380,0.5638350496543
"6",6,"LAT","1","1",484,16464,1,484,27,84,68.0330578512397,27,5.51397198190803,0.0900655711901293,0.000735915752987844,0.510004150469712,7,0.00567794042981776,0.593223668565639,0.0133573175618676,74.8653309594729,0.485722505065759,0.0330578512396694,5.75206611570248,4,2.86350803346851,1747.26965441441,301,1422.54545454545,466.685737557675,1908,688512,0.535529954749349
"7",7,"LAT","1","1",484,21196,1,484,35,112,87.5867768595041,35,9.4439039519732,0.121832178393112,0.000833325452616889,0.449216852061766,6,0.00458515206811197,0.605639000094829,0.0103534546199798,96.5861190013069,0.469622547592924,0.0505449754461612,5,4,2.52617079889807,1812.77733392381,515,2427.99173553719,844.877415204388,3420,1175148,0.500954397586576
"8",8,"LAT","1","1",484,26292,1,484,44,144,108.644628099174,44,14.9961334722567,0.158507299027021,0.000924854351380625,0.406313763141652,6,0.00382208680543325,0.619143635158552,0.0083481591754257,119.786887023391,0.453264784851071,0.0731995277449823,4.4297520661157,3,2.27428434543059,1869.1073131829,826,3844.63636363636,1404.20188717954,5700,1860804,0.458536802838435
"9",9,"LAT","1","1",484,31680,1,484,54,180,130.909090909091,54,22.4154243112843,0.199695292427188,0.00101130537483995,0.380020292492475,5,0.00360290870198727,0.631685525469646,0.00694308653592772,144.028163097982,0.437418210328554,0.101637492941841,4,3,2.07833273445922,1908.35251138384,1256,5723.30578512397,2170.42216402017,8940,2770080,0.406635384355593
"10",10,"LAT","1","1",484,37290,1,484,65,220,154.090909090909,65,31.8788575207892,0.244794101144579,0.00109346960561474,0.351295805001798,5,0.00357922855554441,0.645531248421159,0.00592084126101233,168.894918123345,0.422966802889345,0.136457745153397,3.65289256198347,3,1.92048662799651,1943.48486827955,1835,8130.81818181818,3171.06391352891,13410,3935316,0.346063882199871
