"","mu","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,"Spatial_noncomm","1","1",150,1318,1,150,8,41,17.5733333333333,8,6.87006543925329,0.561790393596585,0.00332829161465577,0.16647832095623,3,0.0187743434377348,0.160517261834144,0.0476566921374874,20.983411880855,0.648659770859238,0.157225950782998,2.98666666666667,2,2.02523489932886,500.351592675658,1,27.06,30.5353200705688,165,4059,0.169983826798185
"2",1,"Spatial_noncomm","1","1",150,1329,1,150,8,39,17.72,8,6.90861769208903,0.561805842790085,0.00333414390469922,0.154265478253365,3,0.0166251551532237,0.166550034989503,0.047308017863134,21.1380659171365,0.645702311779923,0.142818791946309,2.98666666666667,2,2.02129753914989,504.457975018591,1,28.56,31.1194882723924,175,4284,0.168562546761378
"3",1,"Spatial_noncomm","1","1",150,1327,1,150,9,39,17.6933333333333,9,7.16717666642574,0.580406704490148,0.0033339096963561,0.163100838661194,3,0.0203212880564058,0.168247182277497,0.0475045610602347,21.0506102504983,0.633919140193169,0.142997762863535,2.99333333333333,2,2.02192393736018,502.28761458049,2,28.86,30.3536272060483,165,4329,0.133234953758091
"4",1,"Spatial_noncomm","1","1",150,1336,1,150,8,38,17.8133333333333,8,7.0554444052295,0.548287661465425,0.00333604332233477,0.136303186416626,3,0.0185699933166246,0.167710401710707,0.0468233498577351,21.356865816699,0.624844536515529,0.135480984340045,2.97333333333333,2,2.02058165548098,504.256346781574,1,29.28,31.9492298591156,163,4392,0.1544095378298
"5",1,"Spatial_noncomm","1","1",150,1313,1,150,8,36,17.5066666666667,8,6.83886416971152,0.560677626584796,0.00332276736075596,0.141114488244057,3,0.0196047325365718,0.153793902585208,0.0484483498277801,20.6405378832243,0.57028030351327,0.124116331096197,2.98666666666667,2,2.02863534675615,498.008128743986,1,25.66,26.7862105163366,112,3849,0.120191307020265
"6",1,"Spatial_noncomm","1","1",150,1320,1,150,9,40,17.6,9,7.10407492439379,0.557086034436458,0.00332806802313119,0.163949713110924,3,0.0209873884817021,0.154029566046733,0.0484237831804886,20.6510093660532,0.631507565813524,0.150335570469799,3,3,2.02460850111857,501.173879398572,2,25.84,25.6109456465932,142,3876,0.121176469644732
"7",1,"Spatial_noncomm","1","1",150,1328,1,150,9,36,17.7066666666667,9,7.2826039841486,0.576238844760304,0.00333944166611239,0.158944502472878,3,0.0163875771784035,0.155932468344537,0.0479086809832103,20.8730438717454,0.605924608997716,0.122774049217002,2.99333333333333,2,2.01789709172259,505.317532957751,2,26.6,27.5792938572479,141,3990,0.134086787168158
"8",1,"Spatial_noncomm","1","1",150,1314,1,150,9,38,17.52,9,7.23280907572339,0.570768642166631,0.00332550545331877,0.171285882592201,3,0.01719477264491,0.159983913130907,0.0484707070418339,20.6310173923587,0.628763493489268,0.13744966442953,3,3,2.0262192393736,500.715840462895,2,26.52,27.2472447963696,149,3978,0.160931114902002
"9",1,"Spatial_noncomm","1","1",150,1316,1,150,9,38,17.5466666666667,9,6.70870288721946,0.551413262761293,0.00331600116635778,0.156952425837517,3,0.0219079380396082,0.163914202713996,0.0480310506157931,20.8198652159232,0.593132782912177,0.137270693512304,3,3,2.03275167785235,500.429613692165,2,27.46,29.0557506235048,130,4119,0.151784965997886
"10",1,"Spatial_noncomm","1","1",150,1314,1,150,8,47,17.52,8,6.74359303211088,0.584316532555541,0.00333238195787121,0.141011849045753,3,0.0318820095540438,0.153763183125599,0.0485515890102105,20.5966482330722,0.674632319831182,0.197852348993289,2.99333333333333,2,2.02219239373602,500.376143597364,2,25.66,26.0834566614434,170,3849,0.106980130312465
