"","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.4,"ER","1","1",750,112280,1,750,259,340,299.413333333333,259,254.24812500132,0.912667041176492,0.000834417887928726,0.0164949320122387,2,0.000228273526590525,0.399798127968436,0.00333332297275505,300.000932454943,0.120583960366564,0.0541878059635069,2,2,1.6002492211838,8827.52617990395,13301,17895.904,1579.72834573303,23087,13421928,-0.00101801806996352
"2",0.4,"ER","1","1",750,112399,1,750,261,347,299.730666666667,261,256.411242120289,0.911977618425623,0.000834640236138009,0.0160452531516242,2,0.000283630481149306,0.399974961081781,0.00332977000560974,300.321042689218,0.13334952676147,0.0631099243435692,2,2,1.59982554517134,8821.81628103395,13621,17942.144,1595.92805719713,23913,13456608,-0.00565185084929794
"3",0.4,"ER","1","1",750,112291,1,750,264,341,299.442666666667,264,257.834496763077,0.91303312522277,0.000834438167185293,0.0149125745320455,2,0.00024077536802905,0.399753070911391,0.00333303934195391,300.026461557989,0.120892998564305,0.0554837561192701,2,2,1.60021005785492,8831.07511877894,13757,17897.244,1587.65516964934,23138,13422933,-0.00319080932182381
"4",0.4,"ER","1","1",750,112394,1,750,255,345,299.717333333333,255,251.061655878427,0.912852498393396,0.000834633456603491,0.0157702746354766,2,0.00024901272838188,0.400147005752088,0.00332970931741276,300.326516423066,0.133283609236524,0.0604574988874054,2,2,1.59984334668447,8828.38118513428,12873,17949.112,1630.16327890097,23938,13461834,0.00208731808372469
"5",0.4,"ER","1","1",750,112681,1,750,265,339,300.482666666667,265,259.139542153649,0.911599597184907,0.000835161133985829,0.0160613685790122,2,0.000226409860064717,0.40105012248846,0.00332166487814454,301.053850007468,0.112344564162043,0.0514250111259457,2,2,1.59882153983089,8826.90369169043,14046,18079.624,1577.27628120345,22802,13559718,-0.00451095174883898
"6",0.4,"ER","1","1",750,112237,1,750,249,358,299.298666666667,249,245.658449439806,0.912132369652237,0.000834357956387489,0.0142658109718423,2,0.000340501789723748,0.399802089827248,0.00333333367580954,299.999969177144,0.164713312657857,0.0783729417000445,2,2,1.60040231419671,8819.32792188419,12327,17889.096,1739.08969830647,25668,13416822,0.000577207748441724
"7",0.4,"ER","1","1",750,112329,1,750,264,344,299.544,264,258.312420612479,0.913494325415097,0.000834511491358115,0.0149952320852463,2,0.000259029214571585,0.39988039605304,0.00333177183908879,300.140600345998,0.129547077362513,0.0593538050734312,2,2,1.60007476635514,8823.99981524627,13854,17916.012,1598.65684648282,23555,13437009,-0.00793396803212592
"8",0.4,"ER","1","1",750,112435,1,750,259,340,299.826666666667,259,254.47806860743,0.912944061683868,0.000834702418659079,0.0151378383746261,2,0.000234742629234256,0.400271688007011,0.00332898188419262,300.392142338898,0.11633176111363,0.0536359590565198,2,2,1.59969737427681,8823.39620639601,13315,17965.336,1561.45591886314,23028,13474002,-0.00168321101907866
"9",0.4,"ER","1","1",750,112380,1,750,254,342,299.68,254,250.041247959145,0.911893946153045,0.000834606575281072,0.0190375022554758,2,0.000240582634555268,0.40010447338019,0.00333016723059573,300.285220157281,0.124380398502985,0.056502002670227,2,2,1.59989319092123,8820.98751181341,12885,17942.524,1615.84026802973,23354,13456893,0.00129097744643173
"10",0.4,"ER","1","1",750,112557,1,750,258,350,300.152,258,253.930932586627,0.912634028782144,0.000834934031101719,0.0147787661280551,2,0.000282558128379303,0.400829639678228,0.00332507345434087,300.745235776522,0.143761085044784,0.0665527369826435,2,2,1.59926301735648,8829.24974009804,13213,18031.06,1614.69788363248,24551,13523295,0.000543038272471772
"11",0.4,"ER","1","1",750,112226,1,750,249,344,299.269333333333,249,245.684065416472,0.911622793866226,0.000834319677745134,0.0150408444328175,2,0.000256857834854629,0.399856008179174,0.00333478914824569,299.869033856628,0.130089968739205,0.0597205162438807,2,2,1.60044147752559,8820.83897284105,12389,17881.984,1599.00763943932,23594,13411488,-0.000622433353583444
"12",0.4,"ER","1","1",750,112493,1,750,261,338,299.981333333333,261,256.205759796369,0.911962023210057,0.000834813234316,0.0140055362001575,2,0.000216033329793929,0.400545673986278,0.00332707633454506,300.564188929779,0.112872364116534,0.0507592345349355,2,2,1.59949087672452,8826.73702122903,13570,17997.252,1585.86956068714,22767,13497939,-0.00191672988345353
"13",0.4,"ER","1","1",750,112612,1,750,260,349,300.298666666667,260,255.407803053113,0.911473468587614,0.000835040794215704,0.0157940109277667,2,0.000279193387986828,0.401039379417278,0.00332318671492593,300.915983898391,0.141128341824498,0.0650218068535826,2,2,1.59906720071206,8835.14182776154,13470,18059.708,1641.05878301431,24326,13544781,-0.00265369589704326
"14",0.4,"ER","1","1",750,112497,1,750,262,340,299.992,262,257.078277155,0.911954932621026,0.000834826014645582,0.0164989135895848,2,0.000231425545904666,0.400567055304448,0.00332663145822873,300.60438391106,0.118771341453242,0.053415220293725,2,2,1.59947663551402,8822.74159227131,13560,18001.296,1629.5096120669,23188,13500972,-0.00278202304215228
"15",0.4,"ER","1","1",750,112594,1,750,263,345,300.250666666667,263,257.349246062772,0.912417009604361,0.000834999833953753,0.017729064701436,2,0.000261838002612219,0.400823509540626,0.00332416385578895,300.827529382622,0.128906221745216,0.0597454383622608,2,2,1.59913128615932,8823.66322161546,13723,18041.7,1583.31090689854,23674,13531275,-0.000690247652900653
"16",0.4,"ER","1","1",750,112276,1,750,260,335,299.402666666667,260,255.242673617022,0.911966300473328,0.000834406980790197,0.0170557937551607,2,0.000203084072629689,0.399599189202716,0.00333368587721474,299.968274406073,0.10795220339282,0.0475264797507788,2,2,1.6002634623943,8821.32010572848,13422,17884.44,1565.59404338361,22518,13413330,-0.00195174233644986
"17",0.4,"ER","1","1",750,111878,1,750,257,348,298.341333333333,257,252.443636831406,0.911986772383205,0.000833680882928337,0.0173967526724942,2,0.000290776491157858,0.3984882902381,0.00334470144951578,298.980347003698,0.14259995806459,0.0662999554962172,2,2,1.60168046283934,8823.91247881437,13130,17712.796,1638.93080837585,24041,13284597,-0.002594894469461
"18",0.4,"ER","1","1",750,112126,1,750,262,340,299.002666666667,262,256.401571216695,0.913326422270744,0.000834130766933688,0.0175575707811129,2,0.00022753793170553,0.399205700513591,0.00333796875003045,299.583391842982,0.124067784979224,0.0547360925678683,2,2,1.60079750778816,8817.80709541263,13626,17819.908,1577.53165706473,22997,13364931,0.000343902486878065
"19",0.4,"ER","1","1",750,112600,1,750,261,344,300.266666666667,261,256.395178196181,0.913644909636205,0.000835012168144689,0.0146669846656929,2,0.000242265948821882,0.400835063979356,0.0033239400112523,300.847788051159,0.128567891832324,0.0583889630618603,2,2,1.59910992434357,8827.81460437203,13561,18044.484,1590.31581924805,23791,13533363,-0.00272927287774797
"20",0.4,"ER","1","1",750,112357,1,750,251,336,299.618666666667,251,247.4721428596,0.912692384781108,0.00083456624802134,0.0145046558971086,2,0.000204134942566204,0.400087302274936,0.00333071204801242,300.23610134558,0.109144674790971,0.0485732087227414,2,2,1.59997507788162,8829.15669310507,12667,17935.176,1630.55124508282,22519,13451382,0.000303618978760265
