"","X","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,0.1,"Spatial",1,1,250,814,0,249,0,15,6.512,0,2.9686907384353e-14,1.56111235766334e-15,-1,0.787968083115503,21,0.204485095327671,0.563420158550396,0.0899082665282142,11.1224477861131,0.934441825857254,0.0340883534136546,15.744,0,8.55454074361964,478.831861306409,0,11.94,10.2940892308339,58,2985,0.627170498822413
"2",2,0.1,"Spatial",1,1,250,824,1,250,1,13,6.592,1,0.0315776255155881,0.0049780789355956,0.000516341409239958,0.807066081864455,20,0.2505596198842,0.587354409317804,0.0926909643439321,10.7885380962213,0.953627629766955,0.0257349397590361,15.12,10,8.04719678714859,477.746735490626,0,12.708,10.7366586681998,59,3177,0.545853785208826
"3",3,0.1,"Spatial",1,1,250,816,0,247,1,14,6.528,0,4.36517055101795e-15,4.6317116808581e-16,-1,0.785750222270281,21,0.146009418063649,0.569627294641202,0.0949851550858839,10.5279609123743,0.944125898480984,0.0300080321285141,15.568,1,8.15827409162717,475.253159187927,0,12.288,10.1663402409905,55,3072,0.588504186256687
"4",4,0.1,"Spatial",1,1,250,812,1,250,1,13,6.496,1,0.0233022967593855,0.00422532353163981,0.000447814283835657,0.801693046421898,22,0.250208590686399,0.578818198980555,0.103307955374541,9.67979664658463,0.931070417457144,0.0261204819277108,17.648,13,9.27029718875502,473.463989576385,0,12.264,9.0270846361443,43,3066,0.497846830686781
"5",5,0.1,"Spatial",1,1,250,819,1,250,1,14,6.552,1,0.0173450719056873,0.00267622917434025,0.000460454779252523,0.825068839720854,20,0.241133423070693,0.608623548922056,0.0919537965921287,10.875026774975,0.944415161349496,0.0299116465863454,15.932,10,9.0250281124498,471.087069739513,0,13.212,11.1714934122632,59,3303,0.55206834393229
"6",6,0.1,"Spatial",1,1,250,809,1,250,1,13,6.472,1,0.020877004747547,0.00333985050664354,0.000463255845864341,0.837742424913787,21,0.240172615332736,0.621611154144074,0.112722304166884,8.87135875540221,0.943198134009487,0.0262168674698795,16.156,11,8.88,467.283922288943,0,12.84,8.90277696850842,37,3210,0.397868868453073
"7",7,0.1,"Spatial",1,1,250,841,1,250,1,13,6.728,1,0.027062086479017,0.00608523532244381,0.000497507966719213,0.80393648351928,21,0.11035185030841,0.601914214817441,0.106447968657273,9.39426099543207,0.920931418930156,0.0251887550200803,16.104,11,8.36928514056225,479.866032772176,0,13.584,10.5751728649937,42,3396,0.527021142604595
"8",8,0.1,"Spatial",1,1,250,800,1,250,1,13,6.4,1,0.0270954914057717,0.00440285205709838,0.000462828375967754,0.836821875,25,0.227473181634619,0.602546787574764,0.102306731326871,9.77452790281211,0.959416029302739,0.0265060240963855,17.864,13,8.95106827309237,468.570450853025,0,12.492,10.3342694225568,47,3123,0.532929164150228
"9",9,0.1,"Spatial",1,1,250,784,1,250,1,14,6.272,1,0.0248771645463792,0.00412934792691784,0.000445714379960807,0.807383316847147,22,0.144887531753482,0.583316663332667,0.0961226210179612,10.4033784078062,0.942850516446719,0.0310361445783133,17.708,12,9.18499598393574,468.218042457583,0,11.664,10.2971466395144,51,2916,0.577246066613047
"10",10,0.1,"Spatial",1,1,250,790,1,250,1,16,6.32,1,0.00929478350486391,0.00182232584375316,0.000414617415153406,0.800208299951931,29,0.314632960083728,0.589655172413793,0.0892996942821487,11.1982466237838,0.947241103684197,0.0388755020080321,21.52,15,10.1769959839357,468.962320241371,0,12.312,12.343748560063,66,3078,0.641190446462662
"11",11,0.1,"Spatial",1,1,250,775,1,250,1,14,6.2,1,0.0202398494940939,0.00335090026929194,0.000465013473363842,0.826236004162331,22,0.242752576362018,0.594942044257113,0.109637946824245,9.12092965041608,0.939497006562182,0.0313253012048193,17.096,11,8.91498795180723,469.461064663198,0,11.292,8.82031335672624,45,2823,0.428348992878786
"12",12,0.1,"Spatial",1,1,250,822,1,250,1,14,6.576,1,0.0115980993417228,0.00153355204167501,0.00043390224399246,0.817525648084016,22,0.256604819382722,0.607727690892364,0.0932175704172215,10.7275913277316,0.946834783292475,0.0298152610441767,17.252,11,9.63633734939759,472.144095991602,0,13.212,10.5373239860578,54,3303,0.492408884415001
"13",13,0.1,"Spatial",1,1,250,851,1,250,1,15,6.808,1,0.0100633887637238,0.00146382096991692,0.000397947434026926,0.838822371137295,26,0.29009344067713,0.634760705289673,0.0893710283600789,11.1893084185063,0.945004665766982,0.0328995983935743,19.676,13,10.4884497991968,474.874735391327,0,15.12,12.7001881527978,62,3780,0.550288711878383
