"","X","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"11",11,"sbm",1,1,50,256,1,50,1,22,10.24,1,0.794333673209598,0.188204383854572,0.00972192728508108,0.320732116699219,4,0.0468908072723884,0.615221987315011,0.0621360708615441,16.0937115291417,0.631068208015597,0.24,3.66,3,2.13877551020408,108.49287167244,0,40.74,48.9088323061492,129,2037,0.527565655313827
"12",12,"sbm",1,1,50,435,1,50,11,27,17.4,11,8.94396965308001,0.575372867338741,0.0124243875558064,0.17576694411415,3,0.0154526119098172,0.386657771847899,0.0544726290227126,18.3578435251041,0.407341477706238,0.195918367346939,2.08,2,1.6465306122449,153.951903581039,15,57.96,29.7451488070075,145,2898,0.0773650943832451
"13",13,"sbm",1,1,50,595,1,50,16,31,23.8,16,15.1989297649256,0.77586904872553,0.0135083683799158,0,2,0.0115297259822027,0.379374909981276,0.0412296288833908,24.2544021637519,0.210151710175432,0.146938775510204,2,2,1.51428571428571,151.787488322381,32,105.36,33.5807038858537,180,5268,-0.26880580669547
"14",14,"sbm",1,1,50,360,1,50,7,23,14.4,7,6.15461367665238,0.650903530000613,0.0116586853364699,0.00242283950617284,3,0.0280574806402787,0.128975265017668,0.0663041174241195,15.0820196218497,0.348144139723009,0.175510204081633,2.76,2,1.75591836734694,135.61065588368,2,13.14,6.66703740465749,32,657,-0.183147614223746
"15",15,"sbm",1,1,50,184,1,50,1,19,7.36,1,0.87784688856565,0.347078768298402,0.00964001551945497,0.236294896030246,4,0.131832213925453,0.137860082304527,0.114215217533913,8.75540073898712,0.597256988359714,0.237551020408163,3.32,3,2.14285714285714,105.579973739128,0,4.02,3.65608243554631,18,201,-0.24006052427105
"16",16,"sbm",1,1,50,245,1,50,3,20,9.8,3,2.6261105796948,0.536838775733123,0.0108626139791737,0.102965431070387,3,0.0648161787577989,0.192712246431255,0.0878941159620543,11.3773258773286,0.4415229596873,0.208163265306122,2.98,2,1.89061224489796,118.004187545281,1,10.26,8.13611249495803,30,513,-0.443580561771863
"17",17,"sbm",1,1,50,277,1,50,4,16,11.08,4,2.99975632171337,0.288785471282487,0.0108634752595854,0.324023511319058,3,0.0231359272495563,0.2964586846543,0.0850766577454522,11.7541053739086,0.410414793378232,0.100408163265306,2.94,2,1.8865306122449,130.759703337405,0,17.58,9.65335936028363,44,879,-0.0495999870178316
"18",18,"sbm",1,1,50,697,1,50,14,44,27.88,14,13.580871698988,0.792179907393563,0.0145856540386799,0,2,0.0196161595741852,0.668449197860963,0.032381897533856,30.8814515565209,0.326421187473832,0.328979591836735,2,2,1.43102040816327,153.464681429243,75,285,167.401753093495,563,14250,-0.270757103294509
"19",19,"sbm",1,1,50,180,0,47,0,19,7.2,0,-9.73597509100332e-16,-4.90468621917807e-16,-1,0.0813734567901234,4,0.106322916457705,0.428964252978918,0.0776386583917442,12.88018135185,0.620387523282871,0.240816326530612,3.06,0,2.16743755781684,83.4905706569648,0,18.72,23.5952606794376,70,936,-0.187912013009143
"20",20,"sbm",1,1,50,44,0,25,0,6,1.76,0,-9.84936677447399e-16,-3.49849201016008e-16,-1,0.332902892561983,6,0.0417654185094835,0.0845070422535211,0.230833623510356,4.332124518052,0.74850986501655,0.086530612244898,2.34,0,2.61794019933555,39.4733151440241,0,0.24,0.555492059863531,2,12,0.0201484623541897
"21",21,"sbm",1,1,50,240,1,50,3,16,9.6,3,2.74793709592269,0.513830571320825,0.0106103977893646,0.189678819444444,3,0.0369594287128932,0.227689741451209,0.0914046881635058,10.9403578754209,0.456021859332599,0.130612244897959,2.98,2,1.93795918367347,121.821988016583,0,10.92,7.99193470995373,31,546,-0.09345456008368
"22",22,"sbm",1,1,50,89,0,46,0,9,3.56,0,-1.53940287839075e-47,-1.60449640005717e-16,-1,0.32660017674536,7,0.123365636342,0.123626373626374,0.188746448150368,5.29811294357885,0.689724233306196,0.111020408163265,4.7,0,2.99613526570048,72.5846107139357,0,0.9,1.21638474042331,4,45,0.094709984691273
