"","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.8,"Spatial","1","1",100,4289,1,100,51,99,85.78,51,50.2706903622463,0.791418922462216,0.00899998583480362,0.0268099772765338,2,0.00114391566260915,0.899406765467051,0.0114714250160344,87.1731278897116,0.120682368472332,0.133535353535354,1.87,1,1.13353535353535,281.095880256459,1261,3329.37,742.014044014769,4190,332937,-0.111782150716803
"2",0.8,"Spatial","1","1",100,4347,1,100,48,99,86.94,48,47.5014328592647,0.801191765515481,0.00909241615072047,0.012511160189219,2,0.00109658885958105,0.911161377714068,0.0113159908962219,88.3705200164021,0.108464081465285,0.121818181818182,1.9,1,1.12181818181818,275.965332072611,1092,3464.19,759.591114024546,4248,346419,-0.0856172760423356
"3",0.8,"Spatial","1","1",100,4256,1,100,51,99,85.12,51,48.8171015199143,0.768721411891528,0.00894786255659129,0.0359067384744757,2,0.00135006794075523,0.897115179026661,0.0115433800521011,86.6297389054589,0.12622715402593,0.14020202020202,1.89,1,1.14020202020202,279.818622662898,1224,3272.73,750.780655737948,4157,327273,-0.0762392110560044
"4",0.8,"Spatial","1","1",100,4091,1,100,46,99,81.82,46,43.6022941211981,0.744327749014244,0.00872140215079269,0.0378229488379168,2,0.00214970313514583,0.878049425990402,0.0119138172456842,83.9361540787652,0.153712713481987,0.173535353535354,1.92,1,1.17353535353535,288.035188848718,1017,2985.93,808.701581286792,3992,298593,-0.111329478909254
"5",0.8,"Spatial","1","1",100,4157,1,100,55,99,83.14,55,50.6135304466548,0.740771081691562,0.00880583614015519,0.0417667183680428,2,0.0016613554805658,0.882869566711926,0.011791276463151,84.808460146372,0.144811631159469,0.16020202020202,1.84,1,1.16020202020202,284.026100197046,1455,3082.08,756.647292236274,4058,308208,-0.114264208637962
"6",0.8,"Spatial","1","1",100,4349,1,100,56,99,86.98,56,53.9533738375391,0.782066865175832,0.00908756804839516,0.0329435632742462,2,0.000966388459065164,0.90787654366508,0.0113385452485841,88.1947355746434,0.110257800258739,0.121414141414141,1.83,1,1.12141414141414,276.160629900692,1523,3447.18,710.974411450492,4250,344718,-0.10714443826226
"7",0.8,"Spatial","1","1",100,4261,1,100,56,99,85.22,56,53.4112273803122,0.779731988124484,0.00895702230467006,0.0381277201225966,2,0.00124046548121996,0.895893176632799,0.0115408524501918,86.6487119834357,0.126033551189432,0.139191919191919,1.81,1,1.13919191919192,280.659346782085,1528,3274.83,741.119901353228,4162,327483,-0.110024401823838
"8",0.8,"Spatial","1","1",100,4025,1,100,43,99,80.5,43,42.0714517431146,0.712101677079958,0.00861476117533382,0.0364805678793257,2,0.0023210222316501,0.865449794904121,0.0121349301394806,82.406737286977,0.169319007275745,0.186868686868687,1.93,1,1.18686868686869,292.44693123194,887,2841.99,753.888150413132,3926,284199,-0.104151412616795
"9",0.8,"Spatial","1","1",100,3909,1,100,48,99,78.18,48,44.3845503425988,0.698789574814222,0.0084519898745334,0.0473284162771614,2,0.0029164902681637,0.849884734761163,0.0124602443457241,80.2552479914376,0.191272979679207,0.21030303030303,1.92,1,1.21030303030303,294.834058002653,1100,2639.64,740.38322754933,3810,263964,-0.104395675708662
"10",0.8,"Spatial","1","1",100,4097,1,100,52,99,81.94,52,47.8262230019221,0.740540568176798,0.00871693615709354,0.0290347408275843,2,0.00194383675670627,0.874744179061406,0.01194299921682,83.7310613394033,0.155805496536701,0.172323232323232,1.88,1,1.17232323232323,287.489846443358,1272,2970.57,758.990734096566,3998,297057,-0.101316878883958
