"","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.005,"ER","1","1",100,25,0,7,0,3,0.5,0,-1.11157374713395e-15,-8.22803232561579e-16,-1,0.8704,5,0.00218844807589396,0,0.507713305942873,1.96961550602442,0.978376026988943,0.0252525252525253,0.79,0,1.92452830188679,38.5191104726868,0,0,0,0,0,0.013157894736842
"2",0.005,"ER","1","1",100,26,0,5,0,2,0.52,0,-8.30999530534714e-16,-6.59522931789884e-16,-1,0.905325443786982,4,0.000778762683524588,0,0.577350269189626,1.73205080756888,0.982326012167664,0.014949494949495,0.76,0,1.57777777777778,40.1942179791213,0,0,0,0,0,-0.230769230769231
"3",0.005,"ER","1","1",100,26,0,10,0,3,0.52,0,-1.19527810788197e-15,-7.7322458879414e-16,-1,0.84689349112426,6,0.00521604417708314,0,0.475963149477968,2.10100298961546,0.965454280766595,0.0250505050505051,0.86,0,2.39705882352941,39.1420851771064,0,0,0,0,0,-0.0558375634517767
"4",0.005,"ER","1","1",100,32,0,5,0,3,0.64,0,-1.23656004139017e-15,-1.06731520422011e-15,-1,0.91796875,4,0.000772515924031076,0.157894736842105,0.460811127189111,2.17008648662603,0.988060341973204,0.0238383838383838,0.88,0,1.53703703703704,47.9850337120515,0,0.03,0.171446607997765,1,3,-0.119533527696793
"5",0.005,"ER","1","1",100,27,0,5,0,3,0.54,0,-1.20594082449428e-15,-7.51387745317287e-16,-1,0.919067215363512,3,0.000997399265797534,0,0.541196100146197,1.84775906502257,0.987122728291881,0.0248484848484848,0.69,0,1.48837209302326,45.7530667987568,0,0,0,0,0,0.0414201183431953
"6",0.005,"ER","1","1",100,19,0,6,0,3,0.38,0,-7.45914094661683e-16,-7.68873569412833e-16,-1,0.875346260387812,4,0.00162415746831331,0,0.517638090205042,1.93185165257814,0.983021403467888,0.0264646464646465,0.51,0,1.625,33.3711154405659,0,0,0,0,0,0.326241134751773
"7",0.005,"ER","1","1",100,17,0,4,0,3,0.34,0,0,-9.40506983170716e-17,-1,0.913494809688581,2,0.000616346936693257,0,0.577350269189626,1.73205080756888,0.992530093800317,0.0268686868686869,0.36,0,1.19047619047619,30.2925287398839,0,0,0,0,0,-0.155339805825243
"8",0.005,"ER","1","1",100,22,0,5,0,2,0.44,0,-9.14213680657476e-16,-8.75347127034165e-16,-1,0.913223140495868,4,0.000801667468334135,0,0.577350269189626,1.73205080756888,0.982326012167664,0.0157575757575758,0.57,0,1.46875,38.7646646948835,0,0,0,0,0,0.3125
"9",0.005,"ER","1","1",100,19,0,4,0,3,0.38,0,-1.11022302462516e-16,-6.86155564311059e-17,-1,0.919667590027701,2,0.000614264683528753,0,0.577350269189626,1.73205080756888,0.992530093800318,0.0264646464646465,0.41,0,1.20833333333333,33.1209558646301,0,0,0,0,0,-0.196850393700787
"10",0.005,"ER","1","1",100,20,0,3,0,2,0.4,0,-3.76695280368554e-16,-3.89445208701891e-17,-1,0.93,2,0.000199896303792408,0,0.707106781186547,1.4142135623731,0.989164823256154,0.0161616161616162,0.44,0,1.16666666666667,35.3137084989848,0,0,0,0,0,-0.25
"11",0.005,"ER","1","1",100,21,0,5,0,3,0.42,0,-1.08122308375685e-15,-7.06263698020146e-16,-1,0.90702947845805,3,0.00101405729111357,0,0.541196100146197,1.84775906502257,0.987122728291881,0.0260606060606061,0.52,0,1.41935483870968,36.5268149392513,0,0,0,0,0,0.0869565217391304
"12",0.005,"ER","1","1",100,16,0,4,0,2,0.32,0,0,0,-1,0.8984375,3,0.000403957113913824,0,0.618033988749895,1.6180339887499,0.987387061454084,0.016969696969697,0.38,0,1.28571428571429,28.128990204492,0,0,0,0,0,0
"13",0.005,"ER","1","1",100,14,0,3,0,2,0.28,0,0,0,-1,0.897959183673469,2,0.000201978556956912,0,0.707106781186547,1.4142135623731,0.995773330996193,0.0173737373737374,0.31,0,1.17647058823529,24.4852813742386,0,0,0,0,0,-0.272727272727273
"14",0.005,"ER","1","1",100,15,0,6,0,3,0.3,0,-7.17357900829113e-16,-3.54038582785341e-16,-1,0.817777777777778,4,0.00141593215186289,0,0.525731112119133,1.90211303259031,0.981172788596192,0.0272727272727273,0.41,0,1.71428571428571,23.6194686894883,0,0,0,0,0,-0.13013698630137
"15",0.005,"ER","1","1",100,33,0,5,0,3,0.66,0,-8.17801449094591e-16,-8.72692306946502e-16,-1,0.931129476584022,3,0.000986987999975013,0,0.541196100146197,1.84775906502257,0.987122728291881,0.0236363636363636,0.89,0,1.48148148148148,51.6132224729814,0,0,0,0,0,-0.245283018867925
"16",0.005,"ER","1","1",100,40,0,9,0,5,0.8,0,-1.41900452151792e-15,-7.05018723906935e-16,-1,0.885,5,0.0041186967593894,0,0.447213595499958,2.23606797749979,0.987387061454084,0.0424242424242424,1.34,0,2.08928571428571,54.7027669518487,0,0,0,0,0,-0.346066393815371
"17",0.005,"ER","1","1",100,30,0,8,0,3,0.6,0,-9.40354427907769e-16,-6.83158221097219e-16,-1,0.886666666666667,5,0.00279021924043569,0,0.47725999647402,2.09529398522391,0.971627410520091,0.0242424242424242,0.94,0,1.90909090909091,45.2173577213221,0,0,0,0,0,-0.0647181628392484
"18",0.005,"ER","1","1",100,25,0,7,0,4,0.5,0,-8.29053469248237e-16,-4.68395483480459e-16,-1,0.8736,4,0.00262988574676886,0,0.468213192462135,2.13577920506986,0.98268028553185,0.0353535353535354,0.72,0,1.71153846153846,36.4895202032391,0,0,0,0,0,-0.24750499001996
"19",0.005,"ER","1","1",100,24,0,6,0,3,0.48,0,-1.05901689615955e-15,-7.11211156811967e-16,-1,0.909722222222222,4,0.00141384989869838,0,0.525731112119134,1.90211303259031,0.981172788596193,0.0254545454545455,0.62,0,1.55263157894737,39.4690755733353,0,0,0,0,0,-0.0434782608695652
"20",0.005,"ER","1","1",100,23,0,8,0,3,0.46,0,-1.06381775200528e-15,-7.24395904426625e-16,-1,0.824196597353497,5,0.00278189022777767,0,0.489697028694033,2.04207896189791,0.968885790681019,0.0256565656565657,0.79,0,2.10344827586207,32.0342624871971,0,0,0,0,0,-0.265372168284789
"21",0.005,"ER","1","1",100,22,0,6,0,2,0.44,0,-7.15831158589349e-16,-6.76448157109653e-16,-1,0.892561983471075,5,0.00119521331642544,0,0.554958132087371,1.80193773580484,0.974551436658827,0.0157575757575758,0.64,0,1.7027027027027,37.1169086193618,0,0,0,0,0,0.214285714285714
"22",0.005,"ER","1","1",100,22,0,4,0,2,0.44,0,0,0,-1,0.929752066115703,3,0.00040187486074932,0,0.618033988749895,1.6180339887499,0.987387061454084,0.0157575757575758,0.51,0,1.25,38.9574173292382,0,0,0,0,0,-0.0352941176470588
