"","mu","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"12",0.15,"Spatial_noncomm","1","1",150,1337,1,150,9,37,17.8266666666667,9,7.27042759045483,0.578764005488042,0.00334379749459688,0.151250392198563,3,0.0185389901853309,0.161422603763461,0.0473711470838487,21.1098962461256,0.597741494543037,0.128680089485459,2.97333333333333,2,2.01548098434004,505.643743066325,0,28.08,28.8752279981701,141,4212,0.124845161411843
"13",0.15,"Spatial_noncomm","1","1",150,1321,1,150,8,39,17.6133333333333,8,6.91918823346328,0.558298109905424,0.00332385947779151,0.148471876978874,3,0.0195055513760699,0.162129989683358,0.0479105950236045,20.8722099883611,0.616298384459727,0.143534675615213,2.99333333333333,2,2.02774049217002,503.953259829832,0,27.24,29.4262084707908,145,4086,0.186548026795403
"14",0.15,"Spatial_noncomm","1","1",150,1333,1,150,9,44,17.7733333333333,9,7.04626820292061,0.577189183245977,0.00333882297433046,0.149985760450363,3,0.023169912921916,0.162342135476464,0.0468203180150673,21.3582487773404,0.664282491348428,0.176017897091723,2.97333333333333,2,2.01888143176734,502.868171359586,0,28.28,32.8090100572937,196,4242,0.149025043480748
"15",0.15,"Spatial_noncomm","1","1",150,1335,1,150,9,40,17.8,9,7.10141604234197,0.554135518340836,0.00333304388236952,0.173546820878983,3,0.0207998179915044,0.169111701513226,0.0470930369438137,21.2345617292232,0.627560569623724,0.148993288590604,2.98666666666667,2,2.02201342281879,503.40832406553,2,29.28,32.5159991595258,156,4392,0.148178153564354
"16",0.15,"Spatial_noncomm","1","1",150,1317,1,150,9,35,17.56,9,6.98604095000721,0.581445180090561,0.00332860195687694,0.147671148180962,3,0.0135039553816229,0.156439514842004,0.0482349329477959,20.7318625503696,0.602820872954458,0.117046979865772,3,3,2.02434004474273,500.548769545412,1,26.14,28.2465249986019,130,3921,0.161619082259774
"17",0.15,"Spatial_noncomm","1","1",150,1327,1,150,9,36,17.6933333333333,9,7.01494310151263,0.570886238115449,0.00334087100431536,0.145662888884544,3,0.0150050060693183,0.156436268898275,0.0481582332196301,20.764881374269,0.598025589177024,0.122863534675615,3,3,2.01709172259508,504.603247083051,2,26.42,27.3896247441282,133,3963,0.150891566733883
"18",0.15,"Spatial_noncomm","1","1",150,1318,1,150,9,33,17.5733333333333,9,6.71446278601506,0.553747755660594,0.00332638438049129,0.172766014933586,3,0.0138405977605347,0.154103380202248,0.0489767670897323,20.4178442029026,0.561732095469121,0.103534675615213,2.99333333333333,2,2.02541387024608,502.853917947777,1,25.5,24.1134761397776,113,3825,0.142990891427184
"19",0.15,"Spatial_noncomm","1","1",150,1325,1,150,9,41,17.6666666666667,9,7.05236069706006,0.565180972897341,0.0033300210246124,0.15514874458313,3,0.0254881811383786,0.157950157950158,0.0474622222787051,21.0693884944505,0.620454552675775,0.156599552572707,2.99333333333333,2,2.02398210290828,501.947773260666,2,27,30.0726190430329,145,4050,0.15088738717235
"20",0.15,"Spatial_noncomm","1","1",150,1317,1,150,9,37,17.56,9,6.87125141417019,0.57496196933247,0.00332273281890937,0.152755945920944,3,0.0158669325227405,0.159712059486612,0.0480430592126876,20.8146611891008,0.608611423065761,0.130469798657718,3,3,2.02881431767338,500.38232752565,2,26.92,27.5903689061208,140,4038,0.133914907605751
"21",0.15,"Spatial_noncomm","1","1",150,1324,1,150,9,38,17.6533333333333,9,7.26027343603033,0.555312540566169,0.00333693538898271,0.174249976873398,3,0.0200545203131103,0.154461296040969,0.0481065974549209,20.7871695963754,0.609681351222714,0.1365548098434,3,3,2.01923937360179,503.874396759154,0,26.14,27.3324130908547,133,3921,0.131717020888204
"22",0.15,"Spatial_noncomm","1","1",150,1324,1,150,9,45,17.6533333333333,9,6.82624059045002,0.56813378652874,0.00333462644896163,0.174058586359024,3,0.0262986772224617,0.164976283213143,0.0470463182719485,21.2556484063122,0.657441722634576,0.183534675615213,2.99333333333333,2,2.0213870246085,500.048279175395,2,28.52,31.3721374265671,175,4278,0.112943114192759
"23",0.15,"Spatial_noncomm","1","1",150,1316,1,150,9,37,17.5466666666667,9,7.00457408334312,0.56097870854201,0.00332174185807367,0.167787909507751,3,0.0154427470673448,0.154839483468596,0.0485628960044182,20.5918526751169,0.598075863003157,0.130559284116331,3,3,2.02935123042506,501.437834788086,1,25.82,25.2257112896171,128,3873,0.148352482954636
"24",0.15,"Spatial_noncomm","1","1",150,1312,1,150,8,36,17.4933333333333,8,6.81431444728062,0.569406418393655,0.00332686187536109,0.155951097607613,3,0.0182238246885617,0.153230026162206,0.0487170182900137,20.5267078138275,0.590486259710281,0.12420581655481,3,3,2.02568232662192,498.178260000603,1,25.38,26.1756252208939,115,3807,0.121518006580633
"25",0.15,"Spatial_noncomm","1","1",150,1323,1,150,9,33,17.64,9,7.19183094517376,0.558734653383536,0.00333849866635417,0.166765496134758,3,0.016071746292842,0.155447245415685,0.0487731075399525,20.5031020256573,0.571571076398157,0.103087248322148,3,3,2.01816554809843,504.786636262994,1,25.94,24.84292399222,115,3891,0.144928013348266
"26",0.15,"Spatial_noncomm","1","1",150,1320,1,150,9,42,17.6,9,7.3748795493856,0.570299881837773,0.00333380039273629,0.179329082369804,3,0.0207278525925993,0.158694362017804,0.0481628075714329,20.7629091912228,0.649596191135748,0.163758389261745,3,3,2.02120805369128,502.768908205394,3,26.74,27.8383227721266,173,4011,0.124155929223096
"27",0.15,"Spatial_noncomm","1","1",150,1330,1,150,8,39,17.7333333333333,8,6.7933825311876,0.559705439805622,0.00333327841730679,0.137855157256126,3,0.0178726861076241,0.159435626102293,0.0478555853859709,20.8962024377024,0.633282782321618,0.142729306487696,3,3,2.02165548098434,505.10659765902,1,27.12,29.3412964582745,153,4068,0.160822504193845
"28",0.15,"Spatial_noncomm","1","1",150,1322,1,150,9,42,17.6266666666667,9,7.08503039473271,0.555413036739965,0.00333317181417213,0.155910313129425,3,0.0281617212024083,0.157028331257783,0.0476548989653863,20.9842014506492,0.627413181437474,0.163579418344519,2.98,2,2.02237136465324,502.418856643836,1,26.9,28.1674642143814,144,4035,0.106630922003678
"29",0.15,"Spatial_noncomm","1","1",150,1342,1,150,9,39,17.8933333333333,9,7.05145669152101,0.561015736606527,0.00333770756886044,0.154484495520592,3,0.0162336137502251,0.162362324344854,0.0468018998293841,21.3666539957884,0.63225044505064,0.14165548098434,3,3,2.01959731543624,503.054879876994,2,28.5,31.4821244688764,164,4275,0.153178676003023
"30",0.15,"Spatial_noncomm","1","1",150,1331,1,150,9,41,17.7466666666667,9,7.02986974012741,0.586317218042801,0.00332783717517261,0.138814002275467,3,0.0198671776884597,0.159619897664756,0.0470980039096229,21.2323223276918,0.642549133870283,0.156062639821029,2.98666666666667,2,2.0262192393736,501.986716280735,2,27.66,31.6246505670803,171,4149,0.150698622195135
"31",0.15,"Spatial_noncomm","1","1",150,1330,1,150,8,41,17.7333333333333,8,6.9596867502997,0.55945270651084,0.00333846686975252,0.148915141820908,3,0.0201682678507476,0.164836439563839,0.0473168079652833,21.1341390723928,0.641781649671068,0.156152125279642,2.99333333333333,2,2.01906040268456,503.192654634439,2,28.42,31.022457767012,174,4263,0.137741060777939
"32",0.15,"Spatial_noncomm","1","1",150,1320,1,150,8,41,17.6,8,6.79766831470545,0.550967314375301,0.00331935484837642,0.160028412938118,3,0.0210823910014909,0.160365058670143,0.0477657389399061,20.9355077968771,0.644530591538822,0.157046979865772,2.98666666666667,2,2.0310514541387,500.005486265532,0,27.06,29.8155920652491,173,4059,0.175071873074144
"33",0.15,"Spatial_noncomm","1","1",150,1311,1,150,9,39,17.48,9,6.83826272185184,0.569774639923554,0.00331687843948326,0.166783630847931,3,0.0202629307149349,0.159734176708435,0.0483118738946894,20.6988452192893,0.604839345132616,0.144429530201342,2.99333333333333,2,2.03257270693512,499.788017189944,0,26.6,27.10135091608,125,3990,0.156913276763537
