"","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.9,"Spatial","1","1",150,10678,1,150,109,149,142.373333333333,109,107.657830377155,0.892414540865678,0.00644359256008729,0.00352861441012233,2,9.51516126635434e-05,0.962278759236585,0.0070001032002109,142.85503676144,0.0415200218821642,0.0444742729306488,1.66,1,1.04447427293065,382.708101725355,5747,9719.24,1043.26045883396,10529,1457886,-0.0669577029532941
"2",0.9,"Spatial","1","1",150,10483,1,150,111,149,139.773333333333,111,106.824867548809,0.867808927465388,0.00634507265006747,0.0106181006194109,2,0.000163029513740587,0.948426464656133,0.00711844610521693,140.480097091291,0.0575669115453291,0.061923937360179,1.72,1,1.06192393736018,401.487131649469,5871,9247.98,1210.99843697769,10334,1387197,-0.0694024713933981
"3",0.9,"Spatial","1","1",150,10339,1,150,101,149,137.853333333333,101,98.297689217086,0.849637928891075,0.00627394059666226,0.0151723017784914,2,0.000227931394116708,0.938447153170304,0.00720850449920488,138.72502959668,0.0694254756981058,0.0748098434004474,1.74666666666667,1,1.07480984340045,415.092943574732,4905,8912.32,1294.6212906385,10190,1336848,-0.0735477327694276
"4",0.9,"Spatial","1","1",150,10459,1,150,96,149,139.453333333333,96,93.4176270809976,0.865859981220543,0.00633762676926741,0.0177132410392435,2,0.000207021846547202,0.949115904528799,0.00712426177317398,140.365420564057,0.0583417529455607,0.0640715883668904,1.73333333333333,1,1.06407158836689,401.256273773949,4485,9226.4,1325.93841658041,10310,1383960,-0.0694242801105723
"5",0.9,"Spatial","1","1",150,10251,1,150,93,149,136.68,93,92.0225266847705,0.831895419263656,0.00623631526569718,0.0109284421749623,2,0.000307167230843562,0.934875260763996,0.00725488358826843,137.838186903103,0.0754176560601144,0.0826845637583893,1.79333333333333,1,1.08268456375839,418.527832454159,4250,8747.74,1431.6232371054,10102,1312161,-0.0833058428010298
"6",0.9,"Spatial","1","1",150,10056,1,150,93,149,134.08,93,90.1207983013958,0.819708385800349,0.00614499209629748,0.0243287896055755,2,0.000428374790538828,0.92217867794452,0.00737865903014352,135.52598052231,0.0910406721465533,0.100134228187919,1.84,1,1.10013422818792,431.618105847854,4171,8323.72,1529.67017596877,9907,1248558,-0.0902093674847859
"7",0.9,"Spatial","1","1",150,10305,1,150,98,149,137.4,98,96.9051864609772,0.852807255819738,0.00625785521720982,0.0257646818140834,2,0.000242219671724901,0.936081271226189,0.00722995103719397,138.313523128382,0.0722059248082284,0.0778523489932886,1.74666666666667,1,1.07785234899329,415.454790389831,4657,8834.76,1318.61450411779,10156,1325214,-0.0801807941791786
"8",0.9,"Spatial","1","1",150,10294,1,150,97,149,137.253333333333,97,95.3143685748434,0.846283607467242,0.00625549585980971,0.0142578731250337,2,0.000270073591621006,0.936762146670127,0.00723053194420356,138.302410903759,0.0722810074070333,0.0788366890380313,1.76666666666667,1,1.07883668903803,414.778469172602,4571,8831.5,1385.052378289,10145,1324725,-0.0816859125135248
"9",0.9,"Spatial","1","1",150,10220,1,150,101,149,136.266666666667,101,98.3064279455343,0.840821179590174,0.00621738473100261,0.0135027008551591,2,0.00028642652477761,0.930305991545197,0.00728358350913881,137.295055208097,0.0790874648101532,0.0854586129753915,1.73333333333333,1,1.08545861297539,415.225088179845,4970,8644.18,1368.80376457184,10071,1296627,-0.0862484001560772
"10",0.9,"Spatial","1","1",150,10160,1,150,98,149,135.466666666667,98,93.9695904109904,0.837415105464623,0.00618792872715986,0.0129854948772397,2,0.000324201205022167,0.926270200143955,0.00732157187201494,136.582692552985,0.083900725993343,0.09082774049217,1.78666666666667,1,1.09082774049217,423.354805447678,4663,8510.62,1400.262754202,10011,1276593,-0.0696960999191264
