"","nei","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,"LAT","1","1",400,760,1,400,2,4,3.8,2,0.0246233188097228,0.00664571362259453,0.00019257346173509,0.752218663434903,38,0.0377348739379312,0,0.252823833328879,3.95532330490052,0.555114887912407,0.00050125313283208,29,20,13.3333333333333,632.257098443441,0,0,0,0,0,0.623687858981976
"2",2,"LAT","1","1",400,2202,1,400,5,12,11.01,5,0.169110499400862,0.0160303061055018,0.000370549500757452,0.672250930332511,19,0.0188328818040402,0.468932554434413,0.0854792665043318,11.6987433432097,0.541576658297915,0.0024812030075188,14.75,10,6.91729323308271,987.673448203106,7,26.49,6.05322259291681,30,10596,0.60817559986971
"3",3,"LAT","1","1",400,4250,1,400,9,24,21.25,9,0.615229019856856,0.030765401365862,0.000535521583063766,0.611817190311419,13,0.0125351385040706,0.524079320113314,0.0436131238055745,22.9288781160909,0.525876438362234,0.0068922305764411,10,7,4.77894736842105,1129.98141458178,28,116.55,30.2773727104188,138,46620,0.595651285460054
"4",4,"LAT","1","1",400,6830,1,400,14,40,34.15,14,1.61754350912462,0.0512672382810152,0.000688870207389313,0.539616261047956,10,0.00918904026222443,0.563151913977036,0.0268467971463766,37.2483911040749,0.509275175337279,0.0146616541353383,7.63,5,3.70989974937343,1266.53494098495,75,332.04,96.9051852964709,414,132816,0.574883026666903
"5",5,"LAT","1","1",400,9870,1,400,20,60,49.35,20,3.4835401726835,0.0778329360377987,0.000831762845237794,0.483977785168693,8,0.00754544974438067,0.580995453419524,0.0184508472079066,54.1980532780888,0.492247349022893,0.0266917293233083,6.2,4,3.06867167919799,1351.82340561135,160,727.11,231.427384909858,954,290844,0.547241775383248
"6",6,"LAT","1","1",400,13300,1,400,27,84,66.5,27,6.54716941130406,0.110575392733473,0.000965171522282212,0.473683057267228,7,0.00602008209773411,0.599183027149774,0.0136451716731,73.2859962452064,0.474830844647015,0.043859649122807,5.24,4,2.64157894736842,1429.03498294179,301,1377.36,470.971087023429,1908,550944,0.512375203756543
"7",7,"LAT","1","1",400,17052,1,400,35,112,85.26,35,11.1365722894208,0.149357818166375,0.00109002648713539,0.439371725701775,6,0.00478483137315217,0.613179425548552,0.0106369349777361,94.0120440797158,0.456941487650929,0.0670175438596491,4.58,3,2.3365664160401,1475.46742433842,515,2336.79,844.818703927811,3420,934716,0.468659902341716
"8",8,"LAT","1","1",400,21060,1,400,44,144,105.3,44,17.5380877181282,0.193740277196074,0.00120686328805299,0.389474786685534,5,0.00438201985188462,0.628509442284612,0.0086290814413555,115.887189939757,0.439395839402739,0.0969924812030075,4.06,3,2.10867167919799,1521.64323612578,826,3676.29,1388.80934775477,5700,1470516,0.413793956293336
"9",9,"LAT","1","1",400,25260,1,400,54,180,126.3,54,25.9628565554341,0.242974140955005,0.00131726155436057,0.339107508358049,5,0.00433499835948849,0.643245910835443,0.00722288216697816,138.448887422231,0.423373646472864,0.134586466165414,3.67,3,1.93010025062657,1550.14122617596,1256,5435.28,2118.99988742503,8940,2174112,0.348053968955332
"10",10,"LAT","1","1",400,29590,1,400,65,218,147.95,65,36.5177768956712,0.296014100322392,0.00142103897893017,0.307051273910048,4,0.00391565667900561,0.659693610121074,0.00620071323057693,161.271770329388,0.407241061111365,0.175563909774436,3.35,2,1.7874686716792,1563.46140618397,1835,7664.67,3046.7945440387,13292,3065868,0.276992130226607
"11",11,"LAT","1","1",400,33990,1,400,77,254,169.95,77,49.1699262247437,0.351501240521309,0.00151754039738199,0.274121897905178,4,0.00321088454360475,0.677055748344656,0.0054355949067837,183.972502945719,0.387546724978642,0.210651629072682,3.09,2,1.67295739348371,1564.75574056646,2590,10377.66,4148.33251572878,18588,4151064,0.209184972020122
"12",12,"LAT","1","1",400,38402,1,400,90,286,192.01,90,63.7703815591058,0.40806028509797,0.00160802056318754,0.230414557496684,4,0.00257224330425589,0.696440456092981,0.00484923412534914,206.218131389563,0.364018101714915,0.235563909774436,2.88,2,1.57854636591479,1569.98564671652,3557,13593.09,5381.99061680699,24592,5437236,0.15010423704987
"13",13,"LAT","1","1",400,42770,1,400,104,314,213.85,104,80.1111255267657,0.464562536956294,0.00169393784900573,0.18774396619553,3,0.00207853784526066,0.717193514304595,0.00439110342796172,227.733191988189,0.338298624641138,0.251002506265664,2.72,2,1.49824561403509,1576.59123466903,4768,17289.09,6673.21035657184,31048,6915636,0.100961596659783
"14",14,"LAT","1","1",400,47040,1,400,119,338,235.2,119,97.946902621773,0.520124289744695,0.00177618016926738,0.134971851237838,3,0.00169162998725062,0.739586017082874,0.00402744280160383,248.296512020425,0.311277721245922,0.257644110275689,2.55,2,1.42844611528822,1575.03966145015,6265,21443.52,7939.24364304681,37692,8577408,0.0613001468616141
