"","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.4,"ER","1","1",400,31967,1,400,135,186,159.835,135,130.910053838546,0.880600237548033,0.00156733836559918,0.0296634442292201,2,0.000532961657202516,0.400551831821412,0.00623459220584972,160.395414324249,0.140425752855611,0.0655764411027569,2,2,1.59941102756892,3473.88389532614,3600,5102.4225,608.359562583854,6891,2040969,-0.00353741220883407
"2",0.4,"ER","1","1",400,32119,1,400,133,187,160.595,133,129.629182769176,0.882820248331933,0.00156926386069777,0.0308714961077994,2,0.000601216806494042,0.402436543607672,0.00620183201553468,161.242677566104,0.134118801633269,0.0661779448621554,2,2,1.59750626566416,3475.10154198389,3566,5178.2325,659.609239866334,6862,2071293,-0.00582966353335804
"3",0.4,"ER","1","1",400,31955,1,400,135,185,159.775,135,130.670929683579,0.881665322913735,0.00156722258882915,0.0294227729540943,2,0.000519049088613555,0.400465007242914,0.00623484093586092,160.389015579901,0.137753319676303,0.0632205513784461,2,2,1.59956140350877,3472.0510683104,3518,5099.175,634.213972395717,6780,2039670,-0.00273117171595762
"4",0.4,"ER","1","1",400,31998,1,400,136,186,159.99,136,131.373693641135,0.879002414340132,0.00156773102891022,0.0266525897703909,2,0.000526510970207385,0.40103723143814,0.00622794406659445,160.566631509075,0.145446164475632,0.065187969924812,2,2,1.59902255639098,3472.38294286163,3670,5119.14,618.316576578843,6966,2047656,-0.00815549613406251
"5",0.4,"ER","1","1",400,31488,1,400,127,185,157.44,127,124.087132171486,0.879889850180112,0.00156149481375057,0.0295129635178158,2,0.000580918184294654,0.394517925076988,0.00632759648920317,158.037890327917,0.150562618524635,0.0690726817042606,2,2,1.60541353383459,3464.05128633717,3126,4877.145,602.045285080965,6687,1950858,-0.00964528857372131
"6",0.4,"ER","1","1",400,31745,1,400,130,186,158.725,130,126.632118847343,0.88190702124268,0.0015646337059032,0.0271294775183832,2,0.000550742606531907,0.397678646966431,0.00627672563649024,159.318736856431,0.147823840242548,0.0683583959899749,2,2,1.60219298245614,3467.32767521823,3369,4996.695,615.102315979063,6890,1998678,-0.00574160487528244
"7",0.4,"ER","1","1",400,31678,1,400,123,192,158.39,123,120.744862815971,0.880483823654117,0.0015638250924986,0.0237774101876456,2,0.000748217080637574,0.396949210920843,0.00628924899472681,159.00149617839,0.172414297605746,0.0842355889724311,2,2,1.60303258145363,3464.10125730612,2993,4967.1525,613.177785585542,7184,1986861,-0.0122149120383076
"8",0.4,"ER","1","1",400,31659,1,400,128,183,158.295,128,124.919412233085,0.876535255853181,0.00156357553209007,0.0304853135948674,2,0.000483091069639052,0.396888738261645,0.00629392831683562,158.883283961958,0.13803549857219,0.0619172932330827,2,2,1.60327067669173,3470.42883825135,3282,4959.48,608.749397677675,6665,1983792,0.000305112250985873
"9",0.4,"ER","1","1",400,31942,1,400,129,188,159.71,129,126.007928618034,0.880741357991249,0.00156706458147991,0.0248921949122761,2,0.000574796416070323,0.400699050889474,0.00623735695527405,160.324318003709,0.15202916241151,0.0709022556390977,2,2,1.59972431077694,3472.15410642457,3336,5098.08,630.941047256225,7036,2039232,-0.00590411284697115
"10",0.4,"ER","1","1",400,32000,1,400,133,183,160,133,129.562538959934,0.882290502501261,0.00156773399746694,0.020896072265625,2,0.000480297347900388,0.400507614809754,0.00622898841562833,160.539710989192,0.128371057605954,0.0576441102756892,2,2,1.59899749373434,3474.11734747354,3506,5111.925,593.320421172617,6702,2044770,-0.0138848091077355
"11",0.4,"ER","1","1",400,31795,1,400,131,191,158.975,131,127.37552882127,0.8829534287978,0.00156524487749477,0.0244707226553898,2,0.000693437730853972,0.398370682762548,0.00626702846906925,159.565255676669,0.16421946465772,0.0802631578947368,2,2,1.6015664160401,3475.8752354545,3374,5021.085,611.904592932698,7202,2008434,-0.00537258973765259
"12",0.4,"ER","1","1",400,31782,1,400,126,190,158.91,126,123.460480858318,0.881389399239948,0.00156514181591715,0.0276787232847891,2,0.000672971492472466,0.39880356134233,0.00626596827687614,159.59225387246,0.161229306436542,0.0779197994987469,2,2,1.60172932330827,3464.92888193222,3120,5025.3825,657.175421810135,7142,2010153,-0.00746185488156955
