"","nei","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,"LAT","1","1",144,264,1,144,2,4,3.66666666666667,2,0.0681483474218644,0.019385937292529,0.000895317698354006,0.666207529843893,22,0.0596887360694442,0,0.257481957737431,3.88376726970422,0.529384302326735,0.00233100233100233,17,12,8,223.309716278415,0,0,0,0,0,0.589637305699483
"2",2,"LAT","1","1",144,746,1,144,5,12,10.3611111111111,5,0.458827485098835,0.0475697222529837,0.0016799456388038,0.570650259830805,11,0.029600100567229,0.480462300495322,0.0889879307313462,11.2374789680074,0.507083150738444,0.0114607614607615,8.75,6,4.25174825174825,345.221883933413,7,24.25,7.144365475111,30,3492,0.560180230268493
"3",3,"LAT","1","1",144,1402,1,144,9,24,19.4722222222222,9,1.62390985459493,0.0923315880006381,0.0023729108603287,0.49686864699095,8,0.0196330162338999,0.544534115920763,0.0467841350350715,21.374767306275,0.480974086620409,0.0316627816627817,6,4,3.003108003108,389.414503301744,28,103.083333333333,34.1853238047611,138,14844,0.52009345387965
"4",4,"LAT","1","1",144,2190,1,144,14,40,30.4166666666667,14,4.11067801385402,0.154110962287213,0.00298904087329523,0.400611955547215,6,0.013647965599297,0.59280912014031,0.0298630188152609,33.4862327946888,0.452799110534419,0.067016317016317,4.63888888888889,3,2.37937062937063,432.938847484402,75,281.666666666667,103.21787669745,414,40560,0.455140934665178
"5",5,"LAT","1","1",144,3070,1,144,20,60,42.6388888888889,20,8.41649216198862,0.231308273964941,0.00353922245100177,0.320870990673641,5,0.0121820738572975,0.622711159288665,0.0213888916054135,46.7532408152884,0.425468901380598,0.121406371406371,3.80555555555556,3,2.00641025641026,454.221663211523,160,590.416666666667,230.228026217366,954,85020,0.358543664610807
"6",6,"LAT","1","1",144,4004,1,144,27,82,55.6111111111111,27,14.8330217839196,0.319965162718297,0.00403542864886105,0.265819969241548,4,0.00987007633946205,0.655661426347572,0.0165491908000232,60.4259152053887,0.397081632027451,0.184537684537685,3.25,2,1.75679875679876,468.319485274511,301,1064.66666666667,428.291646271246,1862,153312,0.242269873616121
"7",7,"LAT","1","1",144,4956,1,144,35,102,68.8333333333333,35,23.3192824729536,0.414071620110152,0.00447581245247421,0.224961094272048,4,0.00702347531622797,0.688854869709024,0.0135378664152736,73.8668834013448,0.361206731935088,0.231934731934732,2.86111111111111,2,1.58294483294483,477.114067683262,515,1712.41666666667,683.028770037764,3082,246588,0.140039754185242
"8",8,"LAT","1","1",144,5892,1,144,44,118,81.8333333333333,44,33.5828162468416,0.508046972880904,0.0048765826887839,0.182467891151383,3,0.00496246402219055,0.726994158004489,0.0115495571380791,86.5834064496709,0.318282446060998,0.252913752913753,2.58333333333333,2,1.45221445221445,482.634776231398,826,2537.25,960.199611386244,4475,365364,0.0646240639168729
"9",9,"LAT","1","1",144,6780,1,144,54,130,94.1666666666667,54,45.2489863063882,0.59800902431423,0.0052481288961689,0.130316576169717,3,0.00350133840843298,0.767217773028373,0.010180205107764,98.2298479661613,0.272341977129945,0.250582750582751,2.27777777777778,2,1.3482905982906,478.881066100001,1256,3510,1205.63859409875,5868,505440,0.0140286765986807
"10",10,"LAT","1","1",144,7590,1,144,65,138,105.416666666667,65,57.9619048100053,0.680567367878062,0.00559226362544587,0.093545247977281,3,0.00235137906911374,0.809218743112391,0.00921076842122893,108.568574766814,0.224901062414661,0.227855477855478,2.08333333333333,2,1.26379176379176,470.692191315072,1835,4589.41666666667,1368.75909039993,7112,660876,-0.0146178568639302
"11",11,"LAT","1","1",144,8294,1,144,77,142,115.194444444444,77,71.414129734527,0.751529934772178,0.00590664732435071,0.0709096174357726,2,0.00138470746984508,0.850051141045762,0.00851625596947998,117.422492182449,0.176291807548965,0.187451437451437,2,2,1.19444444444444,462.833680813701,2590,5702.16666666667,1418.01065221324,8075,821112,-0.0246375969189601
"12",12,"LAT","1","1",144,8866,1,144,88,143,123.138888888889,88,83.6979639043269,0.807009994572528,0.0061823455057557,0.0494359485940226,2,0.000702806031924695,0.887600194094705,0.00802386250759191,124.628257158424,0.129378470715327,0.138888888888889,1.97222222222222,1,1.13888888888889,440.097260302622,3463,6757.91666666667,1362.54675931825,8723,973140,-0.0270021509516635
"13",13,"LAT","1","1",144,9306,1,144,98,143,129.25,98,94.4101908217547,0.849615982268234,0.00641134175974693,0.0398773298000976,2,0.000333720403892984,0.919346148729546,0.0076795200970315,130.216470217527,0.0900248576230506,0.0961538461538462,1.91666666666667,1,1.09615384615385,413.216993503345,4410,7678.58333333333,1235.87507855374,9163,1105716,-0.0306815247017579
"14",14,"LAT","1","1",144,9636,1,144,107,143,133.833333333333,107,103.886892757159,0.883718896243821,0.00659386757771455,0.00975334039485594,2,0.000157913912486354,0.94474962828401,0.00743872342674546,134.431668262401,0.0603403643492878,0.0641025641025641,1.83333333333333,1,1.06410256410256,387.46697352408,5389,8436.66666666667,1060.33012407833,9493,1214880,-0.0357493959411739
"15",15,"LAT","1","1",144,9876,1,144,115,143,137.166666666667,115,112.270116157282,0.911736760231411,0.00673295137145612,0.00622973965876751,2,7.28166531183983e-05,0.964026343894624,0.00727207667217054,137.51230151724,0.0386457639631023,0.0407925407925408,1.72222222222222,1,1.04079254079254,363.561293485779,6353,9026.5,858.443623393787,9733,1299816,-0.0404623886178157
"16",16,"LAT","1","1",144,10044,1,144,122,143,139.5,122,119.63684823484,0.935032006469993,0.00683382267914155,0.00324579912899367,2,3.17041669043559e-05,0.977929394738202,0.00715916323794742,139.681128473152,0.0233723346961143,0.0244755244755245,1.58333333333333,1,1.02447552447552,342.21407385611,7255,9460,651.252907594545,9901,1362240,-0.042204193297298
"17",17,"LAT","1","1",144,10156,1,144,128,143,141.055555555556,128,126.028124496095,0.954374634005182,0.00690299630239301,0.000473535454239564,2,1.24967311793843e-05,0.987448710021921,0.00708522865867897,141.138705350753,0.01310770879752,0.0135975135975136,1.41666666666667,1,1.01359751359751,323.828190957973,8058,9759.83333333333,457.223392631251,10013,1405416,-0.0394968651891518
"18",18,"LAT","1","1",144,10226,1,144,133,143,142.027777777778,133,131.456557889358,0.97024798762812,0.00694729642516121,0,2,4.24553377916985e-06,0.993574989878599,0.00703928917747314,142.059798196693,0.00662113945990638,0.0067987567987568,1.27777777777778,1,1.00679875679876,308.755814387206,8743,9952.91666666667,291.501574321937,10083,1433220,-0.0336020295348389
"19",19,"LAT","1","1",144,10266,1,144,137,143,142.583333333333,137,135.925444542189,0.983003087736021,0.00697315507379174,0,2,1.15444626462639e-06,0.997184912451603,0.00701296832474716,142.592972574998,0.00286639031691819,0.00291375291375291,1.16666666666667,1,1.00291375291375,297.326420906027,9301,10066,163.189366169396,10123,1449504,-0.0265137813815504
"20",20,"LAT","1","1",144,10286,1,144,140,143,142.861111111111,140,139.438447187191,0.992890888974216,0.0069863176312948,0,2,2.17323861224354e-07,0.999043314026003,0.00699970923607581,142.863077061273,0.000964246047376419,0.000971250971250971,1.08333333333333,1,1.00097125097125,289.726154122545,9725,10123.6666666667,74.7789282611627,10143,1457808,-0.0195955072114623
