"","mu","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.4,"Spatial_noncomm","1","1",100,849,1,100,8,31,16.98,8,6.80014643542845,0.572396545529138,0.00535272236503143,0.152657255530357,3,0.017362540780706,0.213560645497137,0.0514495445832464,19.4365180119715,0.522381659806863,0.141616161616162,2.88,2,1.89373737373737,322.26048157821,1,32.82,28.1203689790008,117,3282,0.074206651771437
"2",0.4,"Spatial_noncomm","1","1",100,853,1,100,9,32,17.06,9,7.18738964049586,0.57855823595777,0.00534612014044392,0.171297371387482,3,0.0215709550358519,0.223612096202205,0.0509382866910216,19.6315986453518,0.551768873578635,0.150909090909091,2.9,2,1.89616161616162,324.968076490586,5,34.68,31.8645745477813,136,3468,0.116741001669143
"3",0.4,"Spatial_noncomm","1","1",100,851,1,100,9,35,17.02,9,7.20757954463278,0.569232884759729,0.00535258458008287,0.162494257092476,3,0.0271534812621906,0.220936247252037,0.0511066886518702,19.5669104451635,0.569324079229457,0.181616161616162,2.89,2,1.89353535353535,322.948836061432,4,34.17,30.4531615847197,150,3417,0.0820209579882378
"4",0.4,"Spatial_noncomm","1","1",100,847,1,100,8,33,16.94,8,6.51378240959199,0.567634236287285,0.0053354728175965,0.155878305435181,3,0.0164484903435802,0.221452835118892,0.051134130227005,19.5564096927159,0.559323984970371,0.162222222222222,2.94,2,1.90020202020202,322.213869310491,3,33.9,30.6460734545523,137,3390,0.141824013806424
"5",0.4,"Spatial_noncomm","1","1",100,843,1,100,8,36,16.86,8,6.84576302921163,0.588979346296743,0.00534743655811485,0.145757600665092,3,0.0239703887153109,0.21560534591195,0.0512998481910048,19.4932350730688,0.580984090111719,0.193333333333333,2.92,2,1.89555555555556,323.489039745957,2,32.91,30.7029084267042,154,3291,0.0885017619486703
"6",0.4,"Spatial_noncomm","1","1",100,839,1,100,9,33,16.78,9,7.0697505845425,0.597862059486806,0.00533352404274248,0.150604978203773,3,0.0245747172532244,0.207523302263648,0.0520412199117116,19.2155372548243,0.50495944701243,0.163838383838384,2.88,2,1.90060606060606,322.725415042393,3,31.17,27.1419966066975,104,3117,0.0833024533257749
"7",0.4,"Spatial_noncomm","1","1",100,834,1,100,8,32,16.68,8,6.99602345698234,0.565153197325099,0.0053366324779403,0.163017064332962,3,0.016964971071416,0.202400662251656,0.0531734782570701,18.8063680010821,0.553883158067795,0.154747474747475,2.92,2,1.89838383838384,322.974138448271,3,29.34,25.3927612368628,126,2934,0.15316044962832
"8",0.4,"Spatial_noncomm","1","1",100,835,1,100,8,31,16.7,8,6.82414676750966,0.597154382291128,0.00534398880383372,0.157746061682701,3,0.0173607717107316,0.207300646551724,0.0524172342684064,19.0776948451615,0.534678391271782,0.144444444444444,2.88,2,1.89676767676768,322.548536519238,3,30.78,27.3191315655339,118,3078,0.0773142735350876
"9",0.4,"Spatial_noncomm","1","1",100,837,1,100,8,33,16.74,8,6.70246473483234,0.583352771998314,0.00533337736815487,0.139538705348969,3,0.0222474382651928,0.205833277714743,0.0518885915616739,19.272059038477,0.54713958998537,0.164242424242424,2.91,2,1.90060606060606,320.325410203877,1,30.84,28.5949490489336,129,3084,0.0861462086191788
"10",0.4,"Spatial_noncomm","1","1",100,833,1,100,8,34,16.66,8,6.42883884304227,0.583764328651016,0.00533610217646718,0.163163691759109,3,0.0217855143152503,0.20861059355869,0.0518387987337705,19.2905704689593,0.560196535928194,0.175151515151515,2.9,2,1.9,319.140224338664,0,31.35,29.3334624652805,138,3135,0.0442732363113698
"11",0.4,"Spatial_noncomm","1","1",100,843,1,100,8,32,16.86,8,6.90727490222254,0.564365805755206,0.00534850366823611,0.16841858625412,3,0.0175088580352248,0.208568957487858,0.0518030967858072,19.303865252202,0.54021679342473,0.152929292929293,2.92,2,1.89494949494949,322.713741502818,2,31.35,28.7529972087233,123,3135,0.139003950287354
"12",0.4,"Spatial_noncomm","1","1",100,832,1,100,9,31,16.64,9,6.66167047296107,0.581109970579724,0.00531811072524786,0.154091745615005,3,0.0154903523553997,0.21301535974131,0.0519963094579623,19.23213417307,0.520821930411632,0.145050505050505,2.89,2,1.90666666666667,320.265411419121,1,31.62,28.9289551218921,118,3162,0.107966680596957
"13",0.4,"Spatial_noncomm","1","1",100,838,1,100,9,33,16.76,9,6.98805743356941,0.583655112903084,0.00533223662910212,0.133075535297394,3,0.024316465713829,0.211781020933765,0.0515984415296391,19.3804303067096,0.521700840152416,0.164040404040404,2.84,2,1.90141414141414,321.642587132905,6,32.07,28.4687512543104,116,3207,0.0633410400949175
"14",0.4,"Spatial_noncomm","1","1",100,830,1,100,9,39,16.6,9,6.86870545397341,0.568869064742907,0.00531044043059695,0.15300914645195,3,0.0339147532974599,0.217594473791142,0.0522524837032327,19.1378462635286,0.61346269765025,0.226262626262626,2.94,2,1.90909090909091,318.77697381227,4,32.13,29.0793602391661,163,3213,0.0735391689336824
"15",0.4,"Spatial_noncomm","1","1",100,835,1,100,8,32,16.7,8,6.39397337217023,0.579155209282752,0.00531931100046607,0.154750615358353,3,0.0178983951046151,0.215100380177416,0.0516012145403467,19.379388816868,0.544519095037234,0.154545454545455,2.91,2,1.90626262626263,320.987960840221,4,32.25,30.0394942054824,129,3225,0.11822315262494
"16",0.4,"Spatial_noncomm","1","1",100,834,1,100,9,33,16.68,9,6.90613982240863,0.589251336850406,0.00532176917522627,0.16987057030201,3,0.0179221514537427,0.218892770760548,0.0516958047394615,19.3439294550078,0.577037080894687,0.164848484848485,2.89,2,1.90484848484848,321.994193009579,5,32.58,31.218092397347,152,3258,0.138131971561673
"17",0.4,"Spatial_noncomm","1","1",100,833,1,100,8,32,16.66,8,6.44091942263295,0.559501247747493,0.00532417110802992,0.155893817543983,3,0.0248536871062974,0.215718047397205,0.052183154131594,19.1632724514549,0.515028628547376,0.154949494949495,2.87,2,1.90424242424242,321.22446861702,2,31.95,27.9546440008118,116,3195,0.104189780380875
"18",0.4,"Spatial_noncomm","1","1",100,834,1,100,9,34,16.68,9,6.8053630135702,0.579418812614314,0.00533573184558562,0.156550288200378,3,0.0217947398509532,0.212196597861897,0.0519590274053443,19.245933766211,0.59359945599547,0.174949494949495,2.91,2,1.89959595959596,320.918596735436,3,31.56,29.8218007165865,153,3156,0.103926246786038
"19",0.4,"Spatial_noncomm","1","1",100,836,1,100,9,32,16.72,9,6.97817111738649,0.593043807492965,0.00533500992937736,0.163937136530876,3,0.0161240210837557,0.203113316565835,0.0525311215948857,19.036334455447,0.549962972263862,0.154343434343434,2.92,2,1.89959595959596,321.85873838305,4,29.88,27.1517545985113,127,2988,0.131584352669056
"20",0.4,"Spatial_noncomm","1","1",100,832,1,100,9,34,16.64,9,6.87614266759233,0.576729630700107,0.00531850812393236,0.117972657084465,3,0.0273705506578356,0.205103905774047,0.0522790549802067,19.1281192894288,0.552970124543358,0.175353535353535,2.94,2,1.90585858585859,320.676594531076,3,30.3,27.1581600364542,116,3030,0.0980304898685319
"21",0.4,"Spatial_noncomm","1","1",100,850,1,100,9,32,17,9,7.28061333102273,0.574809156128637,0.00535206332245501,0.161199301481247,3,0.0191808067065039,0.207439480417241,0.051542347222138,19.4015223189232,0.559122649122488,0.151515151515152,2.89,2,1.89353535353535,325.160062386014,4,31.62,28.9491996714272,129,3162,0.156595009763282
"22",0.4,"Spatial_noncomm","1","1",100,841,1,100,9,32,16.82,9,7.1392183060645,0.601714647949406,0.00535771706224714,0.145459875464439,3,0.0197784590037337,0.206362854686157,0.0519000423821579,19.2678070017102,0.52909687741506,0.153333333333333,2.86,2,1.89151515151515,323.626768897622,3,31.2,27.9169041147749,117,3120,0.0655057379741597
"23",0.4,"Spatial_noncomm","1","1",100,851,1,100,8,37,17.02,8,6.94347295081154,0.575595119384294,0.00537008685555248,0.169280350208282,3,0.0308363182876672,0.216942148760331,0.0512961009936268,19.4946590604273,0.567594338632485,0.201818181818182,2.91,2,1.88707070707071,324.423907388953,4,33.6,29.0895517360103,136,3360,0.0453370120639702
