"","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.5,"Spatial","1","1",250,15000,1,250,62,197,120,62,35.206792059727,0.360831407488026,0.00263009131628213,0.255118166666667,3,0.00923929978065593,0.718138053089979,0.00767378125707347,130.313852649661,0.397416122961093,0.309236947791165,2.544,2,1.5445140562249,916.959449218583,1750,5521.752,2343.55864252204,10959,1380438,0.0873667438650677
"2",0.5,"Spatial","1","1",250,14664,1,250,52,195,117.312,52,32.6368287026079,0.35268321660327,0.00260403108158299,0.255203238763989,3,0.0101041041860114,0.718989358564372,0.00776621811279816,128.762801337252,0.407943133636658,0.312,2.608,2,1.56109236947791,914.642979911784,1234,5314.128,2381.7713447286,10738,1328532,0.125005316974862
"3",0.5,"Spatial","1","1",250,14188,1,250,41,187,113.504,41,29.0316047493822,0.325493236698091,0.00256666741403419,0.235317843360682,3,0.00794816331803133,0.712178602354273,0.00797766645777617,125.349938518081,0.408911979917994,0.295164658634538,2.66,2,1.58666666666667,898.023723955782,813,4984.068,2268.34275602503,9994,1246017,0.087795171489083
"4",0.5,"Spatial","1","1",250,13540,1,250,53,181,108.32,53,28.6230987107629,0.305723380484376,0.00252058901681859,0.286374659360416,3,0.0111809778804023,0.706807949051425,0.00851380314927596,117.456321513029,0.421009172505788,0.291887550200803,2.664,2,1.6105702811245,894.367689697954,1291,4423.812,1758.76649016397,8778,1105953,0.0914956520806304
"5",0.5,"Spatial","1","1",250,14261,1,250,54,190,114.088,54,30.6618746406042,0.328827657841418,0.00257628586784713,0.256256473197264,3,0.0111929444072186,0.715288236888421,0.00800059765035553,124.990662410771,0.419484463255096,0.304867469879518,2.6,2,1.57741365461847,900.93272147503,1387,5003.796,2177.62518357604,10222,1250949,0.102247632349432
"6",0.5,"Spatial","1","1",250,13617,1,250,49,189,108.936,49,29.0995017336557,0.326097420578517,0.00252575139661652,0.266321612345941,3,0.0123109937930134,0.708123739139495,0.00838832485741041,119.213313384803,0.433261508510707,0.321542168674699,2.724,2,1.60870682730924,895.625656753683,1137,4512.612,1913.1211943505,9413,1128153,0.100264940406186
"7",0.5,"Spatial","1","1",250,13765,1,250,49,184,110.12,49,29.8390962310367,0.320031566306737,0.00253229451042633,0.224438672654961,3,0.010750850033481,0.706861975760746,0.00836949721513362,119.481490261065,0.422293294741562,0.296706827309237,2.696,2,1.60401606425703,905.779383881956,1150,4572.348,1843.81800137235,9225,1143087,0.0978772457342633
"8",0.5,"Spatial","1","1",250,14238,1,250,49,189,113.904,49,33.4450539000622,0.35006441352113,0.00256882026488578,0.248009539176484,3,0.0103604168329772,0.709135892178998,0.00808135043026349,123.74169498394,0.408577685729787,0.301590361445783,2.696,2,1.58178313253012,907.859607410381,1155,4918.524,2035.41886432178,9832,1229631,0.0923910158055011
"9",0.5,"Spatial","1","1",250,14265,1,250,54,193,114.12,54,33.2757563601399,0.355903116736352,0.00257473615132831,0.257226372912999,3,0.0101564940342714,0.710950427039734,0.00802439679705246,124.619959018891,0.421294993311103,0.316787148594378,2.62,2,1.57879518072289,907.998118847229,1404,4975.524,2112.80342357035,10314,1243881,0.0913182875399961
"10",0.5,"Spatial","1","1",250,14268,1,250,52,194,114.144,52,32.0855324400077,0.328007215792681,0.00257568265042432,0.261284070745061,3,0.0106465836557769,0.713766156834517,0.00806281317667847,124.026190125858,0.420530749180874,0.320706827309237,2.656,2,1.5770281124498,905.045897858567,1286,4973.928,2055.43297181457,10237,1243482,0.082782609723082
