"","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.6,"ER","1","1",350,36443,1,350,180,235,208.245714285714,180,177.028881288141,0.914320390839874,0.00204254927844985,0.0166838700524635,2,0.000312987202904226,0.596695688394287,0.00479287668242155,208.642964603621,0.114461255854913,0.0766598444535407,2,2,1.40330740892345,2924.57005907095,9581,12900.9085714286,1131.24881050679,16418,4515318,-0.00711681517875825
"2",0.6,"ER","1","1",350,36687,1,350,178,230,209.64,178,175.378892033683,0.915803779783491,0.00204838700775942,0.0169567921696578,2,0.000235398547497031,0.60073393189087,0.00476100623835979,210.039632366562,0.0896602955461411,0.0583381088825215,2,2,1.39931232091691,2921.00229526432,9496,13163.1171428571,1138.23844722559,15800,4607091,-0.0064792131005417
"3",0.6,"ER","1","1",350,36824,1,350,184,244,210.422857142857,184,180.694873635871,0.917776776458322,0.00205167805026086,0.0177599230138474,2,0.000421354042379502,0.602888730038979,0.00474346013860466,210.816570768983,0.136018584730163,0.0962095783872288,2,2,1.3970691772411,2921.0504546422,10179,13308.9771428571,1152.27479736611,17726,4658142,-0.007794889039489
"4",0.6,"ER","1","1",350,36633,1,350,185,234,209.331428571429,185,180.655482491029,0.916181688379452,0.00204709677164837,0.0104146160768371,2,0.000280473760073996,0.599733994554343,0.00476801825104772,209.73074081255,0.107549201550733,0.070683585755219,2,2,1.40019647973803,2918.02251847719,10324,13102.4057142857,1153.01746444696,16401,4585842,-0.00376468350255141
"5",0.6,"ER","1","1",350,36826,1,350,182,236,210.434285714286,182,178.453388601146,0.91631302352425,0.00205179240807661,0.0182929707475258,2,0.000285405926319744,0.603263080424933,0.00474230159591742,210.868073186422,0.110487678438563,0.0732541956610725,2,2,1.39703643061809,2920.05363778241,9919,13321.1657142857,1201.62139552804,16787,4662408,-0.00459476784776034
"6",0.6,"ER","1","1",350,36546,1,350,180,234,208.834285714286,180,176.987469074381,0.914699401249782,0.00204496581596524,0.0176023371029933,2,0.000284818205343338,0.598191451501578,0.00477993278847315,209.207962591338,0.108575248289985,0.0721080638559149,2,2,1.40162095783872,2924.75562332793,9608,13005.0171428571,1104.90804489374,16361,4551756,-0.00397468788768173
"7",0.6,"ER","1","1",350,36755,1,350,182,236,210.028571428571,182,179.219721635222,0.917016579013945,0.00204994582780032,0.0178184610265065,2,0.000292815595345114,0.601689064738386,0.00475320918730247,210.384176373167,0.110767622556604,0.0744167007777323,2,2,1.39819893573475,2921.56865443863,9804,13230.24,1089.99404567128,16732,4630584,-0.00653933448109887
"8",0.6,"ER","1","1",350,36398,1,350,183,236,207.988571428571,183,179.104007958468,0.915127564206678,0.0020415403346896,0.0152635051664187,2,0.000340531657747852,0.596082204460004,0.00479797184308564,208.421398187466,0.11878318589427,0.080261972984036,2,2,1.40404420794106,2926.72111075116,9880,12858.1028571429,1170.57447055251,16486,4500336,-0.0103344758284336
"9",0.6,"ER","1","1",350,36499,1,350,183,237,208.565714285714,183,178.577935230511,0.917019157169715,0.00204387249050307,0.0144856512952215,2,0.000335815871435629,0.597565141733672,0.00478565623825969,208.957758395879,0.121262480157291,0.0814735980352026,2,2,1.40239050347933,2925.62745204797,9947,12959.0657142857,1126.50336543904,16750,4535673,-0.00247312912942637
"10",0.6,"ER","1","1",350,36811,1,350,181,235,210.348571428571,181,177.968830389414,0.916718708079972,0.00205142833493674,0.0141451016172712,2,0.000301715916226659,0.603034173789605,0.00474428186411091,210.780056632955,0.103505467454223,0.0706344658207122,2,2,1.39728203029063,2922.33617869446,9944,13305.06,1206.20978723891,16484,4656771,-0.00320533041415473
"11",0.6,"ER","1","1",350,36448,1,350,172,233,208.274285714286,172,169.836831124663,0.915412260938493,0.00204268464955136,0.0170469594016968,2,0.000306241170546847,0.596834139706535,0.00479194049841956,208.683726421439,0.104329487664638,0.0708473188702415,2,2,1.40322554236594,2923.84170759644,8804,12908.1514285714,1139.11671277053,16084,4517853,-0.0044829180049616
"12",0.6,"ER","1","1",350,36527,1,350,182,236,208.725714285714,182,178.585522514377,0.917274260424352,0.00204460658622364,0.0145135168159145,2,0.000344574569527179,0.598149545705277,0.00478119029229388,209.152938675492,0.113397022524389,0.0781498158002456,2,2,1.40193205075727,2921.8373511349,9867,12993.8828571429,1180.81507253333,16479,4547859,-0.00272705445060653
"13",0.6,"ER","1","1",350,36644,1,350,186,239,209.394285714286,186,181.414424498954,0.915909132386352,0.00204738596357107,0.016587937052536,2,0.000364495624990989,0.600079669726118,0.0047663127585574,209.805787126455,0.123313872990368,0.0848301268931641,2,2,1.4000163733115,2922.61536278989,10289,13118.7514285714,1165.81817424464,16990,4591563,-0.0091569905939977
"14",0.6,"ER","1","1",350,36583,1,350,179,236,209.045714285714,179,176.19440663855,0.916703039236576,0.00204590081882724,0.0139782308898523,2,0.000302454102807727,0.599128917141958,0.00477447154484392,209.447263557352,0.116020234623998,0.0772329103561195,2,2,1.40101514531314,2920.90160955967,9558,13053.6171428571,1145.65123519938,16677,4568766,-0.00556528590536383
"15",0.6,"ER","1","1",350,36716,1,350,187,237,209.805714285714,187,183.332206575824,0.917288877769342,0.0020489567978058,0.0145581503918607,2,0.000309966000667224,0.60077569554998,0.00475890684621414,210.132291367614,0.116358966840953,0.0779205894392141,2,2,1.39883749488334,2923.08855849018,10404,13180.2085714286,1046.21940175211,16818,4613073,-0.00418698407723883
"16",0.6,"ER","1","1",350,36716,1,350,184,233,209.805714285714,184,180.157180392511,0.9164468335007,0.00204918844891012,0.0103036582393716,2,0.0002769913827049,0.601327713686975,0.00475602848035025,210.25946420034,0.100088004174425,0.0664592713876381,2,2,1.39883749488334,2917.75761931585,10046,13200.4885714286,1227.90477246467,16221,4620171,-0.00868395687520225
"17",0.6,"ER","1","1",350,36651,1,350,189,239,209.434285714286,189,184.067506918795,0.917836565022148,0.00204745593150418,0.0117320101710048,2,0.000364192481701342,0.599909676422841,0.00476661260629426,209.792589118636,0.123363831650846,0.0847155137126484,2,2,1.39990176013099,2927.96258151914,10762,13116.5742857143,1092.35457362668,16967,4590801,-0.0040784487460051
"18",0.6,"ER","1","1",350,36620,1,350,183,234,209.257142857143,183,179.669935107886,0.916466296914532,0.002046812428411,0.0196624688558985,2,0.000304566307450047,0.599752512951456,0.00476937118082871,209.671246394004,0.10454925396757,0.0708964388047483,2,2,1.40040933278756,2920.54711086936,10032,13094.5028571429,1164.23008426323,16268,4583076,-0.00651876286597234
