"","nei","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"11",11,"LAT","1","1",225,15950,1,225,77,200,141.777777777778,77,64.4664042877362,0.56800081802052,0.00328104562313885,0.147568960603768,3,0.00256443674955388,0.757178670261108,0.00673117585906206,148.562453416474,0.290771295511688,0.259920634920635,2.37333333333333,2,1.37706349206349,806.713278681923,2590,7909.30666666667,2801.22884055246,13626,1779594,0.031378819844352
"12",12,"LAT","1","1",225,17602,1,225,90,212,156.462222222222,90,79.6926691394496,0.63674512795215,0.00346146880801465,0.111453256537083,3,0.00191914389089738,0.789945027401693,0.00616598276182586,162.180148506267,0.252715820424702,0.247936507936508,2.17777777777778,2,1.30428571428571,795.911885764535,3557,9959.22666666667,3196.79351169708,16230,2240826,0.00124549004181408
"13",13,"LAT","1","1",225,19110,1,225,104,220,169.866666666667,104,95.7217238500409,0.699564310675655,0.0036309076427631,0.0922713771738217,3,0.00137599741214923,0.822791241295209,0.00573404158767672,174.397060905373,0.213977083604593,0.223809523809524,2.05333333333333,2,1.24206349206349,774.153569300591,4768,12120.8266666667,3431.83699912619,18474,2727186,-0.0156788448927249
"14",14,"LAT","1","1",225,20440,1,225,119,224,181.688888888889,119,112.3103367522,0.754180729239533,0.00378778738820946,0.0717646177442642,2,0.000905010583136531,0.854828150572831,0.00540301528178833,185.081838167412,0.17452090507887,0.188888888888889,1.99555555555556,1,1.18888888888889,763.961462927823,6265,14299.4133333333,3482.37804791086,20216,3217368,-0.0217798978280266
"15",15,"LAT","1","1",225,21560,1,225,133,224,191.644444444444,133,127.660829493746,0.798741230545385,0.00392853459043972,0.0578675853036442,2,0.000488528408874723,0.884484010650601,0.00515190698700709,194.102883169661,0.134067788476855,0.144444444444444,1.97777777777778,1,1.14444444444444,729.074391878497,7945,16369.92,3373.44735354546,21336,3683232,-0.0236662552033303
"16",16,"LAT","1","1",225,22470,1,225,146,224,199.733333333333,146,141.434249724646,0.834657304976625,0.00405028870041654,0.0351460959962639,2,0.00026924531443021,0.910665680657229,0.00496318888834012,201.483365331767,0.100971455911357,0.108333333333333,1.94222222222222,1,1.10833333333333,692.367277119797,9760,18236.4,3148.55178727345,22246,4103190,-0.0262864036507936
"17",17,"LAT","1","1",225,23198,1,225,158,224,206.204444444444,158,153.943821573235,0.864447587678456,0.00415293251387171,0.0277936889550391,2,0.000148576184144536,0.932856121513202,0.00482117610695095,207.418268450772,0.074357540579497,0.0794444444444444,1.88888888888889,1,1.07944444444444,655.676954074616,11654,19856.1866666667,2837.04937907075,22974,4467642,-0.0299003397842198
"18",18,"LAT","1","1",225,23770,1,225,169,224,211.288888888889,169,165.322609962388,0.889667312609291,0.00423710636981321,0.0119870289687191,2,8.13064767319419e-05,0.951053791929298,0.00471473485217776,212.101004903403,0.0533587224062644,0.0567460317460317,1.81777777777778,1,1.05674603174603,620.480953113438,13573,21212.5066666667,2466.90518796904,23546,4772814,-0.0339842857281954
"19",19,"LAT","1","1",225,24210,1,225,179,224,215.2,179,175.643610581335,0.911299768822666,0.00430411806984733,0.0059441780332868,2,4.35815442809566e-05,0.965489714815513,0.00463568615940186,215.717795729517,0.0371399294640501,0.0392857142857143,1.72888888888889,1,1.03928571428571,587.605497360339,15458,22308.1333333333,2065.90637320696,23986,5019330,-0.0373976847858811
"20",20,"LAT","1","1",225,24540,1,225,188,224,218.133333333333,188,184.95307975016,0.929967240359524,0.00435578596562369,0.00242400262631943,2,2.249795919969e-05,0.976576419907907,0.0045778448884189,218.443399541521,0.024917490845199,0.0261904761904762,1.62222222222222,1,1.02619047619048,557.564559469746,17250,23161.4933333333,1659.87188382546,24316,5211336,-0.038832495310166
