"","nei","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,"LAT","1","1",289,544,1,289,2,4,3.76470588235294,2,0.0340538006321942,0.00931878352386363,0.000313859577650361,0.724808742430796,32,0.0443682556215946,0,0.253856652971436,3.93923101204883,0.551755764307107,0.000816993464052288,24.4705882352941,16,11.3333333333333,454.58438257544,0,0,0,0,0,0.615147732001663
"2",2,"LAT","1","1",289,1566,1,289,5,12,10.8373702422145,5,0.232805703640249,0.0225921937733347,0.000599896212489669,0.631136140103639,16,0.0223095170528946,0.471812334468407,0.0862579508739763,11.5931341965335,0.535875775859894,0.00403690888119954,12.4844290657439,8,5.91753171856978,707.917409844041,7,25.8892733564014,6.41624910638262,30,7482,0.596634885025243
"3",3,"LAT","1","1",289,3002,1,289,9,24,20.7750865051903,9,0.841925443678498,0.043540272724808,0.000861622102353664,0.570522161330599,11,0.0146869079928852,0.52908560311284,0.04431563643982,22.5653985892313,0.517419561816053,0.0111976163014225,8.49134948096886,6,4.11274509803922,808.781138210121,28,112.920415224913,31.7520323906691,138,32634,0.578454428566001
"4",4,"LAT","1","1",289,4790,1,289,14,40,33.1487889273356,14,2.19628401897942,0.0727450293291632,0.00110202168747952,0.517388021321386,8,0.0112939328895087,0.570215666831929,0.027512043608865,36.3477179019074,0.497879603030252,0.0237889273356401,6.49134948096886,4,3.21049596309112,904.772420032967,75,318.373702422145,100.266790643942,414,92010,0.549527399226417
"5",5,"LAT","1","1",289,6870,1,289,20,60,47.5432525951557,20,4.68193222116344,0.110483624885847,0.00132343397703605,0.478508249482487,7,0.00854716961160483,0.59062816646026,0.0190944650486718,52.3711974884343,0.477707158592006,0.0432525951557093,5.28719723183391,4,2.66974240676663,958.830309176718,160,689.792387543253,235.944611138256,954,199350,0.510247924797385
"6",6,"LAT","1","1",289,9184,1,289,27,84,63.5570934256055,27,8.68629519772062,0.156580286613244,0.00152803624912026,0.430025104019337,6,0.00651919105098169,0.61174472772334,0.0142758417185366,70.0484090336714,0.456743203427397,0.0709823144944252,4.49480968858131,3,2.30940023068051,1009.0856891132,301,1291.39100346021,471.668951763491,1908,373212,0.458439462639831
"7",7,"LAT","1","1",289,11676,1,289,35,112,80.80276816609,35,14.5406817301475,0.210286369838944,0.00171743868441662,0.376932483524266,5,0.00603912038938419,0.629355597062991,0.0112604806454099,88.8061559261798,0.436372231267112,0.108323721645521,3.92733564013841,3,2.05267204921184,1036.06545554229,515,2163.90311418685,828.520705851695,3420,625368,0.390843604195623
"8",8,"LAT","1","1",289,14292,1,289,44,144,98.9065743944637,44,22.4671273910913,0.270270443696572,0.00189441579111415,0.347970937357951,4,0.00604485981731234,0.649008216715881,0.00924983477253617,108.110039215956,0.41852728906238,0.156574394463668,3.49480968858131,2,1.85870818915802,1063.88413978247,826,3358.42214532872,1326.89587176533,5700,970584,0.310081290733678
"9",9,"LAT","1","1",289,16980,1,289,54,176,117.508650519031,54,32.5260012323707,0.334604837554632,0.00205770861641687,0.284531399789956,4,0.00488282592502454,0.669116172034383,0.00784440765291807,127.479351436817,0.397743290608051,0.203094963475586,3.16262975778547,2,1.70972702806613,1069.43903733469,1256,4893.63321799308,1959.10514322894,8748,1414260,0.227926507291554
"10",10,"LAT","1","1",289,19690,1,289,65,204,136.262975778547,65,44.5942850851202,0.40101052848843,0.00220822755407202,0.225710252179478,4,0.00373008877343072,0.691968934749578,0.00682608901574434,146.496771093009,0.370578923036139,0.235198000768935,2.89965397923875,2,1.5927047289504,1075.60714515645,1835,6791.85467128028,2699.88107113085,12358,1962846,0.15597250680605
"11",11,"LAT","1","1",289,22374,1,289,77,228,154.837370242215,77,58.4449238816526,0.467547809387169,0.00234935614570798,0.184093567123194,3,0.00289242615547528,0.716543908882177,0.00606715373571091,164.821931924035,0.340163325491242,0.2540369088812,2.70588235294118,2,1.49673202614379,1083.39228818006,2590,9038.34602076125,3490.22461341332,16322,2612082,0.0976516077874763
"12",12,"LAT","1","1",289,24986,1,289,90,248,172.913494809689,90,73.7988285819846,0.532751233397913,0.00248327153759539,0.141165207162613,3,0.00227022174620974,0.743359292649958,0.00548876046032178,182.190497695972,0.30799551883977,0.260717031910804,2.49826989619377,2,1.41546520569012,1083.21055047363,3557,11615.3979238754,4260.73661440798,20414,3356850,0.0523959981839746
"13",13,"LAT","1","1",289,27482,1,289,104,264,190.186851211073,104,90.3643798430041,0.595452896220303,0.0026106227017003,0.130294890877917,3,0.00177516291310605,0.771340619735272,0.00504030322142912,198.40076203123,0.274843141871516,0.256295655517109,2.29065743944637,2,1.34568435217224,1069.78466817129,4768,14467.3287197232,4931.79746284099,24382,4181058,0.0190212479643765
"14",14,"LAT","1","1",289,29820,1,289,119,276,206.36678200692,119,107.860205846034,0.654474654412529,0.00273159946645607,0.0889059350513994,3,0.00135995784501568,0.800232517363771,0.00468830029202355,213.296917371388,0.241072656523628,0.241782006920415,2.13840830449827,2,1.28513071895425,1051.79356186374,6265,17529.5501730104,5433.19089713686,28020,5066040,-0.00345981417765108
"15",15,"LAT","1","1",289,31960,1,289,135,284,221.176470588235,135,126.034200836497,0.708406980714123,0.00284585847788084,0.0714304523136712,3,0.000999734937100224,0.828986803698257,0.00441009666322278,226.752399406417,0.206794426642555,0.218137254901961,2.04152249134948,2,1.23226643598616,1021.8415540521,8085,20701.785467128,5713.96496371772,31136,5982816,-0.0160218659762331
"16",16,"LAT","1","1",289,33864,1,289,152,288,234.352941176471,152,144.68332950581,0.755667967335247,0.00295231944410617,0.0726769059639288,2,0.000681163010420631,0.856938423836242,0.00419017207985987,238.653683176048,0.171938386146174,0.186274509803922,1.99653979238754,1,1.18627450980392,1006.98740879301,10276,23870.1176470588,5756.98106408404,33576,6898464,-0.0206763667206585
"17",17,"LAT","1","1",289,35496,1,289,168,288,245.647058823529,168,162.063138739257,0.795047854828697,0.0030488956530339,0.0382061161878195,2,0.000395322067424832,0.883003092429275,0.00401794091370243,248.883699755187,0.136293729076004,0.147058823529412,1.98269896193772,1,1.14705882352941,965.421500812438,12704,26889.8823529412,5597.69686766104,35208,7771176,-0.0223402586087336
"18",18,"LAT","1","1",289,36856,1,289,183,288,255.058823529412,183,177.869240265941,0.827543107780503,0.00313399694470913,0.0466103972828694,2,0.000233524366282416,0.906415116692335,0.00388406370483081,257.462306490043,0.106403113275113,0.11437908496732,1.95501730103806,1,1.11437908496732,921.490608142819,15315,29651.1280276817,5287.13148054593,36568,8569176,-0.0245334800544799
"19",19,"LAT","1","1",289,37976,1,289,197,288,262.809688581315,197,192.401648752868,0.854984902656633,0.00320751199193447,0.0339100210153461,2,0.000138328502533574,0.926770325493191,0.00377984430149192,264.561161846084,0.0816684256234016,0.0874663590926567,1.91349480968858,1,1.08746635909266,877.259476333721,18046,32101.9515570934,4858.77671337374,37688,9277464,-0.0275047472782984
"20",20,"LAT","1","1",289,38886,1,289,210,288,269.107266435986,210,205.78824211698,0.878564129640394,0.00326969069722949,0.0174795562457754,2,8.16073090685514e-05,0.944013674824645,0.0036988867577209,270.351612660929,0.0614926388120965,0.0655997693194925,1.85813148788927,1,1.06559976931949,834.296821295423,20837,34217.4186851211,4344.44722635301,38598,9888834,-0.0310222386129547
