"","X","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,0.1,"Spatial",1,1,50,42,0,8,0,4,1.68,0,-5.59724149582775e-16,-7.09507177227721e-16,-1,0.8718820861678,5,0.0107420519228099,0.403846153846154,0.373271612286906,2.67901433455747,0.944589376967202,0.0473469387755102,2.3,0,1.8804347826087,52.570054910693,0,0.42,0.64174506986332,2,21,-0.072992700729927
"2",2,0.1,"Spatial",1,1,50,46,0,15,0,4,1.84,0,-1.32009038409421e-15,-4.65292330584279e-16,-1,0.821833648393195,10,0.0351589615438012,0.4,0.314154268267436,3.18314949376627,0.941200611429165,0.0440816326530612,4.4,0,3.30434782608696,57.6677069904015,0,0.48,0.8628382211738,3,24,0.412408759124088
"3",3,0.1,"Spatial",1,1,50,34,0,11,0,4,1.36,0,-1.67207951006232e-15,-8.9602923999152e-16,-1,0.803200692041522,6,0.0194536998472859,0.315789473684211,0.336628398579951,2.97063469457256,0.92683535703992,0.0538775510204082,2.32,0,2.3298969072165,46.9497788869178,0,0.24,0.555492059863531,2,12,0.449744463373083
"4",4,0.1,"Spatial",1,1,50,47,0,12,0,5,1.88,0,-1.37312491321136e-15,-7.16160239310594e-16,-1,0.831824354911725,8,0.02302859919478,0.6,0.255786206144593,3.90951496201758,0.931306125065092,0.0636734693877551,2.72,0,2.47863247863248,55.2749489636275,0,0.96,1.52476160732872,6,48,0.498666666666667
"5",5,0.1,"Spatial",1,1,50,41,0,12,0,4,1.64,0,-2.41877185834303e-15,-5.51771652267262e-16,-1,0.805175490779298,6,0.0182562821046786,0.545454545454545,0.286609612496502,3.48906650858476,0.922770978666657,0.0481632653061225,2.34,0,2.34545454545455,48.5484309268628,0,0.72,1.2942573317607,4,36,0.598039215686274
"6",6,0.1,"Spatial",1,1,50,57,0,24,0,6,2.28,0,-1.47094348360065e-15,-6.04671499516518e-16,-1,0.740073868882733,10,0.108600583090379,0.615894039735099,0.213414369387357,4.68572009874815,0.853272275762712,0.0759183673469388,4.6,0,4.11920529801325,56.0202497130932,0,1.86,2.77753377613145,8,93,0.567322050771528
"7",7,0.1,"Spatial",1,1,50,51,0,12,0,6,2.04,0,-1.53677137535873e-15,-4.31912522449488e-16,-1,0.80238369857747,6,0.0331806191864501,0.57,0.274291885177432,3.64575131106459,0.944880181019488,0.0808163265306122,2.58,0,2.27027027027027,56.5895281284521,0,1.14,1.41435786251758,6,57,0.178661298439859
"8",8,0.1,"Spatial",1,1,50,39,0,12,0,3,1.56,0,-1.03789924907574e-15,-5.94370036411489e-16,-1,0.847797501643655,10,0.0208940719144801,0.171428571428571,0.451605962955777,2.21431974337754,0.96936418746722,0.0293877551020408,3.9,0,3.17647058823529,54.1087093050402,0,0.12,0.328260722659316,1,6,-0.0263157894736844
"9",9,0.1,"Spatial",1,1,50,43,0,17,0,5,1.72,0,-9.16928724567706e-16,-5.44940980499844e-17,-1,0.827203893996755,13,0.0452936276551437,0.436363636363636,0.29379948920481,3.40368188762538,0.949923294007805,0.0669387755102041,4.46,0,4.33333333333333,55.2782722915317,0,0.48,0.994679724887383,4,24,0.350520833333333
"10",10,0.1,"Spatial",1,1,50,38,0,6,0,4,1.52,0,-2.30166283460358e-15,-7.10857351370406e-16,-1,0.875346260387812,4,0.00468554768846314,0.66,0.322944508362098,3.09650721441828,0.953897001635535,0.0506122448979592,1.48,0,1.49180327868852,46.9657668130479,0,0.66,1.09935045757549,3,33,0.254901960784313
