"","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1","sbm","1","1",300,18699,1,300,24,197,124.66,24,22.9339870486594,0.635981934162302,0.00215835205750293,0.06962776175659,3,0.00354510397272755,0.808107430003286,0.00584762968878201,171.009460793727,0.37179420034521,0.241939799331104,2.23666666666667,2,1.58448160535117,1479.47428787096,107,8320.53,6593.79648934585,14782,2496159,0.32371840467842
"2","sbm","1","1",300,23093,1,300,133,176,153.953333333333,133,46.0954245113886,0.30748376280845,0.00225307981799093,0.323262976531033,2,0.000819666364552378,0.679477837329933,0.00643827778381965,155.321039814894,0.186764766559591,0.0737346711259755,2,2,1.48510590858417,1795.8433800512,6632,8031.65,724.705121095336,10052,2409495,0.420189287083363
"3","sbm","1","1",300,5054,1,300,13,63,33.6933333333333,13,12.5061589804304,0.692218734188097,0.00174762318985783,0.0193882327295756,3,0.00830316507089632,0.0961903679776649,0.0274310458010798,36.4550446691549,0.424356078596713,0.098015607580825,2.98,2,1.91491638795987,1351.69191920272,8,59.26,35.9206539184133,196,17778,-0.486436645113037
"4","sbm","1","1",300,18061,1,300,89,149,120.406666666667,89,58.5378729938432,0.474915814455453,0.00209608418323567,0.256502727051689,2,0.00109568557065134,0.488242015586727,0.0080551124098364,124.144760385822,0.286319025021551,0.0956298773690078,2,2,1.59730211817168,2066.86242377043,1545,3569.29,1527.53185820332,6274,1070787,0.411533851588184
"5","sbm","1","1",300,7012,1,300,28,64,46.7466666666667,28,26.7195881635338,0.74261985167282,0.00181237683642782,0.0161681819838471,3,0.00246766111694971,0.134091582940301,0.0209986663774501,47.6220718985218,0.27131758150208,0.0577034559643255,2.35666666666667,2,1.84566332218506,1613.70603656881,37,146.23,46.2250974266904,270,43869,-0.0831902423249409
"6","sbm","1","1",300,22156,1,300,118,176,147.706666666667,118,69.6257654655263,0.490808609492197,0.00222251478422606,0.233780652510758,2,0.000740964921278031,0.560772221903239,0.00669046769956625,149.466381859198,0.191927288435649,0.0946265328874025,2,2,1.5059977703456,2114.53145524352,3815,6120.44,1176.99813157844,8462,1836132,0.334282763186653
"7","sbm","1","1",300,13227,1,300,66,118,88.18,66,31.3531171043361,0.347535025161547,0.00196245447835331,0.319152541930149,2,0.00151000823240598,0.397712221245195,0.0109514617915957,91.3120110383268,0.38295229639607,0.0997324414715719,2,2,1.70508361204013,1930.48568640128,639,1554.38,700.329957303691,3396,466314,0.410783109387174
"8","sbm","1","1",300,21096,1,300,123,161,140.64,123,118.765246621677,0.898633479500957,0.00218703072840346,0,2,0.000639146167856842,0.399154297251212,0.00709102591421761,141.023317654923,0.125768276425949,0.0680936454849498,2,2,1.52963210702341,2096.49168921218,2754,3930.33,582.458250129409,5635,1179099,-0.0105930354531016
"9","sbm","1","1",300,10724,0,292,0,133,71.4933333333333,0,-6.37264134654763e-14,-1.6617453420528e-15,-1,0.0284911436607311,10,0.132493231851964,0.655336630316629,0.00849602979242168,117.702035472143,0.474455808035106,0.205707915273133,7.99333333333333,0,3.41064325558406,1247.24597770001,0,2694.86,2238.59958472608,5784,808458,0.796523404893852
"10","sbm","1","1",300,17512,1,300,18,190,116.746666666667,18,16.9984132722425,0.794822236698248,0.00211614094097855,0.0169260885076572,3,0.0040647349772999,0.795195512727555,0.00602844787148179,165.880177007187,0.387742834373967,0.244994425863991,2.4,2,1.620624303233,1435.51416255236,59,7585.59,6058.12045936973,14013,2275677,0.121671014042077
"11","sbm","1","1",300,9804,1,300,21,123,65.36,21,16.8061643108018,0.295615579651353,0.0018845907883713,0.298372374342915,3,0.00378769693586365,0.635628309610546,0.00976650652643208,102.390757359717,0.584977742872674,0.192775919732441,2.39666666666667,2,1.78459308807135,1466.22560710155,30,1805.32,2116.25702367036,5241,541596,0.672464294712123
"12","sbm","1","1",300,16095,1,300,72,142,107.3,72,63.1668854435095,0.578169746367576,0.00203968416719787,0.203606440904381,2,0.00116912254260181,0.404181666651361,0.00907056690403541,110.246692470248,0.296824079811376,0.116053511705686,2,2,1.64113712374582,2114.66386504103,885,2347.25,928.215816953584,4411,704175,0.300280127307125
"13","sbm","1","1",300,21224,1,300,119,176,141.493333333333,119,115.080793067493,0.901603395789734,0.00219221780200119,0,2,0.00113125816366712,0.370148634948162,0.00702544474700382,142.339743035696,0.180235716017451,0.115406911928651,2,2,1.52677814938685,2001.18259213986,2628,3708.17,539.208754909671,5694,1112451,-0.38067245355033
"14","sbm","1","1",300,12661,1,300,59,113,84.4066666666667,59,57.4273864118119,0.84552852418879,0.00194777037417266,0.000302169193400956,3,0.00153155606041363,0.136072773776797,0.0117226703734599,85.3047955919665,0.21862211097299,0.0956298773690078,2.01333333333333,2,1.7177480490524,1846.92207454877,279,485.9,127.310052620866,983,145770,-0.459434963455337
