"","radius","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.6,"Spatial","1","1",25,175,1,25,6,22,14,6,4.89260627974479,0.524019930783708,0.0295953638916336,0.153338775510204,3,0.0607375206500397,0.728937728937729,0.066509696882909,15.0354015559642,0.35981446765328,0.333333333333333,2.24,2,1.43,56.0601041439746,13,71.64,31.7107762966051,138,1791,-0.0400371529135684
"2",0.6,"Spatial","1","1",25,217,1,25,8,24,17.36,8,6.07566752201015,0.551614874235795,0.0333162455086554,0.0657372210070292,2,0.0425356082625104,0.842838370565046,0.053993727543171,18.5206698167013,0.238231747099943,0.276666666666667,1.96,1,1.27666666666667,55.3863795215075,28,128.28,51.8784798029652,193,3207,-0.0840217364817089
"3",0.6,"Spatial","1","1",25,192,1,25,5,24,15.36,5,4.61628357852035,0.542189871179541,0.0311476598527639,0.142890082465278,2,0.0811196150870064,0.773382500838082,0.0605163521544516,16.5244593303934,0.325023507374202,0.36,1.96,1,1.36,56.5084138851723,10,92.28,40.3211276297344,168,2307,-0.0501161001751509
"4",0.6,"Spatial","1","1",25,182,1,25,10,23,14.56,10,5.89068668895657,0.491896229272073,0.0301106148198101,0.152864992150706,3,0.0720255350473907,0.730315709395207,0.0648927651406108,15.4100383584084,0.354733798942862,0.351666666666667,2.16,2,1.40333333333333,56.3644328139685,35,76.8,30.8679985313809,149,1920,-0.0579626164371322
"5",0.6,"Spatial","1","1",25,193,1,25,9,22,15.44,9,6.11866934946676,0.496852186291931,0.0309827528921904,0.177669199173132,3,0.04311535929516,0.765398855604174,0.0611022664163711,16.3660050379419,0.292483446488145,0.273333333333333,2.2,2,1.36666666666667,56.5817729620686,31,90.96,36.8662899317701,152,2274,-0.0424760455316783
"6",0.6,"Spatial","1","1",25,205,1,25,7,23,16.4,7,6.41753534299391,0.611732259783687,0.0321464669995163,0.0920761451516954,3,0.0265831924652978,0.793571217929814,0.0572461998680884,17.4684084236908,0.269924052474844,0.275,2.12,2,1.32333333333333,56.0535764685226,19,107.64,45.802911115634,175,2691,-0.102483890574008
"7",0.6,"Spatial","1","1",25,191,1,25,7,23,15.28,7,5.72750582577697,0.4980694539449,0.0310626372836847,0.124009758504427,3,0.0487149139775951,0.769569637411047,0.0611828558808332,16.3444478948108,0.320274626128561,0.321666666666667,2.08,2,1.36666666666667,56.3627220583519,17,90.84,39.0092724019987,161,2271,-0.129461395195759
"8",0.6,"Spatial","1","1",25,174,1,25,6,21,13.92,6,4.10940741178956,0.509607848728789,0.0294279808289772,0.0971561632976615,3,0.0621925572484421,0.757154213036566,0.0645885517797997,15.4826199449289,0.319872719702435,0.295,2.36,2,1.45,54.8204681905204,15,76.2,39.2640632979658,131,1905,-0.0152073544433108
"9",0.6,"Spatial","1","1",25,198,1,25,6,24,15.84,6,4.10301426481822,0.476781115883278,0.0317447572611558,0.112322722171207,2,0.0994144607991981,0.82367524016114,0.0575984563521908,17.3615763916556,0.288627113406281,0.34,1.96,1,1.34,54.7835918417971,15,106.32,48.9120980262893,174,2658,-0.00412564074960678
"10",0.6,"Spatial","1","1",25,209,1,25,9,22,16.72,9,6.94527193545597,0.635221730829458,0.0324969089741059,0.0975595796799524,2,0.0307948025622392,0.803142857142857,0.0564029103757091,17.7295815648312,0.237019662582064,0.22,2,2,1.30333333333333,56.8133054476241,33,112.44,44.5141176107835,170,2811,-0.0629239963261706
"11",0.6,"Spatial","1","1",25,180,1,25,4,20,14.4,4,3.0354280675741,0.460791152947083,0.0301006933543831,0.0826697530864197,3,0.106937075856913,0.781587774878867,0.0624560058183267,16.0112704438516,0.294017059915051,0.233333333333333,2.2,2,1.41333333333333,54.9661196898982,6,83.88,42.2614087160694,135,2097,0.0438976959284494
"12",0.6,"Spatial","1","1",25,177,1,25,4,22,14.16,4,3.30529240128786,0.51654217472571,0.0300332922989658,0.121437007245683,3,0.0796335459199384,0.772796352583587,0.0629595077130639,15.8832245728075,0.3244960920385,0.326666666666667,2.16,2,1.42,54.4288421742298,6,81.36,42.7803303711725,142,2034,-0.053980748911636
"13",0.6,"Spatial","1","1",25,170,1,25,6,22,13.6,6,5.11333886777284,0.508739856025611,0.0294456820349591,0.145951557093426,3,0.0852130353375824,0.7206132879046,0.0677277356941533,14.7649997412556,0.353237222723219,0.35,2.08,2,1.43666666666667,56.1928738377691,15,67.68,31.7197625043652,128,1692,-0.0801751659338591
"14",0.6,"Spatial","1","1",25,175,1,25,8,23,14,8,5.76446744132984,0.502235548533838,0.0298045736837007,0.11265306122449,3,0.0804362203818726,0.723928860145513,0.0664678717844166,15.0448626254113,0.3686003344625,0.375,2.08,2,1.42,56.686802482374,25,71.64,32.4767609222348,142,1791,-0.108584092568951
"15",0.6,"Spatial","1","1",25,176,1,25,8,20,14.08,8,4.17340476753746,0.377781032363796,0.0296218478548148,0.21771694214876,3,0.0703038085557763,0.754251012145749,0.0661899984743189,15.1080227081134,0.326941382161083,0.246666666666667,2.2,2,1.42666666666667,54.8452320206563,27,74.52,30.9194113786146,127,1863,-0.00448394667198942
