"","X","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,0.1,"Spatial",1,1,300,1211,1,300,2,15,8.07333333333333,2,0.041816664975407,0.00519639925903539,0.000430626120472766,0.810175919744757,19,0.135713732754549,0.575171553337492,0.0936410518837243,10.6790769633997,0.943979677676802,0.0231661092530658,14.9633333333333,11,7.93054626532887,618.983220765611,0,18.44,11.6225360606713,50,5532,0.448625443237196
"2",2,0.1,"Spatial",1,1,300,1176,1,300,1,16,7.84,1,0.0258184432465656,0.00486802157574373,0.000415683477688297,0.809175285760563,24,0.116780947270532,0.59740680713128,0.0906384809399719,11.0328415660704,0.933698744124949,0.0272909698996656,18.4766666666667,13,8.31730211817168,603.397746118099,0,18.43,12.6482552632374,57,5529,0.469861327841009
"3",3,0.1,"Spatial",1,1,300,1272,1,300,1,18,8.48,1,0.0288082642669391,0.00404004220683294,0.000427427616280318,0.802689952434635,22,0.165335852356332,0.631771468385299,0.069471067706214,14.3944815160881,0.943112362803162,0.0318394648829431,16.31,11,8.14733556298774,607.039642862928,0,24.18,21.6973928430881,108,7254,0.690590081951658
"4",4,0.1,"Spatial",1,1,300,1185,1,300,1,14,7.9,1,0.029460844229821,0.00367214785347312,0.000395801832624381,0.825068276095355,20,0.169265569081553,0.616482112436116,0.0911576532652309,10.9700059641774,0.934468439617928,0.0204013377926421,16.3233333333333,11,8.69128205128205,601.844920445466,0,19.3,13.398821892004,56,5790,0.498353140390911
"5",5,0.1,"Spatial",1,1,300,1219,1,300,1,19,8.12666666666667,1,0.0310536560022995,0.00428695512594289,0.000414861767198614,0.769786017264248,22,0.149826645614201,0.574207352655125,0.0806086853252892,12.4056110822871,0.924598704397847,0.0363656633221851,16.6633333333333,12,8.28160535117057,614.215779863483,0,19.68,15.6687363134001,78,5904,0.603961667551742
"6",6,0.1,"Spatial",1,1,300,1149,1,300,1,14,7.66,1,0.0490465616764613,0.0063816522782677,0.00043181352826507,0.802111572404505,21,0.111278715289022,0.581959600650104,0.092714320939134,10.7858202473002,0.918374313713043,0.0212040133779264,15.5866666666667,11,7.95973244147157,606.716927872348,0,16.71,11.0043728006546,55,5013,0.472541477651758
"7",7,0.1,"Spatial",1,1,300,1216,1,300,1,15,8.10666666666667,1,0.0251605110801444,0.00314606621849558,0.00042518350813907,0.800011632184903,18,0.272598719883126,0.615547489413188,0.0848366648908555,11.787356342762,0.938179314607897,0.0230546265328874,14.69,10,8.03277591973244,608.104409631488,0,20.35,14.4498035537676,65,6105,0.614783925726313
"8",8,0.1,"Spatial",1,1,300,1194,1,300,1,15,7.96,1,0.0362942131725565,0.00498669739265623,0.000422850568765697,0.814830363430778,21,0.113605775739932,0.598237700618903,0.089391567965588,11.1867374379758,0.95286291143794,0.0235451505016722,15.7633333333333,11,8.17884057971015,609.894416854928,0,19.01,13.7805264666847,63,5703,0.530138939901442
"9",9,0.1,"Spatial",1,1,300,1200,1,300,2,16,8,1,0.0243522049536837,0.00321511194700605,0.000405928367453421,0.812900347222222,19,0.194290480740921,0.608708984973934,0.0790290598785233,12.6535732746551,0.936410560691125,0.0267558528428094,15.0366666666667,10,8.43892976588629,604.860123238233,0,19.85,15.9367741161996,72,5955,0.567751620294265
"10",10,0.1,"Spatial",1,1,300,1241,1,300,1,16,8.27333333333333,1,0.0358385978543621,0.00483617818955073,0.000417294094822097,0.80632577117697,20,0.130162767482124,0.614179954441913,0.0797596232609488,12.5376720590606,0.937780711078903,0.0258416945373467,15.6433333333333,10,8.23357859531773,607.955698881752,0,21.57,16.4053513171607,73,6471,0.553252230013761
