"","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.005,"ER","1","1",50,6,0,2,0,1,0.24,0,0,0,-1,0.833333333333333,1,0,NA,1,1,0.985635619421502,0.0155102040816327,0.24,0,1,12,0,0,0,0,0,NA
"2",0.005,"ER","1","1",50,4,0,2,0,1,0.16,0,0,0,-1,0.75,1,0,NA,1,1,0.994912639153552,0.0171428571428571,0.16,0,1,8,0,0,0,0,0,NA
"3",0.005,"ER","1","1",50,4,0,2,0,1,0.16,0,0,0,-1,0.75,1,0,NA,1,1,1,0.0171428571428571,0.16,0,1,8,0,0,0,0,0,NA
"4",0.005,"ER","1","1",50,5,0,4,0,2,0.2,0,0,0,-1,0.56,3,0.00166597251145356,0,0.618033988749895,1.6180339887499,0.974248583802088,0.036734693877551,0.28,0,1.5,8.47213595499958,0,0,0,0,0,0.166666666666667
"5",0.005,"ER","1","1",50,5,0,3,0,2,0.2,0,0,0,-1,0.72,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.036734693877551,0.22,0,1.16666666666667,8.82842712474619,0,0,0,0,0,-0.25
"6",0.005,"ER","1","1",50,7,0,3,0,2,0.28,0,-8.91942369530791e-17,-3.92523114670944e-17,-1,0.816326530612245,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0351020408163265,0.3,0,1.125,12.8284271247462,0,0,0,0,0,-0.166666666666667
"7",0.005,"ER","1","1",50,7,0,3,0,2,0.28,0,0,0,-1,0.775510204081633,2,0.000832986255726781,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0351020408163265,0.32,0,1.22222222222222,11.6568542494924,0,0,0,0,0,-0.4
"8",0.005,"ER","1","1",50,5,0,4,0,2,0.2,0,0,0,-1,0.56,3,0.00166597251145356,0,0.618033988749895,1.6180339887499,0.974248583802088,0.036734693877551,0.28,0,1.5,8.47213595499958,0,0,0,0,0,0.166666666666667
"9",0.005,"ER","1","1",50,5,0,3,0,2,0.2,0,0,0,-1,0.72,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.036734693877551,0.22,0,1.16666666666667,8.82842712474619,0,0,0,0,0,-0.25
"10",0.005,"ER","1","1",50,7,0,3,0,2,0.28,0,0,0,-1,0.816326530612245,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0351020408163265,0.3,0,1.125,12.8284271247462,0,0,0,0,0,-0.166666666666667
"11",0.005,"ER","1","1",50,7,0,3,0,2,0.28,0,0,0,-1,0.816326530612245,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0351020408163265,0.3,0,1.125,12.8284271247462,0,0,0,0,0,-0.166666666666667
"12",0.005,"ER","1","1",50,8,0,3,0,2,0.32,0,0,0,-1,0.78125,1,0,1,0.5,2,0.979166666666667,0.0342857142857143,0.26,0,1,14,0,0.06,0.239897937482095,1,3,1
"13",0.005,"ER","1","1",50,9,0,4,0,2,0.36,0,0,0,-1,0.790123456790123,3,0.00164861863112592,0,0.618033988749895,1.6180339887499,0.974248583802087,0.033469387755102,0.46,0,1.38461538461538,15.3005630797458,0,0,0,0,0,0
"14",0.005,"ER","1","1",50,9,0,3,0,2,0.36,0,-9.88529484049714e-17,-3.89445208701891e-17,-1,0.839506172839506,2,0.000832986255726781,0,0.707106781186547,1.4142135623731,0.941192289666406,0.033469387755102,0.4,0,1.18181818181818,15.6568542494924,0,0,0,0,0,-0.285714285714286
"15",0.005,"ER","1","1",50,4,0,2,0,1,0.16,0,0,0,-1,0.75,1,0,NA,1,1,0.986855456152578,0.0171428571428571,0.16,0,1,8,0,0,0,0,0,NA
"16",0.005,"ER","1","1",50,7,0,3,0,2,0.28,0,0,0,-1,0.816326530612245,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0351020408163265,0.3,0,1.125,12.8284271247462,0,0,0,0,0,-0.166666666666667
"17",0.005,"ER","1","1",50,7,0,3,0,2,0.28,0,0,0,-1,0.816326530612245,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0351020408163265,0.3,0,1.125,12.8284271247462,0,0,0,0,0,-0.166666666666667
"18",0.005,"ER","1","1",50,5,0,2,0,1,0.2,0,0,0,-1,0.8,1,0,NA,1,1,0.980646884845314,0.0163265306122449,0.2,0,1,10,0,0,0,0,0,NA
"19",0.005,"ER","1","1",50,3,0,2,0,1,0.12,0,0,0,-1,0.666666666666667,1,0,NA,1,1,0.919567445459781,0.0179591836734694,0.12,0,1,6,0,0,0,0,0,NA
"20",0.005,"ER","1","1",50,6,0,3,0,2,0.24,0,0,0,-1,0.777777777777778,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0359183673469388,0.26,0,1.14285714285714,10.8284271247462,0,0,0,0,0,-0.2
"21",0.005,"ER","1","1",50,7,0,3,0,2,0.28,0,0,0,-1,0.775510204081633,2,0.000832986255726781,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0351020408163265,0.32,0,1.22222222222222,11.6568542494924,0,0,0,0,0,-0.4
"22",0.005,"ER","1","1",50,5,0,2,0,1,0.2,0,0,0,-1,0.8,1,0,NA,1,1,0.932336270777839,0.0163265306122449,0.2,0,1,10,0,0,0,0,0,NA
"23",0.005,"ER","1","1",50,5,0,3,0,2,0.2,0,0,0,-1,0.64,2,0.000832986255726781,0,0.707106781186547,1.4142135623731,0.991370550783894,0.036734693877551,0.24,0,1.28571428571429,7.65685424949238,0,0,0,0,0,-0.666666666666667
"24",0.005,"ER","1","1",50,5,0,2,0,1,0.2,0,0,0,-1,0.8,1,0,NA,1,1,1,0.0163265306122449,0.2,0,1,10,0,0,0,0,0,NA
"25",0.005,"ER","1","1",50,4,0,2,0,1,0.16,0,0,0,-1,0.75,1,0,NA,1,1,1,0.0171428571428571,0.16,0,1,8,0,0,0,0,0,NA
"26",0.005,"ER","1","1",50,3,0,2,0,1,0.12,0,0,0,-1,0.666666666666667,1,0,NA,1,1,0.940452932023435,0.0179591836734694,0.12,0,1,6,0,0,0,0,0,NA
"27",0.005,"ER","1","1",50,3,0,2,0,1,0.12,0,0,0,-1,0.666666666666667,1,0,NA,1,1,1,0.0179591836734694,0.12,0,1,6,0,0,0,0,0,NA
"28",0.005,"ER","1","1",50,5,0,3,0,2,0.2,0,0,0,-1,0.64,2,0.000832986255726781,0,0.707106781186547,1.4142135623731,0.968927500648366,0.036734693877551,0.24,0,1.28571428571429,7.65685424949238,0,0,0,0,0,-0.666666666666667
"29",0.005,"ER","1","1",50,4,0,2,0,1,0.16,0,0,0,-1,0.75,1,0,NA,1,1,1,0.0171428571428571,0.16,0,1,8,0,0,0,0,0,NA
"30",0.005,"ER","1","1",50,5,0,2,0,1,0.2,0,0,0,-1,0.8,1,0,NA,1,1,0.994620671328056,0.0163265306122449,0.2,0,1,10,0,0,0,0,0,NA
"31",0.005,"ER","1","1",50,5,0,2,0,1,0.2,0,0,0,-1,0.8,1,0,NA,1,1,0.995498056417433,0.0163265306122449,0.2,0,1,10,0,0,0,0,0,NA
"32",0.005,"ER","1","1",50,7,0,3,0,2,0.28,0,0,0,-1,0.816326530612245,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0351020408163265,0.3,0,1.125,12.8284271247462,0,0,0,0,0,-0.166666666666667
"33",0.005,"ER","1","1",50,7,0,4,0,2,0.28,0,0,0,-1,0.693877551020408,3,0.00164861863112592,0,0.618033988749895,1.6180339887499,0.974248583802088,0.0351020408163265,0.38,0,1.45454545454545,11.3005630797458,0,0,0,0,0,-0.166666666666667
"34",0.005,"ER","1","1",50,6,0,3,0,2,0.24,0,0,0,-1,0.722222222222222,2,0.000832986255726781,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0359183673469388,0.28,0,1.25,9.65685424949238,0,0,0,0,0,-0.5
"35",0.005,"ER","1","1",50,4,0,4,0,2,0.16,0,-4.92439348378208e-16,0,-1,0.40625,3,0.00166597251145356,0,0.618033988749895,1.61803398874989,0.974248583802088,0.0375510204081633,0.24,0,1.57142857142857,6.47213595499958,0,0,0,0,0,0
"36",0.005,"ER","1","1",50,4,0,2,0,1,0.16,0,0,0,-1,0.75,1,0,NA,1,1,1,0.0171428571428571,0.16,0,1,8,0,0,0,0,0,NA
"37",0.005,"ER","1","1",50,4,0,3,0,2,0.16,0,0,0,-1,0.625,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0375510204081633,0.18,0,1.2,6.82842712474619,0,0,0,0,0,-0.333333333333333
"38",0.005,"ER","1","1",50,4,0,3,0,2,0.16,0,0,0,-1,0.625,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0375510204081633,0.18,0,1.2,6.82842712474619,0,0,0,0,0,-0.333333333333333
"39",0.005,"ER","1","1",50,4,0,2,0,1,0.16,0,0,0,-1,0.75,1,0,NA,1,1,1,0.0171428571428571,0.16,0,1,8,0,0,0,0,0,NA
"40",0.005,"ER","1","1",50,6,0,2,0,1,0.24,0,0,0,-1,0.833333333333333,1,0,NA,1,1,0.961716565628544,0.0155102040816327,0.24,0,1,12,0,0,0,0,0,NA
"41",0.005,"ER","1","1",50,8,0,3,0,2,0.32,0,0,0,-1,0.84375,2,0.000850340136054422,0,0.707106781186547,1.4142135623731,0.991370550783894,0.0342857142857143,0.34,0,1.11111111111111,14.8284271247462,0,0,0,0,0,-0.142857142857143
"42",0.005,"ER","1","1",50,5,0,2,0,1,0.2,0,0,0,-1,0.8,1,0,NA,1,1,0.988159555903429,0.0163265306122449,0.2,0,1,10,0,0,0,0,0,NA
