"","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.3,"ER","1","1",750,84206,1,750,176,265,224.549333333333,176,173.205516311461,0.891180807042678,0.000785343134142001,0.0242138819350479,2,0.000377958088510041,0.299684976619507,0.00443974629099979,225.238095705421,0.154782660722704,0.054006230529595,2,2,1.70020115709835,8190.93150045563,4604,7545.032,836.225550437364,10440,5658774,-0.00707304906274438
"2",0.3,"ER","1","1",750,84362,1,750,184,272,224.965333333333,184,180.475634923702,0.89185678818066,0.00078560045524852,0.0201540029191202,2,0.000440634717509006,0.300025784984465,0.00443143001547585,225.660790423793,0.172421078240214,0.0627966177125056,2,2,1.69964574988874,8204.02803284084,5067,7581.808,843.465625945837,10943,5686356,-0.00414555015212369
"3",0.3,"ER","1","1",750,83994,1,750,185,265,223.984,185,181.283299110663,0.890825819873391,0.00078499690832141,0.0196029766999442,2,0.000373231443417728,0.298970347296496,0.00445045136114343,224.696310295834,0.156025846024061,0.0547610146862483,2,2,1.70095594125501,8185.95970904575,5160,7489.904,844.492958284905,10405,5617428,-0.00486046077325958
"4",0.3,"ER","1","1",750,84235,1,750,188,260,224.626666666667,188,183.788271526372,0.892269860029874,0.000785385195829058,0.0203276002339908,2,0.000321041716823234,0.299724456979944,0.00443923964590366,225.263801859122,0.135187236925345,0.0472274143302181,2,2,1.70009790832221,8203.51868771622,5345,7549.484,806.046226819753,10036,5662113,-0.00696306772143279
"5",0.3,"ER","1","1",750,83835,1,750,188,259,223.56,188,183.385512743658,0.889142325090341,0.000784727808102298,0.0218252567210449,2,0.000317383048517059,0.298309952413386,0.00446021141820104,224.204618623961,0.13645609359128,0.0473164218958611,2,2,1.7015220293725,8178.71400537449,5154,7442.712,802.583425318179,10027,5582034,5.26821590215172e-05
"6",0.3,"ER","1","1",750,84579,1,750,178,266,225.544,178,175.055982300521,0.890111984426278,0.000785957549499413,0.0247929955510399,2,0.000370051012021128,0.30120300732935,0.00442020224820391,226.233991986755,0.151110818213439,0.0540133511348465,2,2,1.69887316421896,8209.41317759628,4829,7650.66,846.302317861427,10615,5737995,-0.00638128389847839
"7",0.3,"ER","1","1",750,84088,1,750,180,262,224.234666666667,180,176.90506226798,0.89112396447381,0.00078514942261891,0.0235923878880402,2,0.000337127469772898,0.299351129144477,0.00444586124147449,224.928297507627,0.146742950813467,0.0504210057854918,2,2,1.70062127280819,8188.28154445796,4773,7515.624,837.502968902934,10169,5636718,-0.00461208330900573
"8",0.3,"ER","1","1",750,84007,1,750,191,263,224.018666666667,191,185.935082727024,0.890995062094354,0.00078501597547368,0.0240270149593373,2,0.000352646299313323,0.299101611110635,0.00445018569308331,224.709724260326,0.148046934360685,0.0520445037828215,2,2,1.70090965732087,8187.95973531125,5397,7494.812,837.814110628341,10340,5621109,-0.00522688034365182
"9",0.3,"ER","1","1",750,84041,1,750,187,263,224.109333333333,187,182.590806431149,0.889647144199779,0.0007850690701867,0.0209093666572873,2,0.000340044336963586,0.299276574135864,0.00444890439233414,224.774441483411,0.15047264803148,0.051923453493547,2,2,1.7007886070316,8189.36071532601,5168,7504.4,822.150046888928,10365,5628300,-0.00506388882874871
"10",0.3,"ER","1","1",750,84158,1,750,189,262,224.421333333333,189,184.64149326741,0.891894369527412,0.000785259025944654,0.0206094373725042,2,0.000331963816086024,0.299408381550388,0.00444313214040742,225.066455013941,0.145738414108665,0.0501717846016911,2,2,1.70037205162439,8195.19075678206,5344,7527.892,809.83280037018,10270,5645919,-0.00179888366348063
