"","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",0.2,"Spatial","1","1",100,546,1,100,3,18,10.92,3,0.372894053383438,0.0477314769841899,0.00291078816445746,0.583717412014115,8,0.114838127361359,0.617206379893668,0.075751878204789,13.200992816265,0.630271511552055,0.0715151515151515,6.42,4,3.56020202020202,220.26876335609,2,38.31,23.0027205242152,93,3831,0.482837993061374
"2",0.2,"Spatial","1","1",100,549,1,100,2,21,10.98,2,0.193762281323288,0.0317752836880761,0.00287550634646377,0.585115842349561,8,0.195592733518589,0.645068285280728,0.0635976684560239,15.7238468685605,0.758360748246193,0.101212121212121,6.48,5,3.65414141414141,214.820739326819,1,42.51,31.3689336764895,124,4251,0.645513977473493
"3",0.2,"Spatial","1","1",100,560,1,100,2,23,11.2,2,0.195016860599265,0.027340646846611,0.0027156987522858,0.578000637755102,9,0.173512700560705,0.658348780835591,0.0587855080154861,17.0109952904816,0.788078395085761,0.119191919191919,7.46,5,3.84505050505051,216.857892463315,1,46.17,40.3116783840789,155,4617,0.648006052731297
"4",0.2,"Spatial","1","1",100,461,1,100,2,19,9.22,2,0.275277429550763,0.0390399874555432,0.0026837841731398,0.631154097712697,9,0.0978793713720126,0.619079386257505,0.0709094586876018,14.1024909583021,0.813933456188579,0.0987878787878788,7.18,5,3.87434343434343,210.110233661232,0,27.84,24.6771967695693,102,2784,0.650354298667598
"5",0.2,"Spatial","1","1",100,446,1,100,2,15,8.92,2,0.250293700388359,0.0315027764488891,0.00262870020951711,0.652270305053389,9,0.105998204507155,0.633729569093611,0.0909957604742699,10.9895229710483,0.784576769675024,0.0614141414141414,7.18,5,3.95878787878788,205.284967629689,0,25.59,15.8662942405999,60,2559,0.451272744011101
"6",0.2,"Spatial","1","1",100,496,1,100,1,18,9.92,1,0.293094135869327,0.03455247029026,0.00278370806088708,0.646285200962539,9,0.106727647054095,0.605047189167009,0.0830849761163045,12.0358703431554,0.759973705980789,0.0816161616161616,6.88,5,3.71111111111111,215.150028210174,0,29.49,13.7190386034161,66,2949,0.336840879884412
"7",0.2,"Spatial","1","1",100,487,1,100,1,19,9.74,1,0.308145943926584,0.0346390227780701,0.00276637829471413,0.610653162934448,9,0.104020889660899,0.600494743351886,0.0762018698715329,13.12303755388,0.799924268595667,0.0935353535353535,6.82,5,3.76161616161616,214.051276654605,0,29.13,19.1589075203608,93,2913,0.545202352081738
"8",0.2,"Spatial","1","1",100,439,1,100,1,16,8.78,1,0.204544055466886,0.0243776454060916,0.00255982257418091,0.644932311476175,9,0.177434690308626,0.602620087336245,0.0829421558108546,12.0565952286127,0.815539666001463,0.0729292929292929,7.1,5,4.05333333333333,208.630991676484,0,23.46,15.9825788996278,67,2346,0.52449282329227
"9",0.2,"Spatial","1","1",100,428,1,100,3,14,8.56,3,0.140581787959603,0.0170129513520508,0.00246226764273869,0.72084352345183,9,0.240400186195629,0.626109361580304,0.0999549175509489,10.004510278249,0.747801567396708,0.0549494949494949,7.29,5,4.21070707070707,206.034772215991,1,21.87,9.93987480359341,42,2187,0.28353201859789
"10",0.2,"Spatial","1","1",100,451,1,100,2,15,9.02,2,0.198773207607168,0.0238116766352704,0.00248911853423588,0.62918078082212,10,0.164840438268188,0.598372781065089,0.0892962087924958,11.1986837237824,0.753985929263275,0.0604040404040404,7.84,5,4.22242424242424,209.076545129469,1,24.27,12.4923047020026,53,2427,0.49921733911894
