"","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"27","Spatial_noncomm","1","1",50,367,1,50,8,26,14.68,8,6.70177113710411,0.612186783618678,0.0119583369291788,0.137282937765121,3,0.0348963595959933,0.324174810990227,0.06297151609803,15.880195713301,0.445149943640708,0.231020408163265,2.32,2,1.71183673469388,146.200281864483,8,35.16,21.5011722509091,94,1758,0.0206143206574349
"28","Spatial_noncomm","1","1",50,375,1,50,7,26,15,7,6.03011453121439,0.615217901938122,0.0120377917372583,0.13081955909729,3,0.0395794683413239,0.330151015448707,0.0611224355170235,16.360604605186,0.421849879151374,0.224489795918367,2.28,2,1.70122448979592,146.275410928465,5,38.04,23.7787076767328,99,1902,-0.0465331953850908
"29","Spatial_noncomm","1","1",50,367,1,50,9,28,14.68,9,6.8097434861222,0.599362115859983,0.0119964037860128,0.152785301208496,3,0.0389334825246945,0.330914368650218,0.0624029869230615,16.0248739572824,0.48625717319827,0.271836734693878,2.28,2,1.7069387755102,144.684928690312,11,36.48,24.4133118588685,127,1824,-0.0330379839096172
"30","Spatial_noncomm","1","1",50,365,1,50,8,27,14.6,8,6.81248080481135,0.593772525241395,0.0119455611758047,0.142574593424797,3,0.0373718990862003,0.338753882696876,0.0625470106974423,15.9879743068343,0.47148225390201,0.253061224489796,2.36,2,1.71510204081633,145.11460059946,9,37.08,23.8034811379704,114,1854,-0.0411111487310519
"31","Spatial_noncomm","1","1",50,369,1,50,9,26,14.76,9,6.22099132737244,0.569583979886545,0.0119352585383871,0.10729943215847,3,0.0248714726779514,0.343070894193089,0.0612987925186383,16.3135350455059,0.466594579679985,0.229387755102041,2.48,2,1.71755102040816,143.803461968402,7,38.52,27.8796539081965,113,1926,0.0221880234274047
"32","Spatial_noncomm","1","1",50,354,1,50,8,26,14.16,8,6.35209695965061,0.618156009796775,0.0118352326560676,0.104308307170868,3,0.033669852539507,0.309881114792438,0.0643478227924608,15.540541336189,0.473350879188665,0.241632653061225,2.5,2,1.73142857142857,142.320669526518,4,31.8,22.0389266007736,99,1590,-0.00154524691528748
"33","Spatial_noncomm","1","1",50,366,1,50,8,23,14.64,8,6.31022652700075,0.581538378438415,0.0119308194958935,0.144976705312729,3,0.0198142120571807,0.35010060362173,0.0620987327092755,16.103388207319,0.414217481917341,0.170612244897959,2.44,2,1.71673469387755,145.393964430599,7,38.28,26.017294091368,102,1914,0.0666923024018675
"34","Spatial_noncomm","1","1",50,368,1,50,8,25,14.72,8,6.59717624504391,0.583005619568149,0.0119480896829136,0.146883130073547,3,0.02736023986127,0.339334424440807,0.0621999696840298,16.077178253943,0.436504476298209,0.209795918367347,2.38,2,1.71428571428571,146.876906159925,7,37.32,25.1626869854261,100,1866,0.0516756436374838
"35","Spatial_noncomm","1","1",50,358,1,50,7,26,14.32,7,6.06929190638921,0.604309840052541,0.0118889355322312,0.146484211087227,3,0.0383177809277425,0.323120837297812,0.0636333152624032,15.7150385120801,0.453868714651475,0.238367346938776,2.4,2,1.72326530612245,142.669885381398,5,33.96,22.603918750012,97,1698,-0.0201624689410397
"36","Spatial_noncomm","1","1",50,358,1,50,7,24,14.32,7,5.64431939713295,0.589651346187779,0.0118716059883153,0.135307103395462,3,0.0234162913932947,0.346957995856093,0.0624181354786937,16.0209848040294,0.452742875881923,0.197551020408163,2.48,2,1.7265306122449,142.063140352699,3,36.84,28.4241633337639,105,1842,0.0729317281567066
"37","Spatial_noncomm","1","1",50,359,1,50,8,23,14.36,8,6.19705666731753,0.565403588905107,0.0119021422384872,0.141002163290977,3,0.0284821909308942,0.328071510079878,0.0637615310843317,15.6834376934486,0.411864882799596,0.176326530612245,2.38,2,1.72081632653061,144.17376378873,8,34.5,21.8793071561385,86,1725,-0.0167949382727897
"38","Spatial_noncomm","1","1",50,362,1,50,7,26,14.48,7,5.95771836947047,0.597336869365478,0.0119342507660791,0.1495680809021,3,0.029831884535351,0.332839414706427,0.0623803278448388,16.030694844813,0.465859378680017,0.235102040816327,2.34,2,1.71673469387755,145.046703518409,5,35.94,26.2004907260478,102,1797,0.024042125253571
"39","Spatial_noncomm","1","1",50,373,1,50,8,24,14.92,8,6.32597216465288,0.60911085251508,0.0119945717342033,0.116190746426582,3,0.0244945172168478,0.330176880471681,0.061788503120663,16.1842405867506,0.405144098717069,0.18530612244898,2.28,2,1.7069387755102,147.615086112452,7,36.96,24.0534778341588,90,1848,0.114585170978088
"40","Spatial_noncomm","1","1",50,367,1,50,8,28,14.68,8,6.26980969587325,0.618676453276504,0.0119860065073724,0.0950745791196823,3,0.0437415671268773,0.32740021574973,0.061598086030863,16.2342706476133,0.486874933611922,0.271836734693878,2.26,2,1.70938775510204,144.275527064571,4,36.42,27.0540577514044,118,1821,-0.000667894871855455
"41","Spatial_noncomm","1","1",50,360,1,50,9,26,14.4,9,6.92329059414116,0.616737553444967,0.0119256978818193,0.147812485694885,3,0.0272852936773053,0.328063241106719,0.0631325571519069,15.839687874417,0.490911746360095,0.236734693877551,2.34,2,1.71755102040816,144.578646126117,9,34.86,24.5888725455484,118,1743,0.0127930216426648
"42","Spatial_noncomm","1","1",50,377,1,50,8,24,15.08,8,6.75072015345894,0.606448512425136,0.0120544387488965,0.11065299808979,3,0.0286216466402976,0.338209982788296,0.0607172427441121,16.4697860904919,0.400444249722429,0.182040816326531,2.26,2,1.69877551020408,147.197202677788,6,39.3,25.6007413795709,97,1965,-0.0185591063953809
"43","Spatial_noncomm","1","1",50,369,1,50,8,24,14.76,8,6.55934323194376,0.604349029741651,0.0119649952847502,0.118077129125595,3,0.0304814947562847,0.325492341356674,0.0627422760466495,15.938216829375,0.362693373382605,0.188571428571429,2.34,2,1.71102040816327,145.501006081792,9,35.7,21.8774415547063,81,1785,0.0236078780319226
