"","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness","modularity","diameter","betweenness","transitivity","threshold","spectral_radius","centrality_eigen"
"1","ER","1","1",131,1444,1,131,11,34,22.0458015267176,11,9.5686637224884,0.638902216515915,0.00416437815764829,0.135273903608322,3,0.00815043537024157,0.169165425211576,0.0436798439258498,22.8938546964037,0.37681914904263
"2","ER","2","1",131,1444,1,131,13,32,22.0458015267176,13,10.7767501158022,0.625046776776955,0.00415553030777987,0.143335983157158,3,0.00906808778015089,0.177970087480011,0.0432885525391944,23.1007955069548,0.29865203669001
"3","ER","3","1",131,1444,1,131,11,36,22.0458015267176,11,10.12928823698,0.637102419219562,0.00415801437044136,0.142141088843346,3,0.010624240469557,0.174285262991628,0.0436384946191372,22.9155475853986,0.400351070835209
"4","ER","4","1",131,1444,1,131,13,33,22.0458015267176,13,11.2345746310038,0.626165339743547,0.0041678733310839,0.141440168023109,3,0.00899658767032365,0.171139659119817,0.0438362791878724,22.8121551036352,0.350505931553791
"5","ER","5","1",131,1444,1,131,13,36,22.0458015267176,13,11.2535061206051,0.627091963106748,0.00416059133899063,0.143907397985458,3,0.0106142408184817,0.169479229095038,0.0435315959687948,22.9718203007498,0.408186821575608
"6","ER","6","1",131,1444,1,131,9,34,22.0458015267176,9,8.34601232896795,0.638615544036568,0.00416163953302445,0.144246950745583,3,0.00769411021176392,0.169245283018868,0.0434089806395819,23.0367077334261,0.388903685005633
"7","ER","7","1",131,1444,1,131,12,32,22.0458015267176,12,10.5110319440844,0.639158809092411,0.0041600281164677,0.148352190852165,3,0.00853365548218573,0.17120832408083,0.043761799935836,22.8509796550007,0.300547373995185
"8","ER","8","1",131,1444,1,131,13,35,22.0458015267176,13,11.2527390920326,0.640013738549876,0.00416509238760081,0.144407123327255,3,0.0112062907751046,0.167981674726393,0.0438566013007701,22.8015844899144,0.381051808544455
"9","ER","9","1",131,1444,1,131,13,36,22.0458015267176,13,11.736165269712,0.639849143164895,0.00416001148316818,0.128861621022224,3,0.00958046221256903,0.170592705167173,0.0436442336887217,22.9125342681504,0.422125570974169
"10","ER","10","1",131,1444,1,131,12,34,22.0458015267176,12,10.5739686998564,0.627003280563738,0.00415829640692888,0.146424263715744,3,0.00840832999207237,0.172482269503546,0.0434592627339038,23.0100544071097,0.379705755182283
"11","ER","11","1",131,1444,1,131,12,33,22.0458015267176,12,10.8155092725289,0.632169330561281,0.00416083156158602,0.127913475036621,3,0.00872426482111044,0.168825410900339,0.043695957695546,22.8854121236467,0.332211806658824
"12","ER","12","1",131,1444,1,131,12,33,22.0458015267176,12,10.6198108007413,0.631340959211747,0.00416412998720855,0.144614785909653,3,0.00878959438188829,0.171584594749952,0.0440559252564552,22.6984223842507,0.332841271096163
"13","ER","13","1",131,1444,1,131,12,33,22.0458015267176,12,11.0145227820779,0.632735748037985,0.00416077656876721,0.140703290700912,3,0.00685167958862184,0.171614218371767,0.0439248991873274,22.7661307937277,0.37091237638549
"14","ER","14","1",131,1444,1,131,11,34,22.0458015267176,11,10.0473982395102,0.636396893547615,0.00416798993610669,0.14858216047287,3,0.0100510367433207,0.168980449595619,0.0439543168730547,22.7508939085123,0.365568099084404
"15","ER","15","1",131,1444,1,131,11,35,22.0458015267176,11,10.0702389286869,0.645110854886008,0.00416303680530008,0.135084480047226,3,0.0101675740933809,0.166793529971456,0.0438043805183219,22.8287670814505,0.375297879979126
"16","ER","16","1",131,1444,1,131,12,37,22.0458015267176,12,10.5396297633154,0.63368323833343,0.00415980653057875,0.14717335999012,3,0.00949908511754208,0.172893519247112,0.0434299771439447,23.0255704875366,0.448523680149942
"17","ER","17","1",131,1444,1,131,12,34,22.0458015267176,12,10.6040307835625,0.625694137485073,0.00416238288319167,0.134281158447266,3,0.00804083772740929,0.172458498023715,0.0436512523268135,22.9088501863149,0.369239622690504
"18","ER","18","1",131,1444,1,131,10,36,22.0458015267176,10,8.99123814396863,0.631135513554891,0.00415743040947962,0.148932963609695,3,0.011769632766986,0.17298937784522,0.04361979166497,22.9253731352201,0.384059979740326
"19","ER","19","1",131,1444,1,131,9,34,22.0458015267176,9,8.37702227441558,0.635577784083847,0.00416151492656521,0.129628717899323,3,0.00835258954216327,0.171228114531319,0.0435882907594738,22.9419411171256,0.376126067527742
"20","ER","20","1",131,1444,1,131,11,33,22.0458015267176,11,10.0253200562306,0.644345690525487,0.00416714905762037,0.135537922382355,3,0.00662196842942869,0.167645098848094,0.0437125242531839,22.8767388084929,0.382209364133701
"21","ER","21","1",131,1444,1,131,8,33,22.0458015267176,8,7.46232180034297,0.641236417079834,0.00415454523035792,0.134047850966454,3,0.00862041628794835,0.168334964792068,0.0435551016392924,22.9594229461715,0.326750857116073
"22","ER","22","1",131,1444,1,131,12,32,22.0458015267176,12,10.6178409261015,0.643465902490481,0.00416479813040766,0.145345687866211,3,0.0094617374501989,0.17055199136124,0.0438397860680697,22.8103302887315,0.297643765447957
"23","ER","23","1",131,1444,1,131,10,32,22.0458015267176,10,9.143656505277,0.630612562263125,0.00416059898492658,0.118970900774002,3,0.00938030575575488,0.165556612749762,0.043698826686552,22.8839096109586,0.316594220353928
"24","ER","24","1",131,1444,1,131,13,35,22.0458015267176,13,11.5196546908982,0.625155575814224,0.00416164275275945,0.148987650871277,3,0.0114417105592396,0.170428679817906,0.0437066801401048,22.8797977058525,0.359526673553342
"25","ER","25","1",131,1444,1,131,11,39,22.0458015267176,11,10.0425078890331,0.630926075521994,0.00416158391853634,0.158009350299835,3,0.0140806089414434,0.170073641442357,0.0437759145967393,22.8436118174099,0.452855524924543
"26","ER","26","1",131,1444,1,131,13,33,22.0458015267176,13,11.2728993216265,0.633957645847836,0.00415656467365348,0.127116650342941,3,0.00881686126419062,0.173732704302948,0.0436432612004403,22.9130448205349,0.344026387608231
"27","ER","27","1",131,1444,1,131,8,34,22.0458015267176,8,7.4205563542234,0.640585067731774,0.00416202446419346,0.145895272493362,3,0.0104443169783317,0.164284122385304,0.043988706102152,22.7331078499505,0.336491741134811
"28","ER","28","1",131,1444,1,131,10,33,22.0458015267176,10,9.27193568989375,0.62600209365156,0.00416458643820284,0.136921286582947,3,0.00665032621004442,0.168298264573136,0.0438494705496138,22.8052924577172,0.360730740041833
"29","ER","29","1",131,1444,1,131,9,32,22.0458015267176,9,8.44833431778846,0.630902365400323,0.00416447935285597,0.135413959622383,3,0.00848988486105577,0.169673376376757,0.0436286437265637,22.9207216769643,0.317514223810431
"30","ER","30","1",131,1444,1,131,10,34,22.0458015267176,10,9.35576667639327,0.639971428400014,0.00416367074064685,0.150763779878616,3,0.00921046820511816,0.168349422376958,0.0436456729069407,22.9117787262016,0.366037992030241
"31","ER","31","1",131,1444,1,131,12,32,22.0458015267176,12,10.4089170263616,0.636596813759114,0.00416183837930208,0.136613398790359,3,0.00935465693255888,0.170172874030761,0.0438185355077079,22.8213925548492,0.328759429383368
"32","ER","32","1",131,1444,1,131,10,39,22.0458015267176,10,9.16501389025704,0.629004949333568,0.00416066950562771,0.144121289253235,3,0.0155487640040451,0.170398481973435,0.0436740631698226,22.8968849569043,0.432175698418518
"33","ER","33","1",131,1444,1,131,13,35,22.0458015267176,13,11.225804544599,0.637427953037055,0.0041702296308668,0.155185088515282,3,0.00917734248357154,0.171374227294341,0.0437574332749746,22.8532600099264,0.398305132181225
"34","ER","34","1",131,1444,1,131,8,33,22.0458015267176,8,7.56953751654876,0.631885208030128,0.00415935442813419,0.12922514975071,3,0.01001935622826,0.174198434738702,0.0436028114553124,22.9343009458204,0.304974873034783
"35","ER","35","1",131,1444,1,131,13,32,22.0458015267176,13,11.3020941060017,0.6299849500264,0.0041640101232379,0.143375068902969,3,0.00877809377854567,0.168053350269927,0.0438575605997428,22.8010857495313,0.3247538783031
"36","ER","36","1",131,1444,1,131,15,30,22.0458015267176,15,11.7513220239071,0.635327662554992,0.0041623675256205,0.13492788374424,3,0.00705095895221974,0.167420814479638,0.0442328195444719,22.6076476765085,0.243735871174103
"37","ER","37","1",131,1444,1,131,10,34,22.0458015267176,10,9.21242876580857,0.632623791941022,0.00414852766805688,0.143805250525475,3,0.00807503599932697,0.173517128771941,0.0433356101736389,23.0757106221225,0.373680828500539
"38","ER","38","1",131,1444,1,131,12,31,22.0458015267176,12,10.7574760648989,0.638828271777788,0.00416123395591249,0.123894795775414,3,0.0074291162774016,0.168146346087011,0.0435703129250098,22.951407342911,0.294909967110616
"39","ER","39","1",131,1444,1,131,12,36,22.0458015267176,12,10.6670862809378,0.613865377426726,0.00415468278303465,0.154009848833084,3,0.0108689908589798,0.171172868582195,0.0433546423940463,23.0655806340436,0.374945499174037
"40","ER","40","1",131,1444,1,131,11,32,22.0458015267176,11,10.0866591516421,0.643965339954508,0.00416422716696069,0.14552503824234,3,0.00670041168861263,0.171674225245654,0.0434997157602104,22.9886559607065,0.331222977223897
"41","ER","41","1",131,1444,1,131,11,33,22.0458015267176,11,10.1488837838928,0.641395365079772,0.00415970175387271,0.136163771152496,3,0.0091135583426982,0.170772429435484,0.0434862621492475,22.9957681018419,0.352402137821716
"42","ER","42","1",131,1444,1,131,12,34,22.0458015267176,12,10.485345686174,0.619138572399128,0.00415328428690453,0.150845542550087,3,0.00895031187734319,0.171901245523405,0.0436337069010402,22.918061998903,0.368516896985435
"43","ER","43","1",131,1444,1,131,11,36,22.0458015267176,11,10.0355180574011,0.646367682711319,0.00416950136577661,0.139871463179588,3,0.0103837118873319,0.162919569347688,0.0437312942238647,22.8669198510546,0.402965802112979
"44","ER","44","1",131,1444,1,131,12,38,22.0458015267176,12,10.4933989795247,0.626712722456352,0.00416301396272298,0.152648791670799,3,0.0131120037439563,0.173311481609884,0.0435100624981894,22.9831892344814,0.431161824557998
"45","ER","45","1",131,1444,1,131,10,35,22.0458015267176,10,9.25547157498281,0.641680300466263,0.00415835919936485,0.141470864415169,3,0.00993003486474369,0.168885796514754,0.043607372915643,22.9319019500319,0.383039574138531
"46","ER","46","1",131,1444,1,131,11,33,22.0458015267176,11,9.93841214623141,0.617920640645671,0.00415840303594939,0.138197466731071,3,0.00985183415821261,0.165430998822668,0.0438810560831256,22.7888772345328,0.330941082502132
"47","ER","47","1",131,1444,1,131,10,34,22.0458015267176,10,9.01540908357099,0.627030511761047,0.00415532681787823,0.130091041326523,3,0.00916649157728549,0.172382445141066,0.0432401703698877,23.1266433838197,0.401525256422239
"48","ER","48","1",131,1444,1,131,10,34,22.0458015267176,10,9.2890867324399,0.639251606136969,0.00415718436914892,0.146780595183372,3,0.00858279522565759,0.170840026457526,0.043427161187674,23.0270635393002,0.372443370161744
"49","ER","49","1",131,1444,1,131,11,34,22.0458015267176,11,10.1479001926796,0.636683378552124,0.00415498124862973,0.140794888138771,3,0.00777208080707414,0.171700962809137,0.043426883645287,23.0272107058856,0.38923957557254
"50","ER","50","1",131,1444,1,131,13,31,22.0458015267176,13,10.8996943574932,0.612486490093347,0.00416531751060135,0.149006813764572,3,0.00643730361615683,0.171502277142584,0.0439008612546415,22.778596396996,0.315269415642716
"51","ER","51","1",131,1444,1,131,10,33,22.0458015267176,10,9.03253268867656,0.623773878930387,0.00416194262171695,0.140356793999672,3,0.00875325787320692,0.169465648854962,0.0438143052477164,22.823595954477,0.364455613040755
"52","ER","52","1",131,1444,1,131,10,35,22.0458015267176,10,9.10357714917923,0.632087077852893,0.00416214844201129,0.134171828627586,3,0.0133687406157659,0.169630729380548,0.0436187980904459,22.9258953427934,0.337928531269788
"53","ER","53","1",131,1444,1,131,12,32,22.0458015267176,12,10.5324583995253,0.626187375148227,0.00416042172921784,0.149391934275627,3,0.00700235007484529,0.171724203398412,0.0436993916915806,22.8836137367255,0.324079089730661
"54","ER","54","1",131,1444,1,131,12,33,22.0458015267176,12,10.638880091042,0.633442359880735,0.00415458770298306,0.146050900220871,3,0.0068619149417343,0.166745888392433,0.0436514669568268,22.9087375457288,0.364415973337454
"55","ER","55","1",131,1444,1,131,11,35,22.0458015267176,11,9.89883324687644,0.641482686397288,0.0041565780215834,0.137121021747589,3,0.011019016469367,0.172067462573432,0.0435332100558312,22.9709685712931,0.408064196701559
"56","ER","56","1",131,1444,1,131,12,33,22.0458015267176,12,10.415056483519,0.642711429793859,0.00416386429601499,0.135640323162079,3,0.00748181757230005,0.170443725004761,0.0437403599763912,22.8621803876271,0.358199787258707
"57","ER","57","1",131,1444,1,131,10,34,22.0458015267176,10,9.21919323050149,0.633519287453328,0.00416051847532263,0.144643560051918,3,0.00820278752284716,0.173516125975298,0.0435172010490579,22.9794190778188,0.394431353727693
"58","ER","58","1",131,1444,1,131,12,33,22.0458015267176,12,10.5185813113895,0.653369724318394,0.00416242977329556,0.128703117370605,3,0.00752781994451553,0.168546739984289,0.043302867179961,23.0931590706022,0.357739011433372
"59","ER","59","1",131,1444,1,131,13,32,22.0458015267176,13,11.4134076233369,0.630688508407708,0.00416615392636521,0.134879693388939,3,0.00796762586740012,0.167375841483551,0.0438487562357123,22.8056639651174,0.30261201635309
"60","ER","60","1",131,1444,1,131,12,37,22.0458015267176,12,10.6329897053954,0.639998726499062,0.00416075998188183,0.133270680904388,3,0.0122010512072019,0.16883075753737,0.0436514021201783,22.9087715727175,0.424276725426365
"61","ER","61","1",131,1444,1,131,14,36,22.0458015267176,14,11.4321921946356,0.641982048896112,0.00416431833336662,0.142871499061584,3,0.0126041234167521,0.166973058637084,0.0437573661986818,22.8532950420157,0.384608870677538
"62","ER","62","1",131,1444,1,131,11,35,22.0458015267176,11,10.1462879209043,0.626653922616411,0.00416204114155581,0.135512262582779,3,0.0112353782005814,0.168663594470046,0.0438511374628108,22.8044255601825,0.354990802009144
"63","ER","63","1",131,1444,1,131,13,36,22.0458015267176,13,11.2770579182344,0.630716669661101,0.00416613578399081,0.151233553886414,3,0.00979864982012647,0.171624496015747,0.0437534464658357,22.8553423964175,0.418268023469287
"64","ER","64","1",131,1444,1,131,11,34,22.0458015267176,11,9.84968285451981,0.618275935051276,0.00415726844346311,0.131158113479614,3,0.010622861135178,0.172317548923214,0.0437291149515577,22.8680594406674,0.334681117945343
"65","ER","65","1",131,1444,1,131,9,37,22.0458015267176,9,8.1848498416964,0.632768924269536,0.00415485327480763,0.126121520996094,3,0.0145706605640897,0.174489699934155,0.0432888505116884,23.1006364959954,0.394844638606082
"66","ER","66","1",131,1444,1,131,9,34,22.0458015267176,9,8.39075940401021,0.636879729193691,0.00415732503633259,0.137842088937759,3,0.0108508418547404,0.171542050182827,0.043529271095263,22.9730472125646,0.38372025887523
"67","ER","67","1",131,1444,1,131,13,35,22.0458015267176,13,11.5209661287561,0.621712721409253,0.0041638800309725,0.130157217383385,3,0.0111085677492533,0.172096250275947,0.043637652811899,22.915989645697,0.344545424565153
"68","ER","68","1",131,1444,1,131,11,32,22.0458015267176,11,9.93976741502039,0.634736845449874,0.00415726468331194,0.13404306769371,3,0.00731723602096903,0.17357169882709,0.0434762138516649,23.0010829234548,0.319960088256519
"69","ER","69","1",131,1444,1,131,13,34,22.0458015267176,13,10.784529052046,0.624932883388219,0.00416095784445798,0.143877416849136,3,0.00883649634014246,0.175154101469891,0.0435889275121443,22.9416059782932,0.368181446519488
"70","ER","70","1",131,1444,1,131,12,32,22.0458015267176,12,10.8994531846403,0.651932402948234,0.00416037656038445,0.135109648108482,3,0.0083033838837586,0.173761208117036,0.0434133137202321,23.0344084407905,0.373769488374206
"71","ER","71","1",131,1444,1,131,16,34,22.0458015267176,16,12.2304689478179,0.640468352553904,0.00416411158005852,0.147394940257072,3,0.0104772675735784,0.165191928194029,0.0439071055253712,22.7753569276427,0.341116691751245
"72","ER","72","1",131,1444,1,131,13,31,22.0458015267176,13,11.1212942275938,0.632111963746549,0.0041640157677045,0.141440406441689,3,0.00738188604602467,0.163566757058542,0.0440254919684383,22.7141130124542,0.299547804659648
"73","ER","73","1",131,1444,1,131,10,35,22.0458015267176,10,9.25308877461887,0.641222094463699,0.00416361118413894,0.138683289289474,3,0.011468209984051,0.170764983976901,0.0437874804651615,22.837577987517,0.367960997859114
"74","ER","74","1",131,1444,1,131,10,32,22.0458015267176,10,9.30756944371432,0.630381947110413,0.00416106632757866,0.141530588269234,3,0.00836406456941691,0.166968455160583,0.0438294423620214,22.8157135046397,0.30573069843367
"75","ER","75","1",131,1444,1,131,11,34,22.0458015267176,11,10.0885186513884,0.644779740766941,0.00415710745451276,0.137170910835266,3,0.00716389807041806,0.168507504956103,0.0434286750531931,23.0262608466678,0.392162151462179
"76","ER","76","1",131,1444,1,131,14,36,22.0458015267176,14,11.6682498929773,0.643099452395356,0.00416242715516199,0.132861360907555,3,0.0108181834428583,0.169746943417686,0.0436187577079329,22.9259165677277,0.408987846956604
"77","ER","77","1",131,1444,1,131,13,35,22.0458015267176,13,11.3043320945848,0.637715400858787,0.00416470216334518,0.145699366927147,3,0.00946404177402724,0.170960781825105,0.0437755926600961,22.8437798150374,0.395203487754044
"78","ER","78","1",131,1444,1,131,11,34,22.0458015267176,11,9.41084556212835,0.632454341118288,0.00416098275239929,0.136665672063828,3,0.00948106869629901,0.168306149647776,0.0437597116281819,22.8520701529483,0.348689564734742
"79","ER","79","1",131,1444,1,131,12,33,22.0458015267176,12,10.8167794113497,0.639237177798438,0.00416045860507103,0.129396364092827,3,0.00916758658717126,0.169606942640864,0.0437295808912856,22.8678157809484,0.345307164850781
"80","ER","80","1",131,1444,1,131,10,34,22.0458015267176,10,9.17436590288552,0.633499302140721,0.00415709493636511,0.142812982201576,3,0.00893090772899288,0.166038333597339,0.0437138565927778,22.8760415562423,0.365923642161878
"81","ER","81","1",131,1444,1,131,12,33,22.0458015267176,12,10.5835951608094,0.628042869618382,0.00415960365944927,0.149783760309219,3,0.00877553671358574,0.172130370183037,0.0436772333181444,22.8952230723044,0.319805994410825
"82","ER","82","1",131,1444,1,131,11,33,22.0458015267176,11,10.2058287919086,0.622343244920077,0.00415983295207966,0.152243062853813,3,0.00784152696356159,0.174379824032017,0.0438110214725046,22.825306655486,0.339027531047023
"83","ER","83","1",131,1444,1,131,12,33,22.0458015267176,12,10.9031551853922,0.627861383658132,0.00416148489173479,0.143811717629433,3,0.0101321008977917,0.174585111427217,0.0436003634222931,22.9355886398115,0.34570444678131
"84","ER","84","1",131,1444,1,131,13,35,22.0458015267176,13,11.2953202002555,0.636053896785442,0.00416363562289031,0.13761955499649,3,0.00938610820647982,0.165765364550197,0.0438482643499547,22.805919796938,0.391058717522404
"85","ER","85","1",131,1444,1,131,7,33,22.0458015267176,7,6.42230852598751,0.637666470262447,0.00415480248954271,0.145889535546303,3,0.00835256410766129,0.173189270682832,0.0433322878506683,23.0774798562725,0.340504405704521
"86","ER","86","1",131,1444,1,131,12,37,22.0458015267176,12,10.2325591954462,0.609994570167113,0.00415835392183007,0.145155519247055,3,0.013406052835007,0.173087800892464,0.0433708733866707,23.0569486365781,0.399227657184332
"87","ER","87","1",131,1444,1,131,10,33,22.0458015267176,10,8.82297712044591,0.643890334154891,0.00415897396572147,0.128307223320007,3,0.00833212923472281,0.168473280030338,0.0436073710968283,22.9319029064959,0.341477149542802
